district_code,district_name,countyfips,teacher_fte,schools,enrollment,pop_5_17,pop_2060,pop_change,teacher_fte_2060_demography,teacher_fte_2060,schools_2060_demography,schools_2060,schools_change,fte_change,schools_change_demography
0490,Buena Vista R-31,015,73.4,5.0,925.0,2221.0,1812,-0.18415128320576313,63.006700710539974,66.95438679081904,4.584136547803945,4.769171973941403,-0.04616560521171942,-0.0878148938580513,-0.08317269043921094
0500,Salida R-32,015,101.8,6.0,1355.0,2221.0,1812,-0.18415128320576313,87.38531515440012,92.86044380525037,5.500963857364734,5.723006368729684,-0.04616560521171931,-0.0878148938580513,-0.08317269043921094
0510,Kit Carson R-1,017,15.6,2.0,109.0,336.0,212,-0.36904761904761907,11.042936989037983,11.734832424688552,1.643224617518378,1.709552215784999,-0.14522389210750053,-0.2477671522635544,-0.178387691240811
0520,Cheyenne County Re-5,017,16.4,2.0,175.0,336.0,212,-0.36904761904761907,11.60924145001429,12.336618702877708,1.643224617518378,1.709552215784999,-0.14522389210750053,-0.2477671522635544,-0.178387691240811
0540,Clear Creek RE-1,019,50.9,5.0,634.0,1201.0,1550,0.2905911740216487,61.635374732777656,65.4971403567737,5.574923195405603,5.799951023086619,0.15999020461732383,0.2867807535711926,0.11498463908112067
0550,North Conejos RE-1J,021,67.6,5.0,927.0,1502.0,1167,-0.2230359520639148,55.940567884339956,59.44552527251459,4.489610639290802,4.670830594056419,-0.06583388118871625,-0.12062832437108595,-0.1020778721418395
0560,Sanford 6J,021,24.7,2.0,384.0,1502.0,1167,-0.2230359520639148,20.439822880816525,21.72048038803418,1.795844255716321,1.8683322376225675,-0.06583388118871625,-0.12062832437108584,-0.1020778721418395
0580,South Conejos RE-10,021,17.0,3.0,196.0,1502.0,1167,-0.2230359520639148,14.067894290440524,14.949318485691542,2.6937663835744816,2.8024983564338513,-0.06583388118871625,-0.12062832437108573,-0.1020778721418395
0640,Centennial R-1,023,15.3,1.0,186.0,493.0,307,-0.3772819472616633,10.72436318230307,11.39629836978628,0.8170202082177128,0.8499986504639198,-0.15000134953608024,-0.25514389739958965,-0.18297979178228718
0740,Sierra Grande R-30,023,14.1,1.0,307.0,493.0,307,-0.3772819472616633,9.883236658200868,10.502471046665786,0.8170202082177128,0.8499986504639198,-0.15000134953608024,-0.25514389739958965,-0.18297979178228718
0770,Crowley County RE-1-J,025,21.7,3.0,332.0,535.0,599,0.11962616822429917,23.61966321781839,25.09955368429798,3.1481735175582077,3.2752473126560226,0.09174910421867422,0.15666146010589777,0.049391172519402504
0870,Delta County 50(J),029,263.5,16.0,4524.0,4509.0,4342,-0.03703703703703709,256.1443254126861,272.1930531919678,15.7444277395459,16.379940418039936,0.023746276127496024,0.0329907142010164,-0.01597326627838125
0880,Denver County 1,031,6047.0,197.0,90450.0,89918.0,80421,-0.10561845236771283,5561.257651190123,5909.698359414291,187.83782578990366,195.41976663684872,-0.00802148915305223,-0.022705745094378837,-0.04650849852840777
0890,Dolores County RE No.2,033,20.7,2.0,262.0,343.0,292,-0.14868804664723034,18.345257252524895,19.494679708838596,1.8672470918896622,1.9426171987241214,-0.02869140063793929,-0.058228033389439715,-0.0663764540551689
0900,Douglas County Re 1,035,3515.3,89.0,61851.0,74682.0,78248,0.04774912294796607,3640.4843292005594,3868.578946912466,90.7889406881488,94.45357199954543,0.06127608988253286,0.10049752422622982,0.02010045717021125
0910,Eagle County RE 50,037,499.1,20.0,6312.0,8606.0,8383,-0.025912154310945845,489.36626634074895,520.0275194456642,19.77722224519149,20.575515818646956,0.028775790932347833,0.04193051381619761,-0.011138887740425596
0920,Elizabeth School District,039,143.6,8.0,2667.0,5020.0,4744,-0.05498007968127494,137.63553163032458,146.25908858921085,7.809292266393621,8.124508819669359,0.015563602458669834,0.01851733000843203,-0.023838466700797367
0930,Kiowa C-2,039,25.9,3.0,292.0,5020.0,4744,-0.05498007968127494,24.824235858115642,26.37959884721839,2.928484599897608,3.0466908073760095,0.015563602458669834,0.01851733000843203,-0.023838466700797256
0940,Big Sandy 100J,039,31.6,3.0,329.0,5020.0,4744,-0.05498007968127494,30.28748467631098,32.185147628266456,2.928484599897608,3.0466908073760095,0.015563602458669834,0.01851733000843203,-0.023838466700797256
0950,Elbert 200,039,23.7,2.0,277.0,5020.0,4744,-0.05498007968127494,22.715613507233236,24.13886072119984,1.9523230665984053,2.0311272049173397,0.015563602458669834,0.01851733000843203,-0.023838466700797367
0960,Agate 300,039,8.9,2.0,85.0,5020.0,4744,-0.05498007968127494,8.530335874024296,9.064804237075046,1.9523230665984053,2.0311272049173397,0.015563602458669834,0.01851733000843203,-0.023838466700797367
0970,Calhan RJ-1,041,37.2,2.0,414.0,119980.0,126228,0.05207534589098173,38.64401124913795,41.06525253893698,2.0437908873970776,2.126287059542416,0.06314352977120796,0.10390463814346718,0.021895443698538797
0980,Harrison 2,041,827.8,29.0,12301.0,119980.0,126228,0.05207534589098173,859.9331320439888,913.812259455162,29.634967867257625,30.83116236336503,0.06314352977120796,0.10390463814346718,0.021895443698538797
0990,Widefield 3,041,586.8,18.0,9292.0,119980.0,126228,0.05207534589098173,609.5781129299501,647.7712416625865,18.394117986573697,19.13658353588174,0.06314352977120774,0.10390463814346718,0.021895443698538797
1000,Fountain 8,041,484.2,13.0,7955.0,119980.0,126228,0.05207534589098173,502.9954367428116,534.5106257890668,13.284640768081005,13.820865887025704,0.06314352977120796,0.10390463814346718,0.021895443698538797
1010,Colorado Springs 11,041,1494.3,59.0,22265.0,119980.0,126228,0.05207534589098173,1552.3050002577104,1649.564700777783,60.29183117821379,62.72546825650127,0.06314352977120796,0.10390463814346718,0.021895443698538797
1020,Cheyenne Mountain 12,041,248.7,8.0,3725.0,119980.0,126228,0.05207534589098173,258.3539139156077,274.54108350628024,8.17516354958831,8.505148238169664,0.06314352977120796,0.10390463814346695,0.021895443698538797
1030,Manitou Springs 14,041,93.9,4.0,1147.0,119980.0,126228,0.05207534589098173,97.5449638788724,103.65664552167156,4.087581774794155,4.252574119084832,0.06314352977120796,0.10390463814346718,0.021895443698538797
1040,Academy 20,041,1570.2,40.0,26569.0,119980.0,126228,0.05207534589098173,1631.1512490160321,1733.351062812872,40.875817747941554,42.52574119084832,0.06314352977120796,0.10390463814346695,0.021895443698538797
1050,Ellicott 22,041,71.1,3.0,1009.0,119980.0,126228,0.05207534589098173,73.85992472617492,78.4876197720005,3.065686331095616,3.189430589313624,0.06314352977120796,0.10390463814346695,0.021895443698538797
1060,Peyton 23 Jt,041,41.8,4.0,599.0,119980.0,126228,0.05207534589098173,43.422571779945315,46.14321387439692,4.087581774794155,4.252574119084832,0.06314352977120796,0.10390463814346718,0.021895443698538797
1070,Hanover 28,041,19.6,2.0,264.0,119980.0,126228,0.05207534589098173,20.36082313126623,21.636530907611956,2.0437908873970776,2.126287059542416,0.06314352977120796,0.10390463814346695,0.021895443698538797
1080,Lewis-Palmer 38,041,369.6,10.0,6534.0,119980.0,126228,0.05207534589098173,383.94695047530604,408.0031542578255,10.218954436985388,10.63143529771208,0.06314352977120796,0.10390463814346718,0.021895443698538797
1110,District 49,041,1382.1,33.0,26649.0,119980.0,126228,0.05207534589098173,1435.7496760062782,1525.7066003780858,33.72254964205178,35.083736482449865,0.06314352977120796,0.10390463814346718,0.021895443698538797
1120,Edison 54 JT,041,8.0,3.0,88.0,119980.0,126228,0.05207534589098173,8.310540053578052,8.831237105147736,3.065686331095616,3.189430589313624,0.06314352977120796,0.10390463814346695,0.021895443698538797
1130,Miami/Yoder 60 JT,041,20.6,3.0,398.0,119980.0,126228,0.05207534589098173,21.399640637963486,22.740435545755425,3.065686331095616,3.189430589313624,0.06314352977120796,0.10390463814346718,0.021895443698538797
1140,Canon City RE-1,043,212.5,8.0,3195.0,5855.0,5147,-0.12092228864218613,192.91629275941006,205.00346690115916,7.571968035252161,7.87760516396581,-0.015299354504273777,-0.03527780281807458,-0.05350399559347985
1150,Fremont RE-2,043,85.6,3.0,1294.0,5855.0,5147,-0.12092228864218613,77.71122193037883,82.58022007877283,2.8394880132195603,2.9541019364871786,-0.015299354504273777,-0.035277802818074355,-0.05350399559347985
1160,Cotopaxi RE-3,043,16.2,2.0,155.0,5855.0,5147,-0.12092228864218613,14.707030318599731,15.628499594347193,1.8929920088130403,1.9694012909914524,-0.015299354504273777,-0.035277802818074466,-0.05350399559347985
1180,Roaring Fork RE-1,045,410.0,14.0,5842.0,11289.0,11871,0.05155461068296563,425.75702027071736,452.4328348039269,14.303514547907751,14.880865785602303,0.06291898468587886,0.1034947190339679,0.021679610564839358
1330,Gilpin County RE-1,047,28.5,2.0,392.0,810.0,1110,0.37037037037037046,36.09931382139789,38.36111704348787,2.2877734186976366,2.3801177729768432,0.19005888648842162,0.34600410678904825,0.1438867093488183
1340,West Grand 1-JT,049,32.6,2.0,389.0,1862.0,2151,0.15520945220193338,36.3266107930305,38.60265531137761,2.1269863396716566,2.212840637344844,0.10642031867242197,0.18413053102385302,0.06349316983582831
1350,East Grand 2,049,102.5,4.0,1301.0,1862.0,2151,0.15520945220193338,114.21710448728915,121.37337942994496,4.253972679343313,4.425681274689688,0.10642031867242197,0.18413053102385324,0.06349316983582831
1360,Gunnison Watershed RE1J,051,142.5,7.0,2096.0,2251.0,2545,0.1306086183918258,156.24605596775365,166.03565569740942,7.376394871200762,7.674137827615237,0.09630540394503373,0.16516249612217138,0.05377069588582306
1380,Hinsdale County RE 1,053,10.8,1.0,75.0,105.0,79,-0.24761904761904763,8.724267394388475,9.270886540686648,0.885688880275574,0.9214390848512881,-0.07856091514871189,-0.1415845795660512,-0.11431111972442598
1390,Huerfano Re-1,055,30.7,3.0,443.0,832.0,560,-0.32692307692307687,22.81154568716495,24.240803533764222,2.53374951822302,2.636022523606023,-0.12132582546465898,-0.21039727903048133,-0.15541682725899342
1400,La Veta Re-2,055,16.5,2.0,238.0,832.0,560,-0.32692307692307687,12.260276997987678,13.028444895997056,1.6891663454820132,1.757348349070682,-0.12132582546465898,-0.21039727903048144,-0.15541682725899342
1410,North Park R-1,057,12.7,1.0,144.0,166.0,150,-0.09638554216867468,11.77017334586179,12.50763378984529,0.9576787845010173,0.9963348105912172,-0.0036651894087827985,-0.015146945681473234,-0.04232121549898271
1420,Jefferson County R-1,059,4413.7,144.0,75495.0,82580.0,79876,-0.03274400581254544,4304.831692348032,4574.551007249149,141.96903392516498,147.6995134640545,0.025691065722600603,0.03644357506154683,-0.014103931075243215
1430,Eads RE-1,061,18.2,3.0,211.0,264.0,209,-0.20833333333333337,15.274224300899887,16.231231126836352,2.7153982756040143,2.8250034044695593,-0.058332198510146926,-0.10817411391009046,-0.09486724146532854
1440,Plainview RE-2,061,7.7,2.0,32.0,264.0,209,-0.20833333333333337,6.462171819611491,6.867059322892304,1.810265517069343,1.8833356029797064,-0.058332198510146815,-0.10817411391009035,-0.09486724146532854
1450,Arriba-Flagler C-20,063,16.6,1.0,188.0,1370.0,1088,-0.20583941605839418,13.96434585324252,14.839282219111086,0.9063482170994194,0.9429323211790103,-0.05706767882098973,-0.10606733619812747,-0.09365178290058063
1460,Hi-Plains R-23,063,14.7,1.0,96.0,1370.0,1088,-0.20583941605839418,12.366017111003917,13.140810157887525,0.9063482170994194,0.9429323211790103,-0.05706767882098973,-0.10606733619812747,-0.09365178290058063
1480,Stratton R-4,063,17.2,3.0,220.0,1370.0,1088,-0.20583941605839418,14.469081245528393,15.375641817392207,2.7190446512982582,2.828796963537031,-0.05706767882098962,-0.10606733619812747,-0.09365178290058063
1490,Bethune R-5,063,12.7,1.0,99.0,1370.0,1088,-0.20583941605839418,10.683565803384337,11.35294483028378,0.9063482170994194,0.9429323211790103,-0.05706767882098973,-0.10606733619812747,-0.09365178290058063
1500,Burlington RE-6J,063,45.9,3.0,742.0,1370.0,1088,-0.20583941605839418,38.61225750986937,41.03150926850595,2.7190446512982582,2.828796963537031,-0.05706767882098962,-0.10606733619812747,-0.09365178290058063
1510,Lake County R-1,065,59.3,4.0,949.0,1178.0,1289,0.09422750424448223,63.444318216166614,67.41942322992365,4.156670260716451,4.3244513128260404,0.08111282820651011,0.1369211337255254,0.039167565179112795
1520,Durango 9-R,067,339.9,13.0,4492.0,7935.0,7022,-0.11505986137366098,310.11776619882687,329.54820097900495,12.339391371338012,12.837462167629234,-0.0125029101823666,-0.030455425186804996,-0.05081604835861442
1530,Bayfield 10 Jt-R,067,99.1,4.0,1183.0,7935.0,7022,-0.11505986137366098,90.41680091292658,96.08186736398761,3.7967358065655423,3.949988359270533,-0.012502910182366711,-0.030455425186805107,-0.05081604835861442
1540,Ignacio 11 JT,067,61.2,4.0,633.0,7935.0,7022,-0.11505986137366098,55.837620745419855,59.33612797856754,3.7967358065655423,3.949988359270533,-0.012502910182366711,-0.030455425186804996,-0.05081604835861442
1550,Poudre R-1,069,1874.7,53.0,29544.0,54087.0,54474,0.0071551389428143874,1884.7538487045895,2002.8431384051505,53.16146762946782,55.30729263147907,0.043533823235454294,0.06835394378041837,0.0030465590465627024
