year,pop_5_17,datatype,log_pop,teacher_fte,teacher_fte_low,teacher_fte_high,teacher_fte_obs_low,teacher_fte_obs_high,schools,schools_low,schools_high,schools_obs_low,schools_obs_high
2006,45246,Estimate,10.719869547430703,1574.6770737180123,1573.9898243221242,1575.3646231868263,1025.7610546443632,2417.3347928020285,53.680206955466545,53.65370396147265,53.70672304098328,36.471007214434835,79.00973509832835
2007,45553,Estimate,10.726631762209768,1585.3595317085671,1581.3857814842913,1589.343267283053,1032.712360882855,2433.7511004812204,53.894514115390805,53.7676299749125,54.02169768482129,36.616358588245255,79.32571024871137
2008,45954,Estimate,10.735396175137648,1598.5136611691596,1590.5127945906322,1606.554775060519,1041.2581051453274,2453.998592969221,54.155920004495584,53.90066683028166,54.41238196121217,36.79316194056367,79.71219424607011
2009,46149,Estimate,10.739630571223861,1606.3088309722832,1594.8321762829994,1617.8680734126897,1046.3037915328198,2466.041011549377,54.31351685505892,53.945331084846714,54.6842155537982,36.89908926916613,79.94663748055791
2010,46415,Estimate,10.745377961834032,1615.9751523585999,1600.7673594341027,1631.3274240946319,1052.553517660061,2480.990894264234,54.50674677607627,54.01858325590028,54.99932180814444,37.02870404811768,80.2346590431735
2011,47258,Estimate,10.763377230759513,1640.7106563495388,1620.021534282078,1661.6639969862376,1068.575541509741,2519.1774968530813,54.987352992830594,54.333754599789486,55.648813733366985,37.35220283893263,80.9486123802748
2012,48157,Estimate,10.78222178568365,1666.881455588912,1640.319275432473,1693.873765065436,1085.4975061668008,2559.650087818128,55.49220644096728,54.66167164644878,56.335360462526026,37.69102972997374,81.70073881632513
2013,49022,Estimate,10.800024455923422,1692.1465891614785,1659.6710052266178,1725.2576385280959,1101.79964229363,2598.8028760384536,55.976806267100805,54.96888964964436,57.003204173050065,38.01512787410361,82.42515585483666
2014,49229,Estimate,10.80423815972855,1700.3719657658212,1664.2612207424468,1737.2662331653048,1107.045419069384,2611.6948520439273,56.139206372971394,55.01923321267333,57.281977740488,38.12167722707407,82.67239852576034
2015,50085,Estimate,10.821476841045865,1725.4145465999045,1683.274202643919,1768.6098634093562,1123.1525817324725,2650.624150305937,56.61583116139608,55.31795633383884,57.94415684396757,38.43879152081636,83.38847844266547
2016,50043,Estimate,10.820637914822164,1727.242241480969,1682.2804417515483,1773.405721610837,1124.2319716339825,2653.692330436142,56.65781365514367,55.270635501817466,58.07980709893278,38.46348975522302,83.45856989601626
2017,49929,Estimate,10.818357275254836,1727.202797170379,1679.5881802322815,1776.1672400794166,1124.0940372830976,2653.8967413825626,56.66496088813732,55.190974181446656,58.178313394104485,38.4643589063258,83.47774105045775
2018,49698,Estimate,10.81371996982632,1724.1125292141164,1674.1571403347302,1775.5585433269212,1121.9743695313155,2649.4045622760814,56.61515439922641,55.05994980857651,58.21428676909128,38.42652452779082,83.41310454267405
2019,49136,Estimate,10.802347242680604,1712.3536671315128,1661.0174518628046,1765.2765045005247,1114.24185270019,2631.524811451951,56.403071835255005,54.78597913523121,58.0678955212308,38.27910366823083,83.1081767228843
2020,48100,Estimate,10.781037456093852,1688.0441957828305,1636.4949570336425,1741.2172244521767,1098.378303249773,2594.2730282319894,55.95405028281749,54.292738105785936,57.66619721686896,37.97131705192518,82.45317745419975
2021,47061,Estimate,10.75919991152435,1663.4211268801953,1611.2448929901327,1717.286960777553,1082.2888033559366,2556.5910289117114,55.49610577856084,53.77032282307916,57.27727852255523,37.6561995471054,81.78780104276234
2022,46265,Estimate,10.742141014683131,1645.0439562922347,1591.3488743100866,1700.5508105862962,1070.225309517396,2528.5980382522616,55.15424581659945,53.340267994616816,57.029912783806815,37.41842801258474,81.2965961738099
