school_year,level,school,school_raw,matrix_row_sum,attending_neighborhood,oe_from_within_district,oe_from_outside_district,placements_into_school,unmatched_addresses,within_bvsd_total,enrollment_total,pct_from_neighborhood
2023-2024,elementary,Community Montessori,Comm. Montessori,194,,194.0,31.0,2.0,0.0,196.0,227.0,
2023-2024,elementary,University Hill International,Uni-Hill Int.,346,,346.0,18.0,7.0,1.0,354.0,372.0,
2023-2024,elementary,Pioneer,Pioneer,336,,336.0,58.0,21.0,0.0,357.0,415.0,
2023-2024,elementary,Horizons,Horizons,220,,220.0,13.0,9.0,0.0,229.0,242.0,
2023-2024,elementary,Peak to Peak,Peak to Peak,374,,374.0,72.0,1.0,0.0,375.0,447.0,
2023-2024,high,Boulder,Boulder,1941,1772.0,169.0,21.0,24.0,9.0,1974.0,1995.0,0.89
2023-2024,high,Fairview,Fairview,1761,1182.0,579.0,62.0,12.0,8.0,1781.0,1843.0,0.64
2023-2024,high,Broomfield,Broomfield,863,843.0,20.0,814.0,3.0,6.0,872.0,1686.0,0.5
2023-2024,high,Centaurus,Centaurus,1473,1170.0,303.0,55.0,7.0,9.0,1489.0,1544.0,0.76
2023-2024,high,Monarch,Monarch,1322,1170.0,152.0,83.0,7.0,16.0,1345.0,1428.0,0.82
2023-2024,high,Nederland,Nederland,107,105.0,2.0,3.0,,,107.0,110.0,0.95
2023-2024,high,Arapahoe Ridge,Arapahoe Ridge,174,,174.0,28.0,9.0,,183.0,211.0,
2023-2024,high,Boulder Universal,Boulder Universal,80,,80.0,34.0,14.0,,94.0,128.0,
2023-2024,high,Halcyon,Halcyon,10,,10.0,,,,10.0,10.0,
2023-2024,high,New Vista,New Vista,269,,269.0,41.0,3.0,,272.0,313.0,
2023-2024,high,Boulder Prep,Boulder Prep,58,,58.0,39.0,9.0,1.0,68.0,107.0,
2023-2024,high,Peak to Peak,Peak-to-Peak,461,,461.0,135.0,3.0,,464.0,599.0,
2023-2024,high,Justice High,Justice High,51,,51.0,29.0,12.0,1.0,64.0,93.0,
2023-2024,middle,Manhattan,Manhattan,366,183.0,183.0,35.0,15.0,,381.0,416.0,0.44
2023-2024,middle,Casey,Casey,376,308.0,68.0,10.0,4.0,,380.0,390.0,0.79
2023-2024,middle,Centennial,Centennial,614,522.0,92.0,4.0,1.0,,615.0,619.0,0.84
2023-2024,middle,Platt,Platt,472,263.0,209.0,16.0,15.0,1.0,488.0,504.0,0.52
2023-2024,middle,Southern Hills,Southern Hills,473,307.0,166.0,18.0,1.0,,474.0,492.0,0.62
2023-2024,middle,Aspen Creek K-8,Aspen Creek K-8,217,189.0,28.0,89.0,9.0,,226.0,315.0,0.6
2023-2024,middle,Broomfield Heights,Broomfield Heights,340,255.0,85.0,142.0,11.0,3.0,354.0,496.0,0.51
2023-2024,middle,Angevine,Angevine,583,562.0,21.0,14.0,5.0,5.0,593.0,607.0,0.93
2023-2024,middle,Meadowlark,Meadowlark,197,186.0,11.0,22.0,1.0,,198.0,220.0,0.85
2023-2024,middle,Louisville Middle,Louisville Middle,576,445.0,131.0,14.0,17.0,1.0,594.0,608.0,0.73
2023-2024,middle,Monarch K-8,Monarch K-8,361,211.0,150.0,38.0,11.0,1.0,373.0,411.0,0.51
2023-2024,middle,Eldorado K-8,Eldorado K-8,244,238.0,6.0,11.0,7.0,,251.0,262.0,0.91
2023-2024,middle,Nederland,Nederland,105,105.0,,4.0,,,105.0,109.0,0.96
2023-2024,middle,Boulder Universal,Boulder Universal,29,,29.0,21.0,2.0,,31.0,52.0,
2023-2024,middle,Halcyon,Halcyon,0,,,,4.0,,4.0,4.0,
2023-2024,middle,Horizons,Horizons,108,,108.0,7.0,2.0,,110.0,117.0,
2023-2024,middle,Summit,Summit,351,,351.0,4.0,6.0,,357.0,361.0,
2023-2024,middle,Justice High,Justice High,4,,4.0,3.0,3.0,,7.0,10.0,
2023-2024,middle,Peak to Peak,Peak to Peak,326,,326.0,79.0,1.0,,327.0,406.0,
2024-2025,elementary,Bear Creek,Bear Creek *,294,230.0,64.0,11.0,13.0,0.0,307.0,318.0,0.72
2024-2025,elementary,Columbine,Columbine,327,260.0,67.0,7.0,5.0,4.0,336.0,343.0,0.76
2024-2025,elementary,Creekside,Creekside *,315,271.0,44.0,3.0,9.0,0.0,324.0,327.0,0.83
2024-2025,elementary,Crest View,Crest View,373,341.0,32.0,10.0,7.0,0.0,380.0,390.0,0.87
2024-2025,elementary,Douglass,Douglass,267,181.0,86.0,4.0,11.0,0.0,278.0,282.0,0.64
2024-2025,elementary,Eisenhower,Eisenhower,260,221.0,39.0,3.0,13.0,0.0,273.0,276.0,0.8
2024-2025,elementary,Flatirons,Flatirons,150,120.0,30.0,4.0,9.0,0.0,159.0,163.0,0.74
2024-2025,elementary,Foothill,Foothill,399,316.0,83.0,4.0,15.0,0.0,414.0,418.0,0.76
2024-2025,elementary,Heatherwood,Heatherwood,213,202.0,11.0,14.0,6.0,0.0,219.0,233.0,0.87
2024-2025,elementary,Mesa,Mesa *,208,157.0,51.0,9.0,13.0,0.0,221.0,230.0,0.68
2024-2025,elementary,Whittier,Whittier,254,172.0,82.0,6.0,7.0,0.0,261.0,267.0,0.64
2024-2025,elementary,Aspen Creek K-8,Aspen Creek K-8,317,234.0,83.0,113.0,13.0,0.0,330.0,443.0,0.53
2024-2025,elementary,Birch,Birch,214,194.0,20.0,54.0,7.0,0.0,221.0,275.0,0.71
2024-2025,elementary,Emerald,Emerald,279,242.0,37.0,60.0,9.0,0.0,288.0,348.0,0.7
2024-2025,elementary,Kohl,Kohl,218,182.0,36.0,29.0,7.0,0.0,225.0,254.0,0.72
2024-2025,elementary,Lafayette,Lafayette Elem.,454,366.0,88.0,2.0,8.0,1.0,463.0,465.0,0.79
2024-2025,elementary,Ryan,Ryan,390,365.0,25.0,11.0,8.0,1.0,399.0,410.0,0.89
2024-2025,elementary,Sanchez,Sanchez,275,242.0,33.0,13.0,0.0,2.0,277.0,290.0,0.83
2024-2025,elementary,Meadowlark,Meadowlark,449,429.0,20.0,15.0,4.0,0.0,453.0,468.0,0.92
2024-2025,elementary,Coal Creek,Coal Creek,263,241.0,22.0,10.0,10.0,0.0,273.0,283.0,0.85
2024-2025,elementary,Fireside,Fireside,369,254.0,115.0,15.0,13.0,0.0,382.0,397.0,0.64
2024-2025,elementary,Louisville,Louisville Elem.,395,347.0,48.0,7.0,15.0,0.0,410.0,417.0,0.83
2024-2025,elementary,Monarch K-8,Monarch K-8,221,146.0,75.0,28.0,15.0,0.0,236.0,264.0,0.55
2024-2025,elementary,Eldorado K-8,Eldorado K-8,224,187.0,37.0,25.0,7.0,0.0,231.0,256.0,0.73
2024-2025,elementary,Superior,Superior,397,323.0,74.0,8.0,11.0,0.0,408.0,416.0,0.78
2024-2025,elementary,Gold Hill,Gold Hill,10,7.0,3.0,0.0,0.0,0.0,10.0,10.0,0.7
2024-2025,elementary,Jamestown,Jamestown,17,6.0,11.0,0.0,0.0,0.0,17.0,17.0,0.35
2024-2025,elementary,Nederland,Nederland Elem.,170,168.0,2.0,2.0,0.0,0.0,170.0,172.0,0.98
2024-2025,elementary,BCSIS,BCSIS,241,,241.0,10.0,3.0,0.0,244.0,254.0,
2024-2025,elementary,Boulder Universal,Boulder Universal,19,,19.0,27.0,0.0,0.0,19.0,46.0,
2024-2025,elementary,Halcyon,Halcyon,0,,0.0,0.0,1.0,0.0,1.0,1.0,
2024-2025,elementary,High Peaks,High Peaks,231,,231.0,25.0,1.0,0.0,232.0,257.0,
2024-2025,elementary,Community Montessori,Comm. Montessori,193,,193.0,36.0,1.0,2.0,196.0,232.0,
2024-2025,elementary,University Hill International,Uni-Hill Int.,354,,354.0,15.0,11.0,0.0,365.0,380.0,
2024-2025,elementary,Pioneer,Pioneer,320,,320.0,52.0,21.0,4.0,345.0,397.0,
2024-2025,elementary,Horizons,Horizons,210,,210.0,17.0,11.0,0.0,221.0,238.0,
2024-2025,elementary,Peak to Peak,Peak to Peak,386,,386.0,59.0,0.0,0.0,386.0,445.0,
2024-2025,high,Boulder,Boulder,1883,1699.0,184.0,22.0,20.0,9.0,1912.0,1934.0,0.88
2024-2025,high,Fairview,Fairview,1757,1179.0,578.0,74.0,11.0,12.0,1780.0,1854.0,0.64
2024-2025,high,Broomfield,Broomfield,844,829.0,15.0,846.0,2.0,,846.0,1692.0,0.49
2024-2025,high,Centaurus,Centaurus,1471,1188.0,283.0,49.0,19.0,5.0,1495.0,1544.0,0.77
2024-2025,high,Monarch,Monarch,1323,1159.0,164.0,90.0,5.0,8.0,1336.0,1426.0,0.81
2024-2025,high,Nederland,Nederland,107,107.0,,6.0,,,107.0,113.0,0.95
2024-2025,high,Arapahoe Ridge,Arapahoe Ridge,143,,143.0,24.0,14.0,1.0,158.0,182.0,
2024-2025,high,Boulder Universal,Boulder Universal,87,,87.0,33.0,13.0,,100.0,133.0,
2024-2025,high,Halcyon,Halcyon,7,,7.0,,2.0,,9.0,9.0,
2024-2025,high,New Vista,New Vista,282,,282.0,40.0,4.0,,286.0,326.0,
2024-2025,high,Boulder Prep,Boulder Prep,49,,49.0,34.0,23.0,,72.0,106.0,
2024-2025,high,Peak to Peak,Peak-to-Peak,469,,469.0,126.0,3.0,,472.0,598.0,
2024-2025,high,Justice High,Justice High,49,,49.0,33.0,14.0,,63.0,96.0,
2024-2025,middle,Manhattan,Manhattan,412,204.0,208.0,39.0,27.0,2.0,441.0,480.0,0.43
2024-2025,middle,Casey,Casey,344,281.0,63.0,12.0,4.0,,348.0,360.0,0.78
2024-2025,middle,Centennial,Centennial,586,473.0,113.0,4.0,2.0,1.0,589.0,593.0,0.8
2024-2025,middle,Platt,Platt,455,240.0,215.0,16.0,12.0,,467.0,483.0,0.5
2024-2025,middle,Southern Hills,Southern Hills,471,314.0,157.0,24.0,5.0,1.0,477.0,501.0,0.63
2024-2025,middle,Aspen Creek K-8,Aspen Creek K-8,262,225.0,37.0,100.0,9.0,,271.0,371.0,0.61
2024-2025,middle,Broomfield Heights,Broomfield Heights,335,269.0,66.0,145.0,7.0,1.0,343.0,488.0,0.55
2024-2025,middle,Angevine,Angevine,598,570.0,28.0,7.0,9.0,2.0,609.0,616.0,0.93
2024-2025,middle,Meadowlark,Meadowlark,205,187.0,18.0,19.0,2.0,,207.0,226.0,0.83
2024-2025,middle,Louisville Middle,Louisville Middle,606,433.0,173.0,10.0,11.0,,617.0,627.0,0.69
2024-2025,middle,Monarch K-8,Monarch K-8,348,177.0,171.0,36.0,14.0,,362.0,398.0,0.44
2024-2025,middle,Eldorado K-8,Eldorado K-8,223,212.0,11.0,9.0,8.0,,231.0,240.0,0.88
2024-2025,middle,Nederland,Nederland,95,94.0,1.0,4.0,,,95.0,99.0,0.95
2024-2025,middle,Boulder Universal,Boulder Universal,23,,23.0,22.0,4.0,,27.0,49.0,
2024-2025,middle,Halcyon,Halcyon,3,,3.0,,4.0,,7.0,7.0,
2024-2025,middle,Horizons,Horizons,111,,111.0,6.0,3.0,,114.0,120.0,
2024-2025,middle,Summit,Summit,358,,358.0,3.0,4.0,1.0,363.0,366.0,
2024-2025,middle,Justice High,Justice High,3,,3.0,3.0,3.0,,6.0,9.0,
2024-2025,middle,Peak to Peak,Peak to Peak,332,,332.0,70.0,1.0,1.0,334.0,404.0,
2025-2026,elementary,Bear Creek,Bear Creek *,286,216.0,70.0,13.0,13.0,0.0,299.0,312.0,0.69
2025-2026,elementary,Columbine,Columbine,290,221.0,69.0,17.0,4.0,2.0,296.0,313.0,0.71
2025-2026,elementary,Creekside,Creekside *,277,240.0,37.0,1.0,10.0,0.0,287.0,288.0,0.83
2025-2026,elementary,Crest View,Crest View,319,303.0,16.0,6.0,5.0,0.0,324.0,330.0,0.92
2025-2026,elementary,Douglass,Douglass,259,164.0,95.0,8.0,13.0,1.0,273.0,281.0,0.58
2025-2026,elementary,Eisenhower,Eisenhower,251,206.0,45.0,2.0,12.0,0.0,263.0,265.0,0.78
2025-2026,elementary,Flatirons,Flatirons,140,116.0,24.0,4.0,7.0,0.0,147.0,151.0,0.77
2025-2026,elementary,Foothill,Foothill,419,304.0,115.0,4.0,11.0,0.0,430.0,434.0,0.7
2025-2026,elementary,Heatherwood,Heatherwood,207,190.0,17.0,11.0,7.0,0.0,214.0,225.0,0.84
2025-2026,elementary,Mesa,Mesa *,204,156.0,48.0,10.0,10.0,0.0,214.0,224.0,0.7
2025-2026,elementary,Whittier,Whittier,246,152.0,94.0,6.0,5.0,0.0,251.0,257.0,0.59
2025-2026,elementary,Aspen Creek K-8,Aspen Creek K-8,331,244.0,87.0,131.0,10.0,0.0,341.0,472.0,0.52
2025-2026,elementary,Birch,Birch,206,183.0,23.0,45.0,7.0,1.0,214.0,259.0,0.71
2025-2026,elementary,Emerald,Emerald,285,243.0,42.0,74.0,6.0,0.0,291.0,365.0,0.67
2025-2026,elementary,Kohl,Kohl,215,187.0,28.0,31.0,9.0,1.0,225.0,256.0,0.73
2025-2026,elementary,Lafayette,Lafayette Elem.,434,331.0,103.0,7.0,9.0,0.0,443.0,450.0,0.74
2025-2026,elementary,Ryan,Ryan,372,342.0,30.0,13.0,8.0,0.0,380.0,393.0,0.87
2025-2026,elementary,Sanchez,Sanchez,264,225.0,39.0,9.0,3.0,0.0,267.0,276.0,0.82
2025-2026,elementary,Meadowlark,Meadowlark,436,406.0,30.0,26.0,9.0,0.0,445.0,471.0,0.86
2025-2026,elementary,Coal Creek,Coal Creek,253,223.0,30.0,8.0,8.0,0.0,261.0,269.0,0.83
2025-2026,elementary,Fireside,Fireside,376,259.0,117.0,16.0,12.0,1.0,389.0,405.0,0.64
2025-2026,elementary,Louisville,Louisville Elem.,363,317.0,46.0,5.0,14.0,0.0,377.0,382.0,0.83
2025-2026,elementary,Monarch K-8,Monarch K-8,214,149.0,65.0,31.0,17.0,2.0,233.0,264.0,0.56
2025-2026,elementary,Eldorado K-8,Eldorado K-8,216,169.0,47.0,23.0,11.0,2.0,229.0,252.0,0.67
2025-2026,elementary,Superior,Superior,410,313.0,97.0,10.0,13.0,0.0,423.0,433.0,0.72
2025-2026,elementary,Gold Hill,Gold Hill,11,7.0,4.0,0.0,0.0,0.0,11.0,11.0,0.64
2025-2026,elementary,Jamestown,Jamestown,17,6.0,11.0,0.0,0.0,0.0,17.0,17.0,0.35
2025-2026,elementary,Nederland,Nederland Elem.,165,163.0,2.0,1.0,0.0,0.0,165.0,166.0,0.98
2025-2026,elementary,BCSIS,BCSIS,231,,231.0,17.0,4.0,1.0,236.0,253.0,
2025-2026,elementary,Boulder Universal,Boulder Universal,15,,15.0,24.0,0.0,0.0,15.0,39.0,
2025-2026,elementary,Halcyon,Halcyon,1,,1.0,0.0,3.0,0.0,4.0,4.0,
2025-2026,elementary,High Peaks,High Peaks,252,,252.0,28.0,1.0,2.0,255.0,283.0,
2025-2026,elementary,Community Montessori,Comm. Montessori,165,,165.0,25.0,1.0,2.0,168.0,193.0,
2025-2026,elementary,University Hill International,Uni-Hill Int.,336,,336.0,21.0,9.0,2.0,347.0,368.0,
2025-2026,elementary,Pioneer,Pioneer,289,,289.0,64.0,18.0,0.0,307.0,371.0,
2025-2026,elementary,Horizons,Horizons,212,,212.0,22.0,11.0,0.0,223.0,245.0,
2025-2026,elementary,Peak to Peak,Peak to Peak,398,,398.0,52.0,0.0,0.0,398.0,450.0,
2025-2026,high,Boulder,Boulder,1731,1547.0,184.0,28.0,11.0,4.0,1746.0,1774.0,0.87
2025-2026,high,Fairview,Fairview,1767,1153.0,614.0,75.0,13.0,4.0,1784.0,1859.0,0.62
2025-2026,high,Broomfield,Broomfield,819,797.0,22.0,849.0,1.0,,820.0,1669.0,0.48
2025-2026,high,Centaurus,Centaurus,1466,1198.0,268.0,65.0,17.0,8.0,1491.0,1556.0,0.77
2025-2026,high,Monarch,Monarch,1349,1188.0,161.0,101.0,7.0,10.0,1366.0,1467.0,0.81
2025-2026,high,Nederland,Nederland,94,93.0,1.0,7.0,,,94.0,101.0,0.92
2025-2026,high,Arapahoe Ridge,Arapahoe Ridge,121,,121.0,29.0,26.0,1.0,148.0,177.0,
2025-2026,high,Boulder Universal,Boulder Universal,92,,92.0,41.0,18.0,1.0,111.0,152.0,
2025-2026,high,Halcyon,Halcyon,9,,9.0,,2.0,,11.0,11.0,
2025-2026,high,New Vista,New Vista,265,,265.0,42.0,4.0,,269.0,311.0,
2025-2026,high,Boulder Prep,Boulder Prep,47,,47.0,27.0,13.0,1.0,61.0,88.0,
2025-2026,high,Peak to Peak,Peak-to-Peak,476,,476.0,112.0,4.0,2.0,482.0,594.0,
2025-2026,high,Justice High,Justice High,46,,46.0,32.0,11.0,,57.0,89.0,
2025-2026,middle,Manhattan,Manhattan,393,178.0,215.0,34.0,25.0,,418.0,452.0,0.39
2025-2026,middle,Casey,Casey,308,254.0,54.0,9.0,1.0,1.0,310.0,319.0,0.8
2025-2026,middle,Centennial,Centennial,551,432.0,119.0,7.0,1.0,,552.0,559.0,0.77
2025-2026,middle,Platt,Platt,467,266.0,201.0,12.0,8.0,,475.0,487.0,0.55
2025-2026,middle,Southern Hills,Southern Hills,536,317.0,219.0,14.0,7.0,1.0,544.0,558.0,0.57
2025-2026,middle,Aspen Creek K-8,Aspen Creek K-8,270,235.0,35.0,127.0,12.0,,282.0,409.0,0.57
2025-2026,middle,Broomfield Heights,Broomfield Heights,319,250.0,69.0,151.0,10.0,1.0,330.0,481.0,0.52
2025-2026,middle,Angevine,Angevine,569,551.0,18.0,12.0,4.0,3.0,576.0,588.0,0.94
2025-2026,middle,Meadowlark,Meadowlark,225,208.0,17.0,10.0,3.0,,228.0,238.0,0.87
2025-2026,middle,Louisville Middle,Louisville Middle,607,399.0,208.0,12.0,6.0,,613.0,625.0,0.64
2025-2026,middle,Monarch K-8,Monarch K-8,375,169.0,206.0,35.0,12.0,1.0,388.0,423.0,0.4
2025-2026,middle,Eldorado K-8,Eldorado K-8,153,136.0,17.0,9.0,5.0,,158.0,167.0,0.81
2025-2026,middle,Nederland,Nederland,86,86.0,,5.0,,,86.0,91.0,0.95
2025-2026,middle,Boulder Universal,Boulder Universal,19,,19.0,13.0,1.0,,20.0,33.0,
2025-2026,middle,Halcyon,Halcyon,4,,4.0,,,,4.0,4.0,
2025-2026,middle,Horizons,Horizons,115,,115.0,6.0,2.0,,117.0,123.0,
2025-2026,middle,Summit,Summit,358,,358.0,3.0,3.0,1.0,362.0,365.0,
2025-2026,middle,Justice High,Justice High,2,,2.0,2.0,2.0,,4.0,6.0,
2025-2026,middle,Peak to Peak,Peak to Peak,332,,332.0,71.0,1.0,,333.0,404.0,
