school_year,level,file,url,sha256,matrix_date,grade_line,footnotes,n_schools,n_areas,n_edges
2019-2020,high,high_2019-2020.pdf,https://resources.finalsite.net/images/v1578065809/bvsdorg/jmdispfqtzmrtgsei453/HighMatrix2019-20.pdf,447bd773b2a9dce6c7e243a7b57cda9b522fe0341a3a001397ff8a8eebac6b7e,1/2/2020,"HIGH SCHOOL, 9-12",* Note: optional enrollment areas excluded.,13,7,79
2019-2020,middle,middle_2019-2020.pdf,https://resources.finalsite.net/images/v1578950103/bvsdorg/yta0avhpp9zuwspheoeg/MiddleMatrix2019-20.pdf,4b5c02efd2acaa658f064c6168d89bf1a7f253707431f399bf567bf2159516f2,1/6/2020,"Middle School, 6th - 8th",,19,13,155
2020-2021,elementary,elementary_2020-2021.pdf,https://resources.finalsite.net/images/v1666968717/bvsdorg/e4emdrr3oihi0i4742zr/ElementaryMatrix2020-21.pdf,bd07113e5a30e810665d8feab24cc4fef42c9a15cb8271d941b05e5072c9737a,10/27/2022,"ELEMENTARY SCHOOL, K-5",*ke e rC ra e B e n ib m u lo C *e d iske e rC w e iV tse rC ssa lg u o D re w o h n e siE sn o rita lF llih to o F d o o w re h ta e H *a se M re ittih W /ke e rC ra e B la n o itp O e d iske e rC a se M /ke e rC ra e B la n o itp O 8 -K ke e rC n e p sA h criB d la re m E lh o K e tte ya fa L n a yR ze h cn a S kra lw o d a e M ke e rC la o C e d ise riF e llivsiu o L 8 -K h cra n o M 8 -K o d a ro d lE ro ire p u S lliH d lo G n w o tse m a J d n a lre d e N do o h ro b h g ie N g n id n e ttA lo o h cS n ih tiw m o rf d e llo rn E n e p O tcirtsiD e d istu o m o rf d e llo rn E n e p O tcirtsiD lo o h cS o tn i stn e m e ca lP se sse rd d A d e h cta m n U **se ira d n u o B D S V B n ih tiW la to T tn e m llo rn E tn e d u tS m o rf tn e m llo rn E fo % e rA e cn a d n e ttA do o h ro b h g ie | *ke e rC ra e B e n ib m u lo C *e d iske e rC w e iV tse rC ssa lg u o D re w o h n e siE sn o rita lF llih to o F d o o w re h ta e H *a se M re ittih W e d iske e rC /ke e rC ra e B la n o itp | * Note optional enrollment areas excluded. | ** May include a nominal number of placements from outside BVSD,37,30,448
2020-2021,high,high_2020-2021.pdf,https://resources.finalsite.net/images/v1609281016/bvsdorg/qshr4iztfzo7rr69qpqp/HighMatrix2020-21.pdf,8ac0ca2b0f086712144e2b77a74d8bde9bf70aaf02679864686e7d8299c4ad6b,12/23/2020,"HIGH SCHOOL, 9-12",* Note optional enrollment areas excluded.,13,7,75
2020-2021,middle,middle_2020-2021.pdf,https://resources.finalsite.net/images/v1609281016/bvsdorg/zedqmzacq9h0wo9mxelp/MiddleMatrix2020-21.pdf,ae787c5462676d95db8f3f5e595deb697b5e23fe2e2df008e7946a8892fa3cda,12/23/2020,"Middle School, 6th - 8th",,19,13,151
2021-2022,elementary,elementary_2021-2022.pdf,https://resources.finalsite.net/images/v1666968472/bvsdorg/xx5b3cibilj68ik9dnme/Elementary_Matrix_2021-22.pdf,aa17b17296f0396576daa8b400cc8a4b041c20630a2b1302843eaa70e6069e34,10/27/2022,"ELEMENTARY SCHOOL, K-5",*ke e rC ra e B e n ib m u lo C *e d iske e rC w e iV tse rC ssa lg u o D re w o h n e siE sn o rita lF llih to o F d o o w re h ta e H *a se M re ittih W /ke e rC ra e B la n o itp O e d iske e rC a se M /ke e rC ra e B la n o itp O 8 -K ke e rC n e p sA h criB d la re m E lh o K e tte ya fa L n a yR ze h cn a S kra lw o d a e M ke e rC la o C e d ise riF e llivsiu o L 8 -K h cra n o M 8 -K o d a ro d lE ro ire p u S lliH d lo G n w o tse m a J d n a lre d e N do o h ro b h g ie N g n id n e ttA lo o h cS n ih tiw m o rf d e llo rn E n e p O tcirtsiD e d istu o m o rf d e llo rn E n e p O tcirtsiD lo o h cS o tn i stn e m e ca lP se sse rd d A d e h cta m n U **se ira d n u o B D S V B n ih tiW la to T tn e m llo rn E tn e d u tS m o rf tn e m llo rn E fo % e rA e cn a d n e ttA do o h ro b h g ie | *ke e rC ra e B e n ib m u lo C *e d iske e rC w e iV tse rC ssa lg u o D re w o h n e siE sn o rita lF llih to o F d o o w re h ta e H *a se M re ittih W e d iske e rC /ke e rC ra e B la n o itp | * Note optional enrollment areas excluded. | ** May include a nominal number of placements from outside BVSD,37,30,438
2021-2022,high,high_2021-2022.pdf,https://resources.finalsite.net/images/v1640128470/bvsdorg/kouqnhqepox9blbypv6y/High_School_Matrix2021-22.pdf,37ff13dc29933f106082ea3121c80713e13ff019e274dea823ea8f8088c0fcc9,12/21/2021,"HIGH SCHOOL, 9-12",* Note optional enrollment areas excluded.,13,7,71
2021-2022,middle,middle_2021-2022.pdf,https://resources.finalsite.net/images/v1640128470/bvsdorg/gh1wq59lzxqfgtc43blf/Middle_School_Matrix_2021-22.pdf,40963d246fdc21729c9b17edbf7d11f5b056773d5c7e59bca6bcc097212ccedf,12/21/2021,"Middle School, 6th - 8th",,19,13,142
2022-2023,elementary,elementary_2022-2023.pdf,https://resources.finalsite.net/images/v1674243989/bvsdorg/cdckyv4yeugqbknn17xg/ElemMatrix2022-23.pdf,f5cf38217c3d3796da15106fee2e96b49a035c792f2faac84be42995da791de9,12/21/2022,"ELEMENTARY SCHOOL, K-5",*ke e rC ra e B e n ib m u lo C *e d iske e rC w e iV tse rC ssa lg u o D re w o h n e siE sn o rita lF llih to o F d o o w re h ta e H *a se M re ittih W /ke e rC ra e B la n o itp O e d iske e rC a se M /ke e rC ra e B la n o itp O 8 -K ke e rC n e p sA h criB d la re m E lh o K e tte ya fa L n a yR ze h cn a S kra lw o d a e M ke e rC la o C e d ise riF e llivsiu o L 8 -K h cra n o M 8 -K o d a ro d lE ro ire p u S lliH d lo G n w o tse m a J d n a lre d e N do o h ro b h g ie N g n id n e ttA lo o h cS n ih tiw m o rf d e llo rn E n e p O tcirtsiD e d istu o m o rf d e llo rn E n e p O tcirtsiD lo o h cS o tn i stn e m e ca lP se sse rd d A d e h cta m n U **se ira d n u o B D S V B n ih tiW la to T tn e m llo rn E tn e d u tS m o rf tn e m llo rn E fo % | *ke e rC ra e B e n ib m u lo C *e d iske e rC w e iV tse rC ssa lg u o D re w o h n e siE sn o rita lF llih to o F d o o w re h ta e H *a se M re ittih W e d iske e rC /ke e rC ra e B la n o itp | * Note optional enrollment areas excluded. | ** May include a nominal number of placements from outside BVSD,37,30,435
2022-2023,high,high_2022-2023.pdf,https://resources.finalsite.net/images/v1674243989/bvsdorg/rruvh0hh5ft9eknhgenu/HighMatrix2022-23.pdf,1d69c707bfeaa0564c47c596661a87513ffe33d36fafa389e15bc731df8deff4,12/21/2022,"HIGH SCHOOL, 9-12",*re d lu o B *w e iv ria F la n o itp O w e iv ria F /re d lu o B d le ifm o o rB s u ru a tn e C h c ra n o M d n a lre d e N d o o h ro b h g ie N g n id n e ttA lo o h cS n ih tiw m o rf d e llo rn E n e p O tcirtsiD e d istu o m o rf d e llo rn E n e p O tcirtsiD lo o h cS o tn I tn e m e ca lP s e ss e rd d A d e h cta m n U se ira d n u o B D S V B n ih tiW la to T tn e m llo rn E m o rf tn e m llo rn E fo % e c n a d n e ttA d o o h ro b h g ie N a e rA | *re d lu o B *w e iv ria F la n o itp O w e iv ria F /re d lu o B d le ifm o o rB s u ru a tn e C h c ra n o M d n a lre d e N d o o h ro b h g ie N g n id n e ttA lo o h cS n ih tiw m o rf d e llo rn E n e p O tcirtsiD e d istu o m o rf d e llo rn E n e p O tcirtsiD lo o h cS o tn I tn e m e ca lP s e ss e rd d A d e h cta m n U se ira d n u o B D S V B n ih tiW la to T tn e m llo rn E m o rf tn e m llo rn E fo % e c n a d n e ttA d o o h ro b h g ie N a e rA | * Note optional enrollment areas excluded.,13,7,75
2022-2023,middle,middle_2022-2023.pdf,https://resources.finalsite.net/images/v1674243989/bvsdorg/g5tp6cgvsngwfk6hqw10/MiddleMatrix2022-23.pdf,6a735a59d679a35ca9b8a11b683bb6405c5eff468eb44ce85bc7c32e5489f732,12/20/2022,"Middle School, 6th - 8th",,19,13,150
2023-2024,elementary,elementary_2023-2024.pdf,https://resources.finalsite.net/images/v1702400428/bvsdorg/aetbngspd9ginnzrvhln/ElemMatrix2023-24.pdf,dc3b01fc998b051601944632dec885e52d4f573bc961c595864d5691122c1f3c,12/11/2023,"ELEMENTARY SCHOOL, K-5",*ke e rC ra e B e n ib m u lo C *e d iske e rC w e iV tse rC ssa lg u o D re w o h n e siE sn o rita lF llih to o F d o o w re h ta e H *a se M re ittih W /ke e rC ra e B la n o itp O e d iske e rC a se M /ke e rC ra e B la n o itp O 8 -K ke e rC n e p sA h criB d la re m E lh o K e tte ya fa L n a yR ze h cn a S kra lw o d a e M ke e rC la o C e d ise riF e llivsiu o L 8 -K h cra n o M 8 -K o d a ro d lE ro ire p u S lliH d lo G n w o tse m a J d n a lre d e N do o h ro b h g ie N g n id n e ttA lo o h cS n ih tiw m o rf d e llo rn E n e p O tcirtsiD e d istu o m o rf d e llo rn E n e p O tcirtsiD lo o h cS o tn i stn e m e ca lP se sse rd d A d e h cta m n U **se ira d n u o B D S V B n ih tiW la to T tn e m llo rn E tn e d u tS m o rf tn e m llo rn E fo % e rA e cn a d n e ttA do o h ro b h g ie | *ke e rC ra e B e n ib m u lo C *e d iske e rC w e iV tse rC ssa lg u o D re w o h n e siE sn o rita lF llih to o F d o o w re h ta e H *a se M re ittih W e d iske e rC /ke e rC ra e B la n o itp | * Note optional enrollment areas excluded. | ** May include a nominal number of placements from outside BVSD,37,30,442
2023-2024,high,high_2023-2024.pdf,https://resources.finalsite.net/images/v1702400428/bvsdorg/d48by4zwthau9gp3awg4/HighMatrix2023-24.pdf,ea6993dee9c749017ae4b0216194bf9225a013ef610dd9091adfeb19018b92a8,12/11/2023,"HIGH SCHOOL, 9-12",*re d lu o B *w e iv ria F la n o itp O w e iv ria F /re d lu o B d le ifm o o rB s u ru a tn e C h c ra n o M d n a lre d e N d o o h ro b h g ie N g n id n e ttA lo o h cS n ih tiw m o rf d e llo rn E n e p O tcirtsiD e d istu o m o rf d e llo rn E n e p O tcirtsiD lo o h cS o tn I tn e m e ca lP s e ss e rd d A d e h cta m n U se ira d n u o B D S V B n ih tiW la to T tn e m llo rn E m o rf tn e m llo rn E fo % e c n a d n e ttA d o o h ro b h g ie N a e rA | *re d lu o B *w e iv ria F la n o itp O w e iv ria F /re d lu o B d le ifm o o rB s u ru a tn e C h c ra n o M d n a lre d e N d o o h ro b h g ie N g n id n e ttA lo o h cS n ih tiw m o rf d e llo rn E n e p O tcirtsiD e d istu o m o rf d e llo rn E n e p O tcirtsiD lo o h cS o tn I tn e m e ca lP s e ss e rd d A d e h cta m n U se ira d n u o B D S V B n ih tiW la to T tn e m llo rn E m o rf tn e m llo rn E fo % e c n a d n e ttA d o o h ro b h g ie N a e rA | * Note optional enrollment areas excluded.,13,7,74
2023-2024,middle,middle_2023-2024.pdf,https://resources.finalsite.net/images/v1702400428/bvsdorg/xj2u3ddsvb2owimxe2he/MiddleMatrix2023-24.pdf,6a901f05f19995bc91f834c1f4b60bf91a19a8fe6dabbda7b96e247ae492c0cb,12/11/2023,"Middle School, 6th - 8th",,19,13,144
