GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET3001,ET3002,ET3003,ET3004,ET3005,ET3006,ET3007,ET3008,ET3009,ET3010,ET3011,ET3012,ET3013,ET3014,ET3015,ET3016,ET3017,ET3018,ET3019,ET3020,ET3021,ET3022,ET3023,ET3024,ET3025,ET3026,ET3027,ET3028,ET3029,ET3030,ET3031
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Under 1 year,1 and 2 years,3 and 4 years,5 years,6 years,7 to 9 years,10 and 11 years,12 and 13 years,14 years,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"G1700750","1990","IL",,,,,,,,,,,,"99","Iroquois","075",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0002891753","0000004152","Iroquois County","A","+40742039","-087823619","06",355,836,822,473,467,1379,959,867,455,489,425,444,379,326,331,303,909,2018,2306,2129,2032,1738,1543,1529,602,1037,1642,1424,1136,746,686
"G1700770","1990","IL",,,,,,,,,,,,"99","Jackson","077",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001523287","0000037297","Jackson County","A","+37787522","-089381489","06",598,1409,1355,692,691,2048,1306,1210,574,552,585,580,1890,3168,3244,3151,5822,5409,4409,3870,3398,2559,2051,1913,779,1229,1888,1637,1432,912,706
"G1700790","1990","IL",,,,,,,,,,,,"99","Jasper","079",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001280600","0000009366","Jasper County","A","+39005595","-088149320","06",119,306,347,163,173,559,367,345,144,174,151,150,130,123,117,115,310,790,811,733,635,534,488,484,204,270,522,465,366,262,252
"G1700810","1990","IL",,,,,,,,,,,,"99","Jefferson","081",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001479074","0000032808","Jefferson County","A","+38300731","-088923508","06",475,1112,1141,524,582,1721,1155,1165,521,517,493,541,491,471,426,421,1297,2675,2863,2844,2469,2017,1681,1624,649,1042,1842,1511,1226,861,663
"G1700830","1990","IL",,,,,,,,,,,,"99","Jersey","083",,,"3","7040",,,,"9999","2","Illinois","17",,,,"0000956310","0000020249","Jersey County","A","+39088432","-090358353","06",196,598,624,329,334,994,649,596,260,327,315,286,304,404,333,365,799,1482,1665,1530,1290,1119,1027,948,351,581,911,688,559,362,313
"G1700850","1990","IL",,,,,,,,,,,,"99","Jo Daviess","085",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001557035","0000045630","Jo Daviess County","A","+42364490","-090210057","06",234,589,563,363,295,1017,636,671,334,340,342,332,288,242,246,245,690,1493,1609,1528,1510,1258,1115,1077,438,724,1174,935,699,440,394
"G1700870","1990","IL",,,,,,,,,,,,"99","Johnson","087",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000896238","0000007375","Johnson County","A","+37459435","-088874185","06",112,214,218,109,132,380,287,254,127,130,131,154,159,142,169,166,510,1031,1078,953,803,672,603,524,204,332,547,437,355,238,176
"G1700890","1990","IL",,,,,,,,,,,,"14","Kane","089",,,"3","1602",,,,"0620","2","Illinois","17",,,,"0001348612","0000008851","Kane County","A","+41935616","-088432380","06",4955,11511,11333,5589,5468,16469,10662,9760,4625,4807,4649,4697,4597,4718,4598,4312,13183,27378,29519,27390,23796,17984,13645,11698,4286,6281,9316,7425,5490,3924,3406
"G1700910","1990","IL",,,,,,,,,,,,"99","Kankakee","091",,,"3","3740",,,,"9999","2","Illinois","17",,,,"0001754741","0000010312","Kankakee County","A","+41137733","-087862732","06",1320,3070,2912,1585,1492,4672,3199,3028,1376,1517,1433,1486,1443,1571,1427,1350,3725,7186,7555,7222,6513,5334,4345,3975,1736,2592,4238,3411,2561,1696,1285
"G1700930","1990","IL",,,,,,,,,,,,"14","Kendall","093",,,"3","1602",,,,"0620","2","Illinois","17",,,,"0000830497","0000005272","Kendall County","A","+41587792","-088430709","06",527,1250,1240,666,711,2134,1374,1288,648,642,655,658,578,593,508,468,1446,2932,3411,3397,3262,2729,2028,1558,534,740,1184,895,653,397,307
"G1700950","1990","IL",,,,,,,,,,,,"99","Knox","095",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001855265","0000008853","Knox County","A","+40930768","-090213733","06",563,1457,1378,755,745,2288,1627,1550,799,792,749,777,755,932,793,832,2002,3852,4265,4430,3858,3148,2770,2786,1105,1726,2830,2355,1881,1344,1249
