school_year,level,area,area_raw,placed_out,living_in_area_total,oe_out_of_area,pct_enrolled_in_neighborhood,matrix_col_sum
2018-2019,middle,Platt,Platt,3.0,462,116,0.74,459
2018-2019,middle,Southern Hills,Southern Hills,7.0,535,138,0.73,528
2018-2019,middle,Aspen Creek K-8,Aspen Creek K-8,7.0,461,123,0.72,454
2018-2019,middle,Broomfield Heights,Broomfield Heights,2.0,347,46,0.86,345
2018-2019,middle,Angevine,Angevine,17.0,973,320,0.65,956
2018-2019,middle,Meadowlark,Meadowlark,4.0,218,116,,214
2018-2019,middle,Louisville Middle,Louisville Middle,12.0,640,80,0.86,628
2018-2019,middle,Monarch K-8,Monarch K-8,2.0,347,97,0.71,345
2018-2019,middle,Eldorado K-8,Eldorado K-8,3.0,576,150,0.73,573
2018-2019,middle,Nederland,Nederland,1.0,144,23,0.83,143
2019-2020,elementary,Bear Creek,Bear Creek*,0.0,226,27,0.88,226
2019-2020,elementary,Columbine,Columbine,9.0,621,223,0.63,612
2019-2020,elementary,Creekside,Creekside*,5.0,526,247,0.52,521
2019-2020,elementary,Crest View,Crest View,17.0,836,341,0.57,819
2019-2020,elementary,Douglass,Douglass,9.0,367,78,0.76,358
2019-2020,elementary,Eisenhower,Eisenhower,3.0,483,155,0.67,480
2019-2020,elementary,Flatirons,Flatirons,1.0,233,82,0.64,232
2019-2020,elementary,Foothill,Foothill,7.0,555,134,0.75,548
2019-2020,elementary,Heatherwood,Heatherwood,1.0,313,71,0.77,312
2019-2020,elementary,Mesa,Mesa*,1.0,221,48,0.78,220
2019-2020,elementary,Whittier,Whittier,9.0,419,118,0.7,410
2019-2020,elementary,Optional Bear Creek/Creekside,Optional Bear Creek/ Creekside,0.0,43,3,0.93,43
2019-2020,elementary,Optional Bear Creek/Mesa,Optional Bear Creek/Mesa,2.0,198,38,0.8,196
2019-2020,elementary,Aspen Creek K-8,Aspen Creek K-8,10.0,370,87,0.74,360
2019-2020,elementary,Birch,Birch,6.0,342,98,0.7,336
2019-2020,elementary,Emerald,Emerald,11.0,372,85,0.74,361
2019-2020,elementary,Kohl,Kohl,20.0,317,57,0.76,297
2019-2020,elementary,Lafayette,Lafayette,11.0,671,269,0.58,660
2019-2020,elementary,Ryan,Ryan,19.0,720,254,0.62,701
2019-2020,elementary,Sanchez,Sanchez,15.0,598,325,0.43,583
2019-2020,elementary,Meadowlark,Meadowlark,10.0,532,107,0.78,522
2019-2020,elementary,Coal Creek,Coal Creek,6.0,442,90,0.78,436
2019-2020,elementary,Fireside,Fireside,2.0,396,55,0.86,394
2019-2020,elementary,Louisville,Louisville,5.0,611,127,0.78,606
2019-2020,elementary,Monarch K-8,Monarch K-8,4.0,304,70,0.76,300
2019-2020,elementary,Eldorado K-8,Eldorado K-8,2.0,356,55,0.84,354
2019-2020,elementary,Superior,Superior,6.0,453,66,0.84,447
2019-2020,elementary,Gold Hill,Gold Hill,0.0,5,0,1.0,5
2019-2020,elementary,Jamestown,Jamestown,1.0,14,3,0.71,13
2019-2020,elementary,Nederland,Nederland,1.0,260,36,0.86,259
2019-2020,high,Boulder,Boulder*,16.0,2315,496,0.78,2299
2019-2020,high,Fairview,Fairview*,12.0,1426,216,0.84,1414
2019-2020,high,Boulder/Fairview Optional,Boulder/Fairview Optional,4.0,300,33,0.88,296
2019-2020,high,Broomfield,Broomfield,8.0,1090,189,0.82,1082
2019-2020,high,Centaurus,Centaurus,17.0,1802,667,0.62,1785
2019-2020,high,Monarch,Monarch,14.0,2011,672,0.66,1997
2019-2020,high,Nederland,Nederland,4.0,156,53,0.63,152
2019-2020,middle,Manhattan,Manhattan,3.0,513,234,0.54,510
2019-2020,middle,Casey,Casey,8.0,683,174,0.73,675
2019-2020,middle,Centennial,Centennial,18.0,826,238,0.69,808
