year,candidate_sov,node_id,endorser_type,org_type,office_status_at_endorsement,held_boulder_council,held_any_elected_office,served_board_commission,page_section
2015,Bob Yates,e00850,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00853,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00855,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00860,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00866,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00874,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00879,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00899,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00901,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00902,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00907,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00913,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00916,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00918,person,,,False,False,True,Bob's Backers
2015,Bob Yates,e00921,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00937,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00938,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00942,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00951,person,,former,True,True,False,Bob's Backers
2015,Bob Yates,e00954,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00962,person,,current,True,True,False,Bob's Backers
2015,Bob Yates,e00968,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00969,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00981,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00995,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00996,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01020,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01026,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01036,person,,,False,False,False,Bob's Backers
