campaign_id,year,committee_type,committee,committee_number,candidate,kind,n_donors,dollars_itemized,candidate_sov,contest,votes,elected,slate_side,slate_side_two_poles,slate_groups
2019|issue|Open Space YES! 2019,2019,Ballot Measure Committee,Open Space YES! 2019,2019-BMC-021,,issue,77.0,8570.0,,,,,,,
2019|issue|PLAN Boulder BMC,2019,Ballot Measure Committee,PLAN Boulder BMC,2019-BMC-023,,issue,5.0,1400.0,,,,,,,
2020|issue|CLOSED Balanced Boulder,2020,Ballot Measure Committee,CLOSED Balanced Boulder,2020-BMC-006,,issue,2.0,419.0,,,,,,,
2020|issue|CLOSED Bedrooms Are For People,2020,Ballot Measure Committee,CLOSED Bedrooms Are For People,2020-BMC-002,,issue,271.0,30453.52,,,,,,,
2020|issue|CLOSED Citizen's Conditions for Annexation of CU-South,2020,Ballot Measure Committee,CLOSED Citizen's Conditions for Annexation of CU-South,2020-BMC-005,,issue,12.0,1920.0,,,,,,,
2020|issue|CLOSED End the Muni - Let Real Carbon Reduction Begin,2020,Ballot Measure Committee,CLOSED End the Muni - Let Real Carbon Reduction Begin,2020-BMC-001,,issue,72.0,7765.0,,,,,,,
2020|issue|Committee for Boulder's Great Green Deal,2020,Ballot Measure Committee,Committee for Boulder's Great Green Deal,2020-BMC-007,,issue,109.0,47886.07,,,,,,,
2020|issue|New Era Colorado Voter Guide,2020,Ballot Measure Committee,New Era Colorado Voter Guide,2020-BMC-009,,issue,0.0,0.0,,,,,,,
2020|issue|No Eviction Without Representation,2020,Ballot Measure Committee,No Eviction Without Representation,2020-BMC-003,,issue,182.0,24258.34,,,,,,,
2020|issue|No on 2C For Local Power,2020,Ballot Measure Committee,No on 2C For Local Power,2020-BMC-008,,issue,78.0,37156.46,,,,,,,
2020|issue|Our Mayor-Our Choice,2020,Ballot Measure Committee,Our Mayor-Our Choice,2020-BMC-004,,issue,34.0,10715.0,,,,,,,
2021|cand|Daniel Williams,2021,Official Candidate Committee,Dan for Boulder Council,2021-OCC-013,Daniel Williams,candidate,131.0,10766.0,Dan Williams,council,13614,FALSE,B,B,bedrooms_are_for_people;better_boulder;boulder_area_labor_council;boulder_coalition;boulder_progressives;boulder_weekly;colorado_working_families_party;open_boulder;sierra_club_indian_peaks;south_boulder_creek_action_group;united_campus_workers;yellow_scene
2021|cand|David Takahashi,2021,Official Candidate Committee,Takahashi for Boulder,2021-OCC-016,David Takahashi,candidate,93.0,7085.0,David Takahashi,council,8429,FALSE,B,,sierra_club_indian_peaks
