donor_id,first_year,last_year,n_years,n_campaigns,total_dollars,key_has_zip,zip
d02294,2026,2026,1,1,25.0,False,
d02295,2015,2017,2,2,150.0,True,80302
d02296,2021,2021,1,1,100.0,True,80466
d02297,2019,2023,3,3,175.0,True,80304
d02298,2017,2017,1,1,25.0,True,80422
d02299,2017,2017,1,1,50.0,True,80304
d02300,2017,2017,1,1,100.0,True,80304
d02301,2017,2017,1,1,25.0,False,
d02302,2021,2021,1,1,1038.73,False,
d02303,2023,2023,1,1,100.0,True,80302
d02304,2021,2023,2,2,200.0,True,19063
d02305,2017,2017,1,1,500.0,False,
d02306,2021,2023,2,3,300.0,True,80304
d02307,2025,2025,1,1,100.0,False,
d02308,2020,2020,1,1,104.15,False,
d02309,2017,2017,1,1,1000.0,True,80302
d02310,2022,2022,1,1,200.0,True,75009
d02311,2015,2015,1,2,20.0,True,80304
d02312,2020,2020,1,1,10.0,True,80030
d02313,2024,2024,1,1,26.25,False,
d02314,2019,2019,1,1,100.0,True,32080
d02315,2023,2025,2,2,200.0,True,80027
d02316,2017,2017,1,1,6.0,True,80026
d02317,2023,2023,1,1,100.0,False,
d02318,2025,2025,1,1,100.0,False,
d02319,2021,2021,1,1,100.0,True,43123
d02320,2015,2015,1,1,100.0,True,80304
d02321,2019,2019,1,1,100.0,True,80308
d02322,2020,2020,1,1,36.97,False,
d02323,2019,2019,1,1,250.0,True,80303
d02324,2015,2015,1,1,50.0,True,80304
d02325,2023,2023,1,1,100.0,True,80304
d02326,2017,2017,1,1,30.0,True,80306
d02327,2020,2020,1,1,52.23,False,
d02328,2025,2025,1,1,100.0,False,
d02329,2017,2017,1,1,40.0,True,80026
d02330,2025,2025,1,1,100.0,False,
d02331,2015,2015,1,2,42.0,True,80305
d02332,2023,2026,2,2,150.0,True,80301
d02333,2017,2017,1,1,20.0,True,21114
d02334,2017,2017,1,1,35.0,True,81612
d02335,2026,2026,1,1,100.0,False,
d02336,2023,2023,1,1,100.0,True,80301
d02337,2019,2026,3,5,225.0,True,80303
d02338,2019,2019,1,1,25.0,True,81507
d02339,2025,2025,1,1,18.0,False,
d02340,2023,2023,1,1,100.0,False,
d02341,2019,2019,1,1,105.2,True,85331
d02342,2023,2023,1,1,100.0,True,80301
d02343,2023,2023,1,1,100.0,True,80304
d02344,2023,2023,1,1,100.0,True,80304
d02345,2015,2015,1,1,67.37,True,80302
d02346,2017,2017,1,1,25.0,True,80303
d02347,2021,2021,1,1,25.0,False,
d02348,2019,2019,1,1,100.0,True,80209
d02349,2015,2017,2,3,250.0,True,80302
d02350,2023,2023,1,1,100.0,True,80304
d02351,2023,2023,1,1,50.0,True,80304
d02352,2019,2019,1,1,100.0,True,80207
d02353,2019,2019,1,1,25.0,True,80305
d02354,2017,2021,2,2,200.0,False,
d02355,2021,2021,1,1,100.0,True,80304
d02356,2026,2026,1,1,50.0,False,
d02357,2023,2025,2,2,61.0,True,80305
d02358,2025,2025,1,1,75.0,False,
d02359,2021,2021,1,1,20.0,True,80303
d02360,2017,2021,3,7,1515.0,True,80304
d02361,2023,2023,1,1,50.0,True,98367
d02362,2019,2019,1,1,100.0,True,80301
d02363,2019,2019,1,1,25.0,True,80504
d02364,2026,2026,1,1,50.0,False,
d02365,2021,2025,2,2,200.0,True,67520
d02366,2017,2017,1,1,50.0,False,
d02367,2026,2026,1,1,15.0,False,
d02368,2015,2022,3,3,130.0,True,80304
d02369,2023,2023,1,1,100.0,True,80304
d02370,2017,2017,1,1,5.0,True,20002
d02371,2019,2019,1,1,15.0,True,80304
d02372,2023,2023,1,1,50.0,True,80302
d02373,2022,2022,1,1,250.0,True,80303
d02374,2019,2019,1,1,100.0,True,80302
d02375,2023,2023,1,1,45.0,True,80301
d02376,2017,2019,2,2,50.0,True,80503
d02377,2022,2022,1,1,25.0,True,80305
d02378,2017,2026,6,11,536.27,True,80302
d02379,2026,2026,1,1,100.0,False,
d02380,2017,2023,5,12,1183.0,True,80302
d02381,2025,2025,1,1,25.0,False,
d02382,2026,2026,1,1,25.0,False,
d02383,2021,2021,1,1,100.0,True,80303
d02384,2023,2023,1,1,100.0,False,
d02385,2025,2025,1,1,10.3,False,
d02386,2019,2019,1,1,100.0,True,80501
d02387,2019,2026,4,6,550.0,False,
d02388,2015,2015,1,1,25.0,True,80301
d02389,2023,2023,1,1,25.0,True,80304
d02390,2023,2023,1,1,100.0,True,80304
d02391,2019,2019,1,1,40.0,True,80303
d02392,2015,2015,1,1,25.0,True,80503
d02393,2019,2019,1,1,50.0,True,94618
d02394,2015,2015,1,1,50.0,True,80238
d02395,2019,2022,2,5,65.0,True,80304
d02396,2015,2015,1,1,50.0,False,
d02397,2023,2023,1,1,100.0,True,80301
d02398,2015,2015,1,3,125.0,True,80303
d02399,2019,2019,1,1,100.0,True,80304
d02400,2019,2019,1,1,100.0,True,87106
d02401,2017,2017,1,1,50.0,True,80516
d02402,2019,2019,1,1,50.0,True,20003
d02403,2020,2020,1,1,312.15,False,
d02404,2017,2017,1,1,25.0,True,00907
d02405,2017,2017,1,1,5.0,True,80305
d02406,2023,2023,1,1,50.0,True,20010
d02407,2023,2023,1,1,100.0,True,80304
d02408,2021,2021,1,1,100.0,True,80540
d02409,2021,2021,1,1,100.0,True,90065
d02410,2023,2023,1,1,100.0,True,80301
d02411,2019,2019,1,1,100.0,True,80301
d02412,2017,2026,8,22,4830.35,True,80305
d02413,2015,2025,5,6,700.0,True,80304
d02414,2019,2023,4,7,525.62,True,80304
d02415,2017,2017,1,1,100.0,True,80304
d02416,2021,2021,1,2,4100.0,False,
d02417,2023,2023,1,1,75.0,True,80304
d02418,2023,2023,1,1,10.0,True,80304
d02419,2021,2021,1,1,25.0,False,
d02420,2025,2026,2,4,400.0,False,
d02421,2021,2021,1,1,100.0,True,98102
d02422,2021,2023,2,2,256.38,False,
d02423,2020,2020,1,1,10.7,False,
d02424,2015,2015,1,1,100.0,True,80302
d02425,2026,2026,1,1,25.0,False,
d02426,2025,2025,1,1,25.0,False,
d02427,2017,2019,2,5,450.0,True,80302
d02428,2015,2019,2,3,300.0,True,80302
d02429,2019,2019,1,1,50.0,False,
d02430,2025,2025,1,1,10.0,False,
d02431,2019,2019,1,1,50.0,True,80305
d02432,2019,2019,1,1,25.0,True,80303
