node_id,endorser_type,org_type,held_boulder_council,held_any_elected_office,served_board_commission,first_year,n_years,n_candidates
e00370,person,,False,False,False,2021,1,1
e00371,person,,False,False,False,2019,2,1
e00372,person,,False,False,False,2025,1,1
e00373,person,,False,False,False,2025,1,1
e00374,person,,False,False,False,2023,1,1
e00375,person,,False,False,False,2021,1,1
e00376,person,,False,False,False,2019,1,2
e00377,person,,False,False,True,2026,1,1
e00378,person,,False,False,False,2025,1,1
e00379,person,,False,False,False,2019,5,5
e00380,person,,False,False,False,2019,1,2
e00381,person,,False,False,False,2021,1,1
e00382,person,,False,False,False,2023,1,1
e00383,person,,False,False,False,2019,1,1
e00384,person,,False,False,False,2019,1,1
e00385,person,,False,False,False,2015,1,1
e00386,person,,False,False,False,2019,1,1
e00387,person,,False,False,False,2021,1,1
e00388,person,,False,False,False,2019,1,1
e00389,person,,False,False,False,2015,1,1
e00390,person,,False,False,False,2015,1,1
e00391,person,,False,False,False,2023,1,1
e00392,person,,False,False,False,2019,3,2
e00393,person,,False,False,False,2021,1,1
e00394,person,,False,False,False,2019,2,2
e00395,person,,False,False,False,2023,1,1
e00396,person,,False,False,False,2019,1,1
e00397,person,,False,True,False,2021,1,1
e00398,person,,False,False,False,2023,1,1
e00399,person,,False,False,False,2019,1,1
e00400,person,,False,False,False,2025,1,1
e00401,person,,False,False,False,2015,2,1
e00402,person,,False,False,False,2019,3,4
e00403,person,,False,False,False,2017,1,1
e00404,person,,False,False,False,2023,1,1
e00405,person,,False,False,False,2023,1,1
e00406,person,,False,False,True,2019,5,9
e00407,person,,False,False,False,2019,1,1
e00408,person,,False,False,False,2019,1,1
e00409,person,,False,False,False,2023,1,1
e00410,person,,False,False,False,2019,1,1
e00411,person,,False,False,False,2023,1,1
e00412,person,,True,True,False,2019,2,3
e00413,person,,False,False,False,2019,1,1
e00414,person,,False,False,False,2025,1,1
e00415,person,,False,False,False,2019,2,2
e00416,person,,False,False,False,2021,1,1
e00417,person,,False,False,False,2021,2,1
e00418,person,,False,False,False,2019,1,1
e00419,person,,False,False,False,2025,1,2
e00420,person,,False,False,False,2023,1,1
e00421,person,,False,False,False,2025,1,1
e00422,person,,False,False,False,2015,2,1
e00423,person,,False,False,False,2023,1,1
e00424,person,,False,False,False,2023,1,1
e00425,person,,False,False,False,2025,1,1
e00426,person,,False,False,False,2026,1,1
e00427,person,,False,False,False,2026,1,1
e00428,person,,False,False,True,2021,3,3
e00429,person,,False,False,False,2019,1,1
e00430,person,,False,False,False,2021,1,1
e00431,person,,False,False,False,2023,1,1
e00432,person,,False,False,False,2026,1,1
e00433,person,,False,False,False,2019,1,1
e00434,person,,False,False,False,2019,1,1
e00435,person,,False,False,False,2025,1,1
e00436,person,,False,False,False,2025,1,1
e00437,person,,False,False,False,2021,1,1
e00438,person,,False,False,False,2015,1,1
e00439,person,,False,False,False,2026,1,1
e00440,person,,False,False,False,2021,1,1
e00441,person,,False,False,False,2015,1,2
e00442,person,,False,False,False,2015,2,1
e00443,person,,False,False,False,2015,2,1
e00444,person,,False,False,True,2021,3,5
e00445,person,,False,False,False,2019,1,1
e00446,person,,False,False,False,2019,1,1
e00447,person,,False,False,False,2021,1,2
e00448,person,,False,False,False,2019,1,1
e00449,person,,False,False,False,2015,3,2
e00450,person,,False,False,False,2019,1,1
e00451,person,,False,False,False,2019,3,4
e00452,person,,False,False,False,2019,1,1
e00453,person,,False,False,False,2021,1,1
e00454,person,,False,False,False,2026,1,1
e00455,person,,False,True,False,2019,3,6
e00456,person,,False,False,False,2019,1,1
e00457,person,,False,False,False,2023,1,1
e00458,person,,False,False,False,2019,1,1
e00459,person,,False,False,False,2021,1,1
e00460,person,,False,False,False,2023,1,1
e00461,person,,False,False,False,2025,1,1
e00462,person,,False,False,False,2019,3,3
e00463,person,,False,False,False,2019,1,1
e00464,person,,False,False,False,2019,2,2
e00465,person,,True,True,False,2019,2,3
e00466,person,,False,False,False,2019,1,1
e00467,person,,False,False,False,2023,1,1
e00468,person,,False,False,False,2021,2,1
e00469,person,,False,False,False,2019,1,2
e00470,person,,False,False,False,2023,1,1
e00471,person,,False,False,False,2021,1,1
e00472,person,,False,False,False,2019,1,1
e00473,person,,False,False,False,2021,1,1
e00474,person,,False,False,False,2015,2,1
e00475,person,,False,False,False,2023,1,1
e00476,person,,False,False,False,2015,1,1
e00477,person,,False,False,False,2026,1,1
e00478,person,,False,False,False,2021,1,1
e00479,person,,False,False,True,2019,3,4
e00480,person,,False,False,False,2025,1,1
e00481,person,,False,False,False,2015,1,1
e00482,person,,False,False,False,2025,1,1
e00483,person,,False,False,False,2019,1,1
e00484,person,,False,False,False,2019,1,1
e00485,person,,False,False,False,2025,1,1
e00486,person,,False,False,False,2026,1,1
e00487,person,,True,True,False,2015,6,8
e00488,person,,False,False,False,2026,1,1
e00489,person,,False,False,False,2015,1,1
e00490,person,,False,False,False,2026,1,1
e00491,person,,False,False,False,2019,1,1
e00492,person,,False,False,False,2015,2,1
e00493,person,,False,False,False,2019,1,1
