series,year,label,url,fmt,measure,grain,filename
membership,2002,District Ranking by Fall 2002 Pupil Membership (High to Low) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200212internet.pdf,pdf,other,unknown,ed59017200212internet.pdf
membership,2002,"Fall 2002 Pupil Membership by District, Race/Ethnicity, and Percent Minority (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200213internet.pdf,pdf,other,unknown,ed59017200213internet.pdf
membership,2002,"Fall 2002 Pupil Membership by School, Ethnicity, Gender & Grade Level (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200214internet.pdf,pdf,other,unknown,ed59017200214internet.pdf
membership,2002,Membership Trends for Secondary Schools (1992-2002) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200215internet.pdf,pdf,other,unknown,ed59017200215internet.pdf
membership,2002,Fall 2002 Pupil Membership by Instructional Program (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200216internet.pdf,pdf,other,unknown,ed59017200216internet.pdf
membership,2002,Membership Trends for White Students (1998-2002) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200217internet.pdf,pdf,other,unknown,ed59017200217internet.pdf
membership,2002,Fall 2002 Pupil Membership by District Setting (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200218internet.pdf,pdf,other,unknown,ed59017200218internet.pdf
membership,2002,Pupil Counts by Race/Ethnicity Comparisons (1982-1992-2002) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200219internet.pdf,pdf,other,unknown,ed59017200219internet.pdf
membership,2002,Fall 2002 Non-Public School Membership by Grade Level (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200220internet.pdf,pdf,other,unknown,ed59017200220internet.pdf
membership,2002,Home-Based Education (Fall 1998 to Fall 2002) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200221internet.pdf,pdf,other,unknown,ed59017200221internet.pdf
membership,2002,Pupil Counts by Year (1982 through 2002) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200222internet.pdf,pdf,other,unknown,ed59017200222internet.pdf
membership,2002,Pupil Counts by Grade Comparisons (1982-1992-2002) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200223internet.pdf,pdf,other,unknown,ed59017200223internet.pdf
membership,2002,Public School Membership 2002 Release Memo (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200224internet.pdf,pdf,other,unknown,ed59017200224internet.pdf
membership,2002,Student Teacher Ratios (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200225internet.pdf,pdf,teacher_fte,district,ed59017200225internet.pdf
membership,2003,Pupil Membership by District and Grade Level,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200301internet.pdf,pdf,other,unknown,ed59017200301internet.pdf
membership,2003,Pupil Membership by District and Grade Level,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200302internet.xls,xls,other,unknown,ed59017200302internet.xls
membership,2003,"Pupil Membership by District, Race/Ethnicity, and Percent Minority",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200303internet.pdf,pdf,other,unknown,ed59017200303internet.pdf
membership,2003,"Pupil Membership by District, Race/Ethnicity, and Percent Minority",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200304internet.xls,xls,other,unknown,ed59017200304internet.xls
membership,2003,District Ranking by Pupil Membership (High to Low),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200305internet.pdf,pdf,other,unknown,ed59017200305internet.pdf
membership,2003,District Ranking by Pupil Membership (High to Low),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200306internet.xls,xls,other,unknown,ed59017200306internet.xls
membership,2003,Pupil Membership by Instructional Program,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200307internet.pdf,pdf,other,unknown,ed59017200307internet.pdf
membership,2003,Pupil Membership by Instructional Program,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200308internet.xls,xls,other,unknown,ed59017200308internet.xls
membership,2003,School Level Data Pupil Membership by School and Grade Level,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200309internet.pdf,pdf,enrollment,school,ed59017200309internet.pdf
membership,2003,School Level Data Pupil Membership by School and Grade Level,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200310internet.xls,xls,enrollment,school,ed59017200310internet.xls
membership,2003,5-Year Trend Data (District Level) Membership Trends for American Indian Students (1999-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200311internet.pdf,pdf,other,unknown,ed59017200311internet.pdf
membership,2003,5-Year Trend Data (District Level) Membership Trends for American Indian Students (1999-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200312internet.xls,xls,other,unknown,ed59017200312internet.xls
membership,2003,Membership Trends for Asian Students (1999-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200313internet.pdf,pdf,other,unknown,ed59017200313internet.pdf
