year,measure,basis,value,unit,source_id
2011,budget_general_fund,adopted,100.449,musd,books
2011,budget_general_fund_revenue,adopted,99.761,musd,books
2011,budget_operating,adopted,206.317,musd,booksocr
2011,budget_operating_dedicated,adopted,118.654,musd,booksocr
2011,budget_operating_general,adopted,87.663,musd,booksocr
2011,budget_total,adopted,231.03,musd,books
2011,deptexp_administration,adopted,21.876,musd,booksocr
2011,deptexp_citywide_debt,adopted,2.691,musd,booksocr
2011,deptexp_community_services,adopted,20.526,musd,booksocr
2011,deptexp_infrastructure,adopted,86.127,musd,booksocr
2011,deptexp_parks_openspace,adopted,49.378,musd,booksocr
2011,deptexp_planning_climate,adopted,6.344,musd,booksocr
2011,deptexp_public_safety,adopted,44.088,musd,booksocr
2011,revenue_intergovernmental,adopted,9.999,musd,books
2011,revenue_other_unmapped,adopted,54.875,musd,books
2011,revenue_property_tax,adopted,28.563,musd,books
2011,revenue_sales_use_tax,adopted,86.57,musd,books
2011,revenue_total,adopted,224.912,musd,books
2011,revenue_utility,adopted,44.905,musd,books
2011,staffing_fte,adopted,1228.5,fte,books
2011,staffing_fte,restated,1231.25,fte,books
2012,budget_capital,adopted,23.981,musd,books
2012,budget_general_fund,adopted,104.234,musd,books
2012,budget_general_fund_revenue,adopted,104.299,musd,books
2012,budget_operating,adopted,214.979,musd,books
2012,budget_operating_dedicated,adopted,123.828,musd,booksocr
2012,budget_operating_general,adopted,91.15,musd,booksocr
2012,budget_total,adopted,238.96,musd,books
2012,deptexp_administration,adopted,25.472,musd,booksocr
2012,deptexp_citywide_debt,adopted,4.776,musd,booksocr
2012,deptexp_community_services,adopted,19.929,musd,booksocr
2012,deptexp_infrastructure,adopted,86.208,musd,booksocr
2012,deptexp_parks_openspace,adopted,49.786,musd,booksocr
2012,deptexp_planning_climate,adopted,7.644,musd,booksocr
2012,deptexp_public_safety,adopted,45.145,musd,booksocr
2012,revenue_intergovernmental,adopted,4.328,musd,booksocr
2012,revenue_other_unmapped,adopted,58.148,musd,booksocr
2012,revenue_property_tax,adopted,30.868,musd,booksocr
2012,revenue_sales_use_tax,adopted,93.209,musd,booksocr
2012,revenue_total,adopted,231.945,musd,booksocr
2012,revenue_utility,adopted,45.392,musd,booksocr
2012,staffing_fte,adopted,1243.2,fte,books
2012,staffing_fte,restated,1244.76,fte,books
2013,budget_capital,adopted,33.427,musd,booksocr
2013,budget_general_fund,adopted,112.477,musd,booksocr
2013,budget_general_fund_revenue,adopted,109.752,musd,books
2013,budget_operating,adopted,221.266,musd,booksocr
2013,budget_operating_dedicated,adopted,122.563,musd,booksocr
2013,budget_operating_general,adopted,98.703,musd,booksocr
2013,budget_total,adopted,254.693,musd,books
2013,deptexp_administration,adopted,22.281,musd,booksocr
2013,deptexp_citywide_debt,adopted,5.379,musd,booksocr
2013,deptexp_community_services,adopted,20.243,musd,booksocr
2013,deptexp_infrastructure,adopted,99.103,musd,booksocr
2013,deptexp_parks_openspace,adopted,50.57,musd,booksocr
2013,deptexp_planning_climate,adopted,8.739,musd,booksocr
2013,deptexp_public_safety,adopted,48.377,musd,booksocr
2013,revenue_intergovernmental,adopted,10.179,musd,booksocr
2013,revenue_other_unmapped,adopted,61.419,musd,booksocr
2013,revenue_property_tax,adopted,31.732,musd,booksocr
2013,revenue_sales_use_tax,adopted,97.528,musd,booksocr
2013,revenue_total,adopted,248.484,musd,booksocr
2013,revenue_utility,adopted,47.626,musd,booksocr
2013,staffing_fte,adopted,1260.62,fte,books
2014,budget_capital,adopted,42.046,musd,books
2014,budget_general_fund,adopted,115.684,musd,books
2014,budget_general_fund_revenue,adopted,115.046,musd,booksocr
2014,budget_operating,adopted,227.45,musd,books
2014,budget_operating_dedicated,adopted,125.491,musd,books
2014,budget_operating_general,adopted,101.959,musd,books
2014,budget_total,adopted,269.496,musd,books
2014,deptexp_administration,adopted,25.035,musd,books
2014,deptexp_citywide_debt,adopted,5.112,musd,books
2014,deptexp_community_services,adopted,19.978,musd,books
2014,deptexp_infrastructure,adopted,106.859,musd,books
2014,deptexp_parks_openspace,adopted,52.631,musd,books
2014,deptexp_planning_climate,adopted,10.275,musd,books
2014,deptexp_public_safety,adopted,49.606,musd,books
2014,revenue_intergovernmental,adopted,11.225,musd,booksocr
2014,revenue_other_unmapped,adopted,65.837,musd,booksocr
2014,revenue_property_tax,adopted,32.356,musd,booksocr
2014,revenue_sales_use_tax,adopted,102.779,musd,booksocr
2014,revenue_total,adopted,260.471,musd,booksocr
2014,revenue_utility,adopted,48.274,musd,booksocr
2014,staffing_fte,adopted,1286.01,fte,books
2014,staffing_fte,restated,1299.58,fte,books
2015,budget_capital,adopted,68.652,musd,books
2015,budget_general_fund,adopted,128.483,musd,books
2015,budget_general_fund_revenue,adopted,120.575,musd,booksocr
2015,budget_operating,adopted,250.444,musd,books
2015,budget_operating_dedicated,adopted,136.894,musd,books
2015,budget_operating_general,adopted,113.55,musd,books
2015,budget_total,adopted,319.096,musd,books
2015,deptexp_administration,adopted,27.236,musd,books
2015,deptexp_citywide_debt,adopted,5.105,musd,books
2015,deptexp_community_services,adopted,19.91,musd,books
2015,deptexp_infrastructure,adopted,144.654,musd,books
2015,deptexp_parks_openspace,adopted,54.788,musd,books
2015,deptexp_planning_climate,adopted,15.587,musd,books
2015,deptexp_public_safety,adopted,51.817,musd,books
2015,revenue_intergovernmental,adopted,9.687,musd,booksocr
2015,revenue_other_unmapped,adopted,86.659,musd,booksocr
2015,revenue_property_tax,adopted,32.345,musd,booksocr
2015,revenue_sales_use_tax,adopted,115.396,musd,booksocr
2015,revenue_total,adopted,313.338,musd,booksocr
2015,revenue_utility,adopted,69.251,musd,booksocr
2015,staffing_fte,adopted,1358.77,fte,books
2015,staffing_fte,restated,1383.12,fte,books
2016,budget_capital,adopted,73.304,musd,books
2016,budget_general_fund,adopted,132.268,musd,books
