year,area_code,area_name,prim_state,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_median,a_median,h_pct10,h_pct25,h_pct75,h_pct90,a_pct10,a_pct25,a_pct75,a_pct90,jobs_1000,loc_quotient,annual,hourly
2013,14500,"Boulder, CO",CO,17-2141,Mechanical Engineers,detailed,670,15.1,47.99,99810,5.3,45.38,94390,27.59,34.77,60.65,75.61,57390,72320,126150,157260,4.14,2.12,,
2013,14500,"Boulder, CO",CO,17-2199,"Engineers, All Other",detailed,230,9.1,53.56,111410,9,53.18,110620,25.74,40.74,68.62,81.72,53530,84740,142730,169970,1.424,1.56,,
2013,14500,"Boulder, CO",CO,17-3011,Architectural and Civil Drafters,detailed,160,32,22.69,47200,6.1,21.81,45370,15.62,17.82,26.95,31.52,32500,37060,56060,65570,0.993,1.48,,
2013,14500,"Boulder, CO",CO,17-3012,Electrical and Electronics Drafters,detailed,50,46.1,31.49,65510,6.9,29.17,60670,24.03,25.95,38.14,43.54,49990,53970,79320,90560,0.28,1.26,,
2013,14500,"Boulder, CO",CO,17-3013,Mechanical Drafters,detailed,40,15.8,31.33,65160,5.3,30.59,63630,19.77,23.53,38.52,45.27,41130,48950,80120,94170,0.219,0.46,,
2013,14500,"Boulder, CO",CO,17-3021,Aerospace Engineering and Operations Technicians,detailed,120,20.2,35.68,74210,3.3,34.44,71630,24.37,29.5,42.98,50.97,50690,61360,89400,106030,0.761,9.57,,
2013,14500,"Boulder, CO",CO,17-3022,Civil Engineering Technicians,detailed,50,28,27.17,56520,2.2,27.21,56590,19.88,22.57,31.6,35.36,41360,46940,65740,73560,0.322,0.61,,
2013,14500,"Boulder, CO",CO,17-3023,Electrical and Electronics Engineering Technicians,detailed,300,17.9,26.03,54130,4.2,22.39,46570,16.13,18.4,32.08,40.06,33550,38280,66720,83330,1.812,1.7,,
2013,14500,"Boulder, CO",CO,17-3026,Industrial Engineering Technicians,detailed,140,25.8,26.76,55660,5.9,26.57,55270,15.51,20.12,32.44,38.52,32260,41840,67470,80110,0.848,1.64,,
2013,14500,"Boulder, CO",CO,17-3027,Mechanical Engineering Technicians,detailed,150,3.3,31.35,65200,5.9,29.9,62190,21.19,24.47,37.64,43.98,44080,50900,78290,91470,0.903,2.6,,
