county_fips,year,age_group,age_lo,age_hi,pop
12001,2010,30-34,30,34,15256
12001,2010,35-39,35,39,13043
12001,2010,40-44,40,44,12465
12001,2010,45-49,45,49,14262
12001,2010,50-54,50,54,15208
12001,2010,55-59,55,59,14800
12001,2010,60-64,60,64,12371
12001,2010,65-69,65,69,8593
12001,2010,70-74,70,74,5987
12001,2010,75-79,75,79,4589
12001,2010,80-84,80,84,3786
12001,2010,85+,85,999,3672
12001,2020,0-4,0,4,13776
12001,2020,5-9,5,9,14398
12001,2020,10-14,10,14,14319
12001,2020,15-17,15,17,8070
12001,2020,18-19,18,19,14485
12001,2020,20-24,20,24,41026
12001,2020,25-29,25,29,23947
12001,2020,30-34,30,34,19730
12001,2020,35-39,35,39,16604
12001,2020,40-44,40,44,14140
12001,2020,45-49,45,49,13291
12001,2020,50-54,50,54,13041
12001,2020,55-59,55,59,14625
12001,2020,60-64,60,64,14979
12001,2020,65-69,65,69,14187
12001,2020,70-74,70,74,11332
12001,2020,75-79,75,79,7298
12001,2020,80-84,80,84,4460
12001,2020,85+,85,999,4760
17031,1990,0-4,0,4,380591
17031,1990,5-9,5,9,357080
17031,1990,10-14,10,14,338949
17031,1990,15-17,15,17,203425
17031,1990,18-19,18,19,147281
17031,1990,20-24,20,24,398810
17031,1990,25-29,25,29,480563
17031,1990,30-34,30,34,464244
17031,1990,35-39,35,39,399120
17031,1990,40-44,40,44,343717
17031,1990,45-49,45,49,276292
17031,1990,50-54,50,54,238083
17031,1990,55-59,55,59,220048
17031,1990,60-64,60,64,223632
17031,1990,65-69,65,69,207425
17031,1990,70-74,70,74,164999
17031,1990,75-79,75,79,125023
17031,1990,80-84,80,84,76784
17031,1990,85+,85,999,59001
17031,2000,0-4,0,4,388201
17031,2000,5-9,5,9,406508
17031,2000,10-14,10,14,380589
17031,2000,15-17,15,17,222521
17031,2000,18-19,18,19,145654
17031,2000,20-24,20,24,385321
17031,2000,25-29,25,29,444365
17031,2000,30-34,30,34,428459
17031,2000,35-39,35,39,422932
17031,2000,40-44,40,44,409915
17031,2000,45-49,45,49,359941
17031,2000,50-54,50,54,313349
17031,2000,55-59,55,59,240501
17031,2000,60-64,60,64,198220
17031,2000,65-69,65,69,169363
17031,2000,70-74,70,74,159265
17031,2000,75-79,75,79,134107
17031,2000,80-84,80,84,91010
17031,2000,85+,85,999,76520
17031,2010,0-4,0,4,342493
17031,2010,5-9,5,9,331837
17031,2010,10-14,10,14,339576
17031,2010,15-17,15,17,218374
17031,2010,18-19,18,19,141816
17031,2010,20-24,20,24,372503
17031,2010,25-29,25,29,435510
17031,2010,30-34,30,34,396053
17031,2010,35-39,35,39,362415
17031,2010,40-44,40,44,347380
17031,2010,45-49,45,49,357556
17031,2010,50-54,50,54,359507
17031,2010,55-59,55,59,312366
17031,2010,60-64,60,64,256960
17031,2010,65-69,65,69,183907
17031,2010,70-74,70,74,140614
17031,2010,75-79,75,79,112278
17031,2010,80-84,80,84,92153
17031,2010,85+,85,999,91377
17031,2020,0-4,0,4,284422
17031,2020,5-9,5,9,298754
17031,2020,10-14,10,14,323287
17031,2020,15-17,15,17,196676
17031,2020,18-19,18,19,129956
17031,2020,20-24,20,24,359607
17031,2020,25-29,25,29,437664
17031,2020,30-34,30,34,418121
17031,2020,35-39,35,39,379995
17031,2020,40-44,40,44,344636
17031,2020,45-49,45,49,329336
17031,2020,50-54,50,54,325744
17031,2020,55-59,55,59,331649
17031,2020,60-64,60,64,321235
17031,2020,65-69,65,69,264546
17031,2020,70-74,70,74,203481
17031,2020,75-79,75,79,136201
17031,2020,80-84,80,84,92636
17031,2020,85+,85,999,97595
18105,1990,0-4,0,4,5966
18105,1990,5-9,5,9,5614
18105,1990,10-14,10,14,5450
18105,1990,15-17,15,17,3037
18105,1990,18-19,18,19,10272
18105,1990,20-24,20,24,21352
18105,1990,25-29,25,29,9952
18105,1990,30-34,30,34,8382
18105,1990,35-39,35,39,7479
18105,1990,40-44,40,44,6441
18105,1990,45-49,45,49,4840
18105,1990,50-54,50,54,3860
18105,1990,55-59,55,59,3586
18105,1990,60-64,60,64,3471
18105,1990,65-69,65,69,3098
18105,1990,70-74,70,74,2197
18105,1990,75-79,75,79,1734
18105,1990,80-84,80,84,1242
18105,1990,85+,85,999,1005
18105,2000,0-4,0,4,6119
18105,2000,5-9,5,9,5926
18105,2000,10-14,10,14,5949
18105,2000,15-17,15,17,3670
18105,2000,18-19,18,19,10623
18105,2000,20-24,20,24,22783
18105,2000,25-29,25,29,9697
18105,2000,30-34,30,34,8044
18105,2000,35-39,35,39,7693
18105,2000,40-44,40,44,7453
18105,2000,45-49,45,49,7214
18105,2000,50-54,50,54,6207
18105,2000,55-59,55,59,4610
18105,2000,60-64,60,64,3501
18105,2000,65-69,65,69,3108
18105,2000,70-74,70,74,2835
18105,2000,75-79,75,79,2384
18105,2000,80-84,80,84,1443
18105,2000,85+,85,999,1304
18105,2010,0-4,0,4,6503
18105,2010,5-9,5,9,6257
18105,2010,10-14,10,14,6103
18105,2010,15-17,15,17,3608
18105,2010,18-19,18,19,11267
18105,2010,20-24,20,24,28606
18105,2010,25-29,25,29,11490
18105,2010,30-34,30,34,8537
18105,2010,35-39,35,39,6916
18105,2010,40-44,40,44,6880
18105,2010,45-49,45,49,7316
18105,2010,50-54,50,54,7455
18105,2010,55-59,55,59,6991
18105,2010,60-64,60,64,5998
18105,2010,65-69,65,69,4277
18105,2010,70-74,70,74,3077
18105,2010,75-79,75,79,2577
18105,2010,80-84,80,84,2073
18105,2010,85+,85,999,2043
18105,2020,0-4,0,4,6279
18105,2020,5-9,5,9,6511
18105,2020,10-14,10,14,6502
18105,2020,15-17,15,17,3882
18105,2020,18-19,18,19,11530
18105,2020,20-24,20,24,21625
18105,2020,25-29,25,29,11417
18105,2020,30-34,30,34,9125
18105,2020,35-39,35,39,7822
18105,2020,40-44,40,44,7119
18105,2020,45-49,45,49,6473
18105,2020,50-54,50,54,6713
18105,2020,55-59,55,59,7150
18105,2020,60-64,60,64,7153
18105,2020,65-69,65,69,6769
18105,2020,70-74,70,74,5396
18105,2020,75-79,75,79,3496
18105,2020,80-84,80,84,2351
18105,2020,85+,85,999,2405
