version,year,family,term,count,word_count
2005,2005,Preservation,\bgrowth management,8,53761
2005,2005,Preservation,\bcompatib[a-z]*,28,53761
2005,2005,Children & schools,(?<!single-)(?<!single )(?<!multi-)(?<!multi )(?<!multiple-)(?<!multiple )(?<!two-)(?<!two )\bfamil[a-z]*,16,53761
2005,2005,Children & schools,\bchild[a-z]*,18,53761
2005,2005,Children & schools,\bschool[a-z]*,33,53761
2005,2005,Children & schools,\bstudent[a-z]*,7,53761
2005,2005,Children & schools,\byouth[a-z]*,10,53761
2005,2005,Children & schools,\bplayground[a-z]*,6,53761
2005,2005,Housing affordability,\bafford[a-z]*,49,53761
2008,2008,Preservation,\bpreserv[a-z]*,168,57116
2008,2008,Preservation,\bopen\s+space,94,57116
2008,2008,Preservation,\bneighborhood character,7,57116
2008,2008,Preservation,\bcommunity character,8,57116
2008,2008,Preservation,\bhistoric character,2,57116
2008,2008,Preservation,\brural character,3,57116
2008,2008,Preservation,\bgrowth management,8,57116
2008,2008,Preservation,\bcompatib[a-z]*,29,57116
2008,2008,Children & schools,(?<!single-)(?<!single )(?<!multi-)(?<!multi )(?<!multiple-)(?<!multiple )(?<!two-)(?<!two )\bfamil[a-z]*,15,57116
2008,2008,Children & schools,\bchild[a-z]*,17,57116
2008,2008,Children & schools,\bschool[a-z]*,34,57116
2008,2008,Children & schools,\bstudent[a-z]*,7,57116
2008,2008,Children & schools,\byouth[a-z]*,11,57116
2008,2008,Children & schools,\bplayground[a-z]*,2,57116
2008,2008,Housing affordability,\bafford[a-z]*,51,57116
2010,2010,Preservation,\bpreserv[a-z]*,127,36387
2010,2010,Preservation,\bopen\s+space,56,36387
2010,2010,Preservation,\bneighborhood character,7,36387
2010,2010,Preservation,\bcommunity character,4,36387
2010,2010,Preservation,\bhistoric character,0,36387
2010,2010,Preservation,\brural character,2,36387
2010,2010,Preservation,\bgrowth management,6,36387
2010,2010,Preservation,\bcompatib[a-z]*,25,36387
2010,2010,Children & schools,(?<!single-)(?<!single )(?<!multi-)(?<!multi )(?<!multiple-)(?<!multiple )(?<!two-)(?<!two )\bfamil[a-z]*,8,36387
2010,2010,Children & schools,\bchild[a-z]*,10,36387
2010,2010,Children & schools,\bschool[a-z]*,31,36387
2010,2010,Children & schools,\bstudent[a-z]*,7,36387
2010,2010,Children & schools,\byouth[a-z]*,4,36387
2010,2010,Children & schools,\bplayground[a-z]*,2,36387
2010,2010,Housing affordability,\bafford[a-z]*,34,36387
2015,2015,Preservation,\bpreserv[a-z]*,145,40089
2015,2015,Preservation,\bopen\s+space,58,40089
2015,2015,Preservation,\bneighborhood character,9,40089
2015,2015,Preservation,\bcommunity character,4,40089
2015,2015,Preservation,\bhistoric character,0,40089
2015,2015,Preservation,\brural character,4,40089
2015,2015,Preservation,\bgrowth management,12,40089
2015,2015,Preservation,\bcompatib[a-z]*,24,40089
2015,2015,Children & schools,(?<!single-)(?<!single )(?<!multi-)(?<!multi )(?<!multiple-)(?<!multiple )(?<!two-)(?<!two )\bfamil[a-z]*,7,40089
2015,2015,Children & schools,\bchild[a-z]*,6,40089
2015,2015,Children & schools,\bschool[a-z]*,26,40089
2015,2015,Children & schools,\bstudent[a-z]*,9,40089
2015,2015,Children & schools,\byouth[a-z]*,5,40089
2015,2015,Children & schools,\bplayground[a-z]*,0,40089
2015,2015,Housing affordability,\bafford[a-z]*,57,40089
2021,2021,Preservation,\bpreserv[a-z]*,161,54451
2021,2021,Preservation,\bopen\s+space,90,54451
2021,2021,Preservation,\bneighborhood character,9,54451
2021,2021,Preservation,\bcommunity character,4,54451
2021,2021,Preservation,\bhistoric character,0,54451
2021,2021,Preservation,\brural character,4,54451
2021,2021,Preservation,\bgrowth management,12,54451
2021,2021,Preservation,\bcompatib[a-z]*,25,54451
2021,2021,Children & schools,(?<!single-)(?<!single )(?<!multi-)(?<!multi )(?<!multiple-)(?<!multiple )(?<!two-)(?<!two )\bfamil[a-z]*,8,54451
2021,2021,Children & schools,\bchild[a-z]*,8,54451
2021,2021,Children & schools,\bschool[a-z]*,29,54451
2021,2021,Children & schools,\bstudent[a-z]*,13,54451
2021,2021,Children & schools,\byouth[a-z]*,7,54451
2021,2021,Children & schools,\bplayground[a-z]*,1,54451
2021,2021,Housing affordability,\bafford[a-z]*,59,54451
2026,2026,Preservation,\bpreserv[a-z]*,61,28154
