place_fips,year,age_group,age_lo,age_hi,pop
2511000,2000,5-9,5,9,3602
2511000,2000,10-14,10,14,3664
2511000,2000,15-17,15,17,2056
2511000,2000,18-19,18,19,5382
2511000,2000,20-24,20,24,16090
2511000,2000,25-29,25,29,14721
2511000,2000,30-34,30,34,10481
2511000,2000,35-39,35,39,7486
2511000,2000,40-44,40,44,6456
2511000,2000,45-49,45,49,5752
2511000,2000,50-54,50,54,5392
2511000,2000,55-59,55,59,4013
2511000,2000,60-64,60,64,2853
2511000,2000,65-69,65,69,2403
2511000,2000,70-74,70,74,2284
2511000,2000,75-79,75,79,1985
2511000,2000,80-84,80,84,1377
2511000,2000,85+,85,999,1233
2511000,2010,0-4,0,4,4526
2511000,2010,5-9,5,9,3075
2511000,2010,10-14,10,14,2723
2511000,2010,15-17,15,17,1704
2511000,2010,18-19,18,19,5279
2511000,2010,20-24,20,24,16576
2511000,2010,25-29,25,29,17986
2511000,2010,30-34,30,34,12180
2511000,2010,35-39,35,39,7307
2511000,2010,40-44,40,44,5236
2511000,2010,45-49,45,49,4626
2511000,2010,50-54,50,54,4712
2511000,2010,55-59,55,59,4702
2511000,2010,60-64,60,64,4542
2511000,2010,65-69,65,69,3328
2511000,2010,70-74,70,74,2168
2511000,2010,75-79,75,79,1746
2511000,2010,80-84,80,84,1341
2511000,2010,85+,85,999,1405
2511000,2020,0-4,0,4,4656
2511000,2020,5-9,5,9,3864
2511000,2020,10-14,10,14,3285
2511000,2020,15-17,15,17,2058
2511000,2020,18-19,18,19,5248
2511000,2020,20-24,20,24,17535
2511000,2020,25-29,25,29,20275
2511000,2020,30-34,30,34,14454
2511000,2020,35-39,35,39,8542
2511000,2020,40-44,40,44,5745
2511000,2020,45-49,45,49,4838
2511000,2020,50-54,50,54,4512
2511000,2020,55-59,55,59,4476
2511000,2020,60-64,60,64,4662
2511000,2020,65-69,65,69,4372
2511000,2020,70-74,70,74,3979
2511000,2020,75-79,75,79,2685
2511000,2020,80-84,80,84,1613
2511000,2020,85+,85,999,1604
2603000,1990,0-4,0,4,6357
2603000,1990,5-9,5,9,5378
2603000,1990,10-14,10,14,4533
2603000,1990,15-17,15,17,2643
2603000,1990,18-19,18,19,8818
2603000,1990,20-24,20,24,21120
2603000,1990,25-29,25,29,12768
2603000,1990,30-34,30,34,9956
2603000,1990,35-39,35,39,8691
