county_fips,year,age,pop
08123,2010,80,732
08123,2010,81,690
08123,2010,82,617
08123,2010,83,551
08123,2010,84,515
08123,2010,85,2889
08123,2020,0,4496
08123,2020,1,4459
08123,2020,2,4614
08123,2020,3,4794
08123,2020,4,4923
08123,2020,5,4877
08123,2020,6,4900
08123,2020,7,4899
08123,2020,8,4983
08123,2020,9,4938
08123,2020,10,4958
08123,2020,11,4926
08123,2020,12,5123
08123,2020,13,5140
08123,2020,14,5120
08123,2020,15,5122
08123,2020,16,4891
08123,2020,17,4673
08123,2020,18,4839
08123,2020,19,5114
08123,2020,20,5150
08123,2020,21,4893
08123,2020,22,4579
08123,2020,23,4225
08123,2020,24,4012
08123,2020,25,4156
08123,2020,26,4151
08123,2020,27,4380
08123,2020,28,4115
08123,2020,29,5547
08123,2020,30,5119
08123,2020,31,5198
08123,2020,32,5455
08123,2020,33,4901
08123,2020,34,4932
08123,2020,35,5207
08123,2020,36,5079
08123,2020,37,5009
08123,2020,38,4839
08123,2020,39,4883
08123,2020,40,4830
08123,2020,41,4545
08123,2020,42,4285
08123,2020,43,4266
08123,2020,44,4041
08123,2020,45,3907
08123,2020,46,3772
08123,2020,47,3793
08123,2020,48,3991
08123,2020,49,4029
08123,2020,50,4053
08123,2020,51,3859
08123,2020,52,3624
08123,2020,53,3457
08123,2020,54,3464
08123,2020,55,3552
08123,2020,56,3772
08123,2020,57,3678
08123,2020,58,3767
08123,2020,59,3810
08123,2020,60,3791
08123,2020,61,3617
08123,2020,62,3506
08123,2020,63,3585
08123,2020,64,3277
08123,2020,65,3166
08123,2020,66,3174
08123,2020,67,3049
08123,2020,68,2964
08123,2020,69,2685
08123,2020,70,2544
08123,2020,71,2359
08123,2020,72,2398
08123,2020,73,2384
08123,2020,74,1763
08123,2020,75,1511
08123,2020,76,1614
08123,2020,77,1441
08123,2020,78,1256
08123,2020,79,1071
08123,2020,80,1054
08123,2020,81,940
08123,2020,82,864
08123,2020,83,778
08123,2020,84,656
08123,2020,85,3897
