countyfips,year,age,totalpopulation
13,1995,58,1820
13,1995,59,1750
13,1995,60,1630
13,1995,61,1531
13,1995,62,1494
13,1995,63,1395
13,1995,64,1373
13,1995,65,1341
13,1995,66,1233
13,1995,67,1207
13,1995,68,1189
13,1995,69,1098
13,1995,70,1061
13,1995,71,998
13,1995,72,985
13,1995,73,921
13,1995,74,868
13,1995,75,843
13,1995,76,808
13,1995,77,783
13,1995,78,754
13,1995,79,692
13,1995,80,628
13,1995,81,600
13,1995,82,534
13,1995,83,466
13,1995,84,435
13,1995,85,417
13,1995,86,356
13,1995,87,310
13,1995,88,248
13,1995,89,240
13,1995,90,840
13,1996,0,3356
13,1996,1,3364
13,1996,2,3331
13,1996,3,3324
13,1996,4,3429
13,1996,5,3366
13,1996,6,3337
13,1996,7,3495
13,1996,8,3437
13,1996,9,3557
13,1996,10,3482
13,1996,11,3393
13,1996,12,3264
13,1996,13,3267
13,1996,14,3306
13,1996,15,3202
13,1996,16,3106
13,1996,17,3196
13,1996,18,4541
13,1996,19,6022
13,1996,20,5943
13,1996,21,5758
13,1996,22,5281
13,1996,23,4537
13,1996,24,4199
13,1996,25,4378
13,1996,26,4284
13,1996,27,4431
13,1996,28,4544
13,1996,29,4803
13,1996,30,4952
13,1996,31,4516
13,1996,32,4516
13,1996,33,4526
13,1996,34,4526
13,1996,35,4752
13,1996,36,4698
13,1996,37,4858
13,1996,38,4698
13,1996,39,4815
13,1996,40,4896
13,1996,41,4678
13,1996,42,4785
13,1996,43,4700
13,1996,44,4203
13,1996,45,4230
13,1996,46,3921
13,1996,47,4044
13,1996,48,3690
13,1996,49,3457
13,1996,50,3450
13,1996,51,3202
13,1996,52,3145
13,1996,53,3030
13,1996,54,2419
13,1996,55,2363
13,1996,56,2190
13,1996,57,2099
13,1996,58,1880
13,1996,59,1802
13,1996,60,1670
13,1996,61,1565
13,1996,62,1525
13,1996,63,1415
13,1996,64,1398
13,1996,65,1359
13,1996,66,1240
13,1996,67,1222
13,1996,68,1201
13,1996,69,1109
13,1996,70,1083
13,1996,71,1005
13,1996,72,1002
13,1996,73,940
13,1996,74,889
13,1996,75,860
13,1996,76,825
13,1996,77,801
13,1996,78,771
13,1996,79,702
13,1996,80,642
13,1996,81,617
13,1996,82,549
13,1996,83,474
13,1996,84,451
13,1996,85,424
13,1996,86,365
13,1996,87,317
13,1996,88,258
13,1996,89,248
13,1996,90,868
13,1997,0,3349
13,1997,1,3370
13,1997,2,3332
13,1997,3,3324
13,1997,4,3423
13,1997,5,3378
13,1997,6,3356
13,1997,7,3536
13,1997,8,3503
13,1997,9,3610
13,1997,10,3566
13,1997,11,3486
13,1997,12,3353
13,1997,13,3371
13,1997,14,3425
13,1997,15,3304
13,1997,16,3203
13,1997,17,3271
13,1997,18,4585
13,1997,19,6056
13,1997,20,5928
13,1997,21,5742
13,1997,22,5347
13,1997,23,4617
