age_group,age_lo,age_hi,ssp,year,pop
10-14,10,14,3,2035,18555923.644657105
15-19,15,19,3,2035,19485090.705167986
20-24,20,24,3,2035,19837019.86629674
25-29,25,29,3,2035,22762050.78919208
30-34,30,34,3,2035,22154783.76506474
35-39,35,39,3,2035,21238778.798757657
40-44,40,44,3,2035,23289430.14108372
45-49,45,49,3,2035,23595651.804534066
50-54,50,54,3,2035,22872854.024978302
55-59,55,59,3,2035,19678981.791323066
60-64,60,64,3,2035,19077472.597628452
65-69,65,69,3,2035,17988414.32952792
70-74,70,74,3,2035,18252413.427447554
75-79,75,79,3,2035,15399731.552642774
80-84,80,84,3,2035,10740744.226211183
85+,85,999,3,2035,9915902.427258471
0-4,0,4,3,2040,16597492.126885427
5-9,5,9,3,2040,16989855.407593187
10-14,10,14,3,2040,17291941.149073683
15-19,15,19,3,2040,18596337.1469367
20-24,20,24,3,2040,19512179.64393582
25-29,25,29,3,2040,20447464.68024185
30-34,30,34,3,2040,23241696.817225404
35-39,35,39,3,2040,22414159.962640967
40-44,40,44,3,2040,21351261.66338211
45-49,45,49,3,2040,23204930.52479658
50-54,50,54,3,2040,23319568.40523746
55-59,55,59,3,2040,22389534.32717934
60-64,60,64,3,2040,19022944.059135877
65-69,65,69,3,2040,18066280.39935869
70-74,70,74,3,2040,16514341.449721145
75-79,75,79,3,2040,15821953.115114123
80-84,80,84,3,2040,12153726.694548301
85+,85,999,3,2040,11957090.96481575
0-4,0,4,3,2045,15932893.73804233
5-9,5,9,3,2045,16749272.880253466
10-14,10,14,3,2045,17086905.360718213
15-19,15,19,3,2045,17329749.572642583
20-24,20,24,3,2045,18622491.385805536
25-29,25,29,3,2045,20113283.000509687
30-34,30,34,3,2045,20991634.43645826
35-39,35,39,3,2045,23505314.33534076
40-44,40,44,3,2045,22516740.949353818
45-49,45,49,3,2045,21304187.560982283
50-54,50,54,3,2045,22951886.2196533
55-59,55,59,3,2045,22856055.79064605
60-64,60,64,3,2045,21668476.698037103
65-69,65,69,3,2045,18060737.475571234
70-74,70,74,3,2045,16635634.931136454
75-79,75,79,3,2045,14380796.000510264
80-84,80,84,3,2045,12571216.85324632
85+,85,999,3,2045,13974515.675333597
0-4,0,4,3,2050,14995053.712903596
5-9,5,9,3,2050,16077873.830181418
10-14,10,14,3,2050,16843991.674610846
15-19,15,19,3,2050,17123566.553006984
20-24,20,24,3,2050,17357375.326349612
25-29,25,29,3,2050,19194263.585786376
