age_group,age_lo,age_hi,ssp,year,pop
75-79,75,79,4,2040,17156632.7404388
80-84,80,84,4,2040,13613203.33434353
85+,85,999,4,2040,14634938.210092992
0-4,0,4,4,2045,18313389.968492314
5-9,5,9,4,2045,19107983.514326807
10-14,10,14,4,2045,19413724.801505808
15-19,15,19,4,2045,19498270.224202946
20-24,20,24,4,2045,20445606.507034067
25-29,25,29,4,2045,21990806.25374319
30-34,30,34,4,2045,22898075.044604458
35-39,35,39,4,2045,25566560.25185508
40-44,40,44,4,2045,24676705.524960157
45-49,45,49,4,2045,23625863.824865434
50-54,50,54,4,2045,25180477.848903593
55-59,55,59,4,2045,24893245.466325585
60-64,60,64,4,2045,23336205.578751
65-69,65,69,4,2045,19505327.605218023
70-74,70,74,4,2045,18075138.8177518
75-79,75,79,4,2045,15928788.587588195
80-84,80,84,4,2045,14426309.891720397
85+,85,999,4,2045,17907429.903383534
0-4,0,4,4,2050,17621078.28410355
5-9,5,9,4,2050,18607711.329141274
10-14,10,14,4,2050,19306803.77574433
15-19,15,19,4,2050,19521214.646334298
20-24,20,24,4,2050,19637497.97862538
25-29,25,29,4,2050,21688504.569640577
30-34,30,34,4,2050,23107987.562092893
35-39,35,39,4,2050,23631827.43574173
40-44,40,44,4,2050,25994366.594517604
45-49,45,49,4,2050,24884318.28399913
50-54,50,54,4,2050,23658368.676659726
55-59,55,59,4,2050,25004338.20577186
60-64,60,64,4,2050,24508288.724949427
65-69,65,69,4,2050,22660303.328238197
70-74,70,74,4,2050,18538261.82163335
75-79,75,79,4,2050,16486881.762393817
80-84,80,84,4,2050,13584691.052693168
85+,85,999,4,2050,20682358.63469937
0-4,0,4,4,2055,17244887.119249906
5-9,5,9,4,2055,17895426.7820708
10-14,10,14,4,2055,18800229.27551541
15-19,15,19,4,2055,19414064.719656732
20-24,20,24,4,2055,19663686.88228885
25-29,25,29,4,2055,20846118.131732546
30-34,30,34,4,2055,22760262.591164466
35-39,35,39,4,2055,23826353.51228407
40-44,40,44,4,2055,24106163.940644547
45-49,45,49,4,2055,26223443.507528156
50-54,50,54,4,2055,24932931.322581258
55-59,55,59,4,2055,23550967.071379848
60-64,60,64,4,2055,24677322.070355654
65-69,65,69,4,2055,23888100.34007854
70-74,70,74,4,2055,21643477.97933889
75-79,75,79,4,2055,17073058.021998048
80-84,80,84,4,2055,14265663.924290765
85+,85,999,4,2055,22030003.87091358
0-4,0,4,4,2060,16896936.375799205
5-9,5,9,4,2060,17496477.586835485
10-14,10,14,4,2060,18077500.102425452
15-19,15,19,4,2060,18906746.05666596
20-24,20,24,4,2060,19559783.01660453
25-29,25,29,4,2060,20869508.98073054
30-34,30,34,4,2060,21869790.869389772
35-39,35,39,4,2060,23449807.86941266
40-44,40,44,4,2060,24300189.127724487
45-49,45,49,4,2060,24378351.23729312
50-54,50,54,4,2060,26297389.848711204
55-59,55,59,4,2060,24850052.240117144
60-64,60,64,4,2060,23311515.029429037
65-69,65,69,4,2060,24134285.3407528
70-74,70,74,4,2060,22935551.957702365
75-79,75,79,4,2060,20090788.513234876
80-84,80,84,4,2060,14989645.429214127
85+,85,999,4,2060,23705551.274317313
0-4,0,4,4,2065,16578458.740088644
5-9,5,9,4,2065,17108612.07341864
10-14,10,14,4,2065,17651895.06326143
15-19,15,19,4,2065,18168440.82851594
20-24,20,24,4,2065,19032686.386507306
25-29,25,29,4,2065,20609020.408145916
30-34,30,34,4,2065,21763716.210552793
35-39,35,39,4,2065,22470062.09781703
40-44,40,44,4,2065,23875093.57935228
45-49,45,49,4,2065,24553459.86206992
50-54,50,54,4,2065,24451700.112493955
55-59,55,59,4,2065,26218653.5032678
60-64,60,64,4,2065,24630596.503640044
65-69,65,69,4,2065,22869508.509485576
70-74,70,74,4,2065,23270545.3201336
75-79,75,79,4,2065,21454971.80497257
80-84,80,84,4,2065,17849926.01641863
85+,85,999,4,2065,25927643.70750782
0-4,0,4,4,2070,16230550.36878354
5-9,5,9,4,2070,16752514.450414559
10-14,10,14,4,2070,17238531.745823637
15-19,15,19,4,2070,17728552.584828474
20-24,20,24,4,2070,18274568.47238656
25-29,25,29,4,2070,19919299.62810084
30-34,30,34,4,2070,21367352.52299619
35-39,35,39,4,2070,22280112.28566903
40-44,40,44,4,2070,22833043.3455133
45-49,45,49,4,2070,24096928.168958895
50-54,50,54,4,2070,24620077.15822731
55-59,55,59,4,2070,24390058.772747897
60-64,60,64,4,2070,26010303.68657397
65-69,65,69,4,2070,24218344.226783093
70-74,70,74,4,2070,22145036.067637883
75-79,75,79,4,2070,21915654.63932163
80-84,80,84,4,2070,19275318.351717036
85+,85,999,4,2070,30325001.096080095
0-4,0,4,4,2075,15747162.719485966
5-9,5,9,4,2075,16370676.548300767
10-14,10,14,4,2075,16858255.534996677
15-19,15,19,4,2075,17301076.48643437
20-24,20,24,4,2075,17815737.84962849
25-29,25,29,4,2075,19002047.734051954
30-34,30,34,4,2075,20538761.14856273
35-39,35,39,4,2075,21794455.189776078
40-44,40,44,4,2075,22583454.512847647
45-49,45,49,4,2075,23016152.1570197
50-54,50,54,4,2075,24152469.32686743
55-59,55,59,4,2075,24564984.532394856
60-64,60,64,4,2075,24221379.330808245
65-69,65,69,4,2075,25627946.88449843
70-74,70,74,4,2075,23542780.539679736
75-79,75,79,4,2075,21000695.477622773
80-84,80,84,4,2075,19897119.44002988
85+,85,999,4,2075,35192238.49057252
0-4,0,4,4,2080,15139644.857124975
5-9,5,9,4,2080,15854579.189783394
10-14,10,14,4,2080,16453256.569931326
15-19,15,19,4,2080,16906831.90752889
20-24,20,24,4,2080,17369063.127839006
25-29,25,29,4,2080,18392644.326481387
30-34,30,34,4,2080,19486602.987122416
35-39,35,39,4,2080,20873434.430873416
40-44,40,44,4,2080,22034096.63174075
45-49,45,49,4,2080,22726998.12015574
50-54,50,54,4,2080,23056268.11029645
55-59,55,59,4,2080,24101453.535308078
60-64,60,64,4,2080,24414858.65737996
65-69,65,69,4,2080,23910816.51316771
70-74,70,74,4,2080,25000440.234423045
75-79,75,79,4,2080,22466785.75065607
80-84,80,84,4,2080,19267430.931827683
85+,85,999,4,2080,39641168.037370995
0-4,0,4,4,2085,14522778.499451296
5-9,5,9,4,2085,15215849.615734383
10-14,10,14,4,2085,15914455.497363728
15-19,15,19,4,2085,16488126.246012097
20-24,20,24,4,2085,16955467.71337063
25-29,25,29,4,2085,17796020.017485164
30-34,30,34,4,2085,18749555.390508253
35-39,35,39,4,2085,19730341.298365068
40-44,40,44,4,2085,21046777.561013635
45-49,45,49,4,2085,22135440.39459732
50-54,50,54,4,2085,22747975.44175754
55-59,55,59,4,2085,23006874.387903683
60-64,60,64,4,2085,23969022.011037584
65-69,65,69,4,2085,24141128.303560004
70-74,70,74,4,2085,23398824.588236626
75-79,75,79,4,2085,23993348.19917714
80-84,80,84,4,2085,20809996.51683529
85+,85,999,4,2085,42696877.04099135
0-4,0,4,4,2090,13952838.955748217
5-9,5,9,4,2090,14569687.418751668
10-14,10,14,4,2090,15253762.290706646
15-19,15,19,4,2090,15935721.912282463
20-24,20,24,4,2090,16517554.440762445
25-29,25,29,4,2090,17234219.757200904
30-34,30,34,4,2090,18026726.812407374
35-39,35,39,4,2090,18905802.122405626
40-44,40,44,4,2090,19837944.593613926
45-49,45,49,4,2090,21104679.83976502
50-54,50,54,4,2090,22135792.031554643
55-59,55,59,4,2090,22694690.911546513
60-64,60,64,4,2090,22891314.09559664
65-69,65,69,4,2090,23734106.449859876
70-74,70,74,4,2090,23691396.23303948
75-79,75,79,4,2090,22572767.212452568
80-84,80,84,4,2090,22421106.95962456
85+,85,999,4,2090,46706062.98195935
0-4,0,4,4,2095,13408122.719776554
5-9,5,9,4,2095,13972240.700705284
10-14,10,14,4,2095,14586684.431049855
15-19,15,19,4,2095,15261729.629773997
20-24,20,24,4,2095,15946035.861348817
25-29,25,29,4,2095,16650316.313773664
30-34,30,34,4,2095,17341254.810299568
35-39,35,39,4,2095,18096491.533375595
40-44,40,44,4,2095,18949512.33717217
45-49,45,49,4,2095,19852960.635148305
50-54,50,54,4,2095,21084078.477265425
55-59,55,59,4,2095,22077687.95225911
60-64,60,64,4,2095,22588344.390553508
65-69,65,69,4,2095,22695402.53449338
70-74,70,74,4,2095,23351774.151121397
75-79,75,79,4,2095,22963453.868541356
80-84,80,84,4,2095,21266150.321100313
85+,85,999,4,2095,51833712.81965919
0-4,0,4,4,2100,12846318.870888084
5-9,5,9,4,2100,13401681.379362576
10-14,10,14,4,2100,13969337.707094872
15-19,15,19,4,2100,14581809.719846679
20-24,20,24,4,2100,15253186.398652509
25-29,25,29,4,2100,15935120.810254544
30-34,30,34,4,2100,16638261.191631153
35-39,35,39,4,2100,17327298.292567585
40-44,40,44,4,2100,18078082.12819925
45-49,45,49,4,2100,18922725.41310565
50-54,50,54,4,2100,19811745.962123185
55-59,55,59,4,2100,21020993.104041886
60-64,60,64,4,2100,21979149.85293482
65-69,65,69,4,2100,22418586.96761349
70-74,70,74,4,2100,22379431.763481405
75-79,75,79,4,2100,22727931.336815204
80-84,80,84,4,2100,21790751.29800839
85+,85,999,4,2100,55467890.65765738
0-4,0,4,5,2020,23302194.19526547
5-9,5,9,5,2020,21885035.57465504
10-14,10,14,5,2020,22480220.68529269
15-19,15,19,5,2020,21319798.52541001
20-24,20,24,5,2020,20122174.125047203
25-29,25,29,5,2020,23463042.805121057
30-34,30,34,5,2020,24645289.781440515
35-39,35,39,5,2020,24123354.563636716
40-44,40,44,5,2020,21078711.81657282
45-49,45,49,5,2020,20953733.276340872
50-54,50,54,5,2020,20595694.82780423
55-59,55,59,5,2020,22331026.84240809
60-64,60,64,5,2020,21124973.85299751
65-69,65,69,5,2020,17849030.922228992
70-74,70,74,5,2020,14504553.925598042
75-79,75,79,5,2020,9774137.136789158
80-84,80,84,5,2020,6259641.128817907
85+,85,999,5,2020,7107308.202138133
0-4,0,4,5,2025,25107225.99054304
5-9,5,9,5,2025,23960029.00660889
10-14,10,14,5,2025,22302331.264804307
15-19,15,19,5,2025,22675884.56480853
20-24,20,24,5,2025,21545949.3652625
25-29,25,29,5,2025,21987325.62027814
30-34,30,34,5,2025,25109840.222514562
35-39,35,39,5,2025,25699300.27819712
40-44,40,44,5,2025,24730189.74205967
45-49,45,49,5,2025,21379838.821898844
50-54,50,54,5,2025,20990627.91232735
55-59,55,59,5,2025,20396137.798218798
60-64,60,64,5,2025,21804151.20362898
65-69,65,69,5,2025,20248319.792409606
70-74,70,74,5,2025,16646924.634096794
75-79,75,79,5,2025,12864427.544169225
80-84,80,84,5,2025,7971733.702386209
85+,85,999,5,2025,7899328.575831711
0-4,0,4,5,2030,26524403.896769732
5-9,5,9,5,2030,25716648.656876065
10-14,10,14,5,2030,24357486.647860724
15-19,15,19,5,2030,22526113.9084221
20-24,20,24,5,2030,22915601.77991454
25-29,25,29,5,2030,23417426.51118257
30-34,30,34,5,2030,23691226.480635967
35-39,35,39,5,2030,26154080.69482968
40-44,40,44,5,2030,26375769.456807572
45-49,45,49,5,2030,25060234.47643064
50-54,50,54,5,2030,21479557.416201394
55-59,55,59,5,2030,20866254.100507494
60-64,60,64,5,2030,20043759.487921666
65-69,65,69,5,2030,21044080.27750961
70-74,70,74,5,2030,19049851.55976107
75-79,75,79,5,2030,14971512.477538913
80-84,80,84,5,2030,10729607.932739565
85+,85,999,5,2030,9870874.458157232
0-4,0,4,5,2035,27388970.195246506
5-9,5,9,5,2035,27093130.87691196
10-14,10,14,5,2035,26089605.69451432
15-19,15,19,5,2035,24574044.587191425
20-24,20,24,5,2035,22798204.734274108
25-29,25,29,5,2035,24856484.021997314
30-34,30,34,5,2035,25073592.155817106
35-39,35,39,5,2035,24800194.98069988
40-44,40,44,5,2035,26840150.493997227
45-49,45,49,5,2035,26765165.466998283
50-54,50,54,5,2035,25187250.044406258
55-59,55,59,5,2035,21420795.395820696
60-64,60,64,5,2035,20595487.724965066
65-69,65,69,5,2035,19480602.901105832
70-74,70,74,5,2035,19962745.51661124
75-79,75,79,5,2035,17340701.73823104
80-84,80,84,5,2035,12734573.885231156
85+,85,999,5,2035,13485315.78255488
0-4,0,4,5,2040,28613061.05735967
5-9,5,9,5,2040,27937041.49284774
10-14,10,14,5,2040,27447242.065475132
15-19,15,19,5,2040,26296250.892170347
20-24,20,24,5,2040,24844039.364931043
25-29,25,29,5,2040,24863493.309866663
30-34,30,34,5,2040,26555651.86540994
35-39,35,39,5,2040,26148328.159145772
40-44,40,44,5,2040,25538845.25416883
45-49,45,49,5,2040,27255795.704983324
50-54,50,54,5,2040,26949085.993310772
55-59,55,59,5,2040,25157058.01323806
60-64,60,64,5,2040,21226549.73985122
65-69,65,69,5,2040,20128155.164876178
70-74,70,74,5,2040,18636479.678740315
75-79,75,79,5,2040,18391291.25648935
80-84,80,84,5,2040,15023102.419152874
85+,85,999,5,2040,17657056.498694316
0-4,0,4,5,2045,30027592.219185594
5-9,5,9,5,2045,29144563.740753327
10-14,10,14,5,2045,28281752.92221129
15-19,15,19,5,2045,27646958.715675652
20-24,20,24,5,2045,26560346.370699763
25-29,25,29,5,2045,26894093.31178699
30-34,30,34,5,2045,26755947.1605502
35-39,35,39,5,2045,27659530.582652397
40-44,40,44,5,2045,26878372.452242557
45-49,45,49,5,2045,26002563.619347148
50-54,50,54,5,2045,27474167.751070537
55-59,55,59,5,2045,26972343.58054126
60-64,60,64,5,2045,24989624.812992778
65-69,65,69,5,2045,20844530.894326046
70-74,70,74,5,2045,19386457.763638694
75-79,75,79,5,2045,17352546.277762752
80-84,80,84,5,2045,16202640.475465054
85+,85,999,5,2045,22474092.75680357
0-4,0,4,5,2050,31739357.68031176
5-9,5,9,5,2050,30548166.78844695
10-14,10,14,5,2050,29482828.433772232
15-19,15,19,5,2050,28479088.635527093
20-24,20,24,5,2050,27907460.225378055
25-29,25,29,5,2050,28564288.088961463
30-34,30,34,5,2050,28736697.767505836
35-39,35,39,5,2050,28012453.938905846
40-44,40,44,5,2050,28419166.27419461
45-49,45,49,5,2050,27351965.268334273
50-54,50,54,5,2050,26273479.809029665
55-59,55,59,5,2050,27542203.44076099
60-64,60,64,5,2050,26864323.335805938
65-69,65,69,5,2050,24638820.43173323
70-74,70,74,5,2050,20205240.206032995
75-79,75,79,5,2050,18235741.895232677
80-84,80,84,5,2050,15547828.195803465
85+,85,999,5,2050,27128330.612208437
0-4,0,4,5,2055,33301599.93190253
5-9,5,9,5,2055,32242921.622796793
10-14,10,14,5,2055,30881091.546807885
15-19,15,19,5,2055,29679080.470737673
20-24,20,24,5,2055,28741669.33391519
25-29,25,29,5,2055,29863528.902094807
30-34,30,34,5,2055,30331905.570235413
35-39,35,39,5,2055,29955300.209232356
40-44,40,44,5,2055,28875930.58625355
45-49,45,49,5,2055,28920388.41044236
50-54,50,54,5,2055,27639670.36391639
55-59,55,59,5,2055,26396369.009477343
60-64,60,64,5,2055,27487897.07057171
65-69,65,69,5,2055,26581548.39089949
70-74,70,74,5,2055,24027882.139064524
75-79,75,79,5,2055,19197228.337556604
80-84,80,84,5,2055,16600861.867922474
85+,85,999,5,2055,30346758.67452769
0-4,0,4,5,2060,34701766.52579134
5-9,5,9,5,2060,33773708.008246996
10-14,10,14,5,2060,32566800.701828852
15-19,15,19,5,2060,31077047.018147957
20-24,20,24,5,2060,29943225.552690785
25-29,25,29,5,2060,30681905.55624118
30-34,30,34,5,2060,31561928.082214493
35-39,35,39,5,2060,31497419.675841358
40-44,40,44,5,2060,30799579.891125534
45-49,45,49,5,2060,29449206.163019016
50-54,50,54,5,2060,29236392.260753702
55-59,55,59,5,2060,27786117.003193296
60-64,60,64,5,2060,26406558.567074932
65-69,65,69,5,2060,27275846.471259583
70-74,70,74,5,2060,26057638.23827752
75-79,75,79,5,2060,23050241.496648505
80-84,80,84,5,2060,17743763.722818345
85+,85,999,5,2060,34120322.60096824
0-4,0,4,5,2065,35809497.73774565
5-9,5,9,5,2065,35105008.83685183
10-14,10,14,5,2065,34053033.21231851
15-19,15,19,5,2065,32738304.284352697
20-24,20,24,5,2065,31307102.175552778
25-29,25,29,5,2065,31628150.36046838
30-34,30,34,5,2065,32166187.287977707
35-39,35,39,5,2065,32583323.033610582
40-44,40,44,5,2065,32249820.4158812
45-49,45,49,5,2065,31317297.622800328
50-54,50,54,5,2065,29742374.947572995
55-59,55,59,5,2065,29373295.09598193
60-64,60,64,5,2065,27810039.43052214
65-69,65,69,5,2065,26256062.80540962
70-74,70,74,5,2065,26848645.34546005
75-79,75,79,5,2065,25196719.602961235
80-84,80,84,5,2065,21614600.75671917
85+,85,999,5,2065,38714245.87764356
0-4,0,4,5,2070,36772541.39161397
5-9,5,9,5,2070,36146732.370685235
10-14,10,14,5,2070,35339764.73744211
15-19,15,19,5,2070,34198895.53172277
20-24,20,24,5,2070,32935272.00530248
25-29,25,29,5,2070,32739112.86040976
30-34,30,34,5,2070,32890692.830074497
35-39,35,39,5,2070,33046090.651290916
40-44,40,44,5,2070,33228961.81802428
45-49,45,49,5,2070,32700699.70645403
50-54,50,54,5,2070,31577168.883236248
55-59,55,59,5,2070,29870251.75554495
60-64,60,64,5,2070,29399380.011392158
65-69,65,69,5,2070,27689427.656935766
70-74,70,74,5,2070,25929390.92482514
75-79,75,79,5,2070,26128480.035659082
80-84,80,84,5,2070,23898654.41347457
85+,85,999,5,2070,46597748.5949006
0-4,0,4,5,2075,37810641.201917395
5-9,5,9,5,2075,37047815.48192937
10-14,10,14,5,2075,36338322.10232441
15-19,15,19,5,2075,35459459.583336174
20-24,20,24,5,2075,34361523.49423223
25-29,25,29,5,2075,34124638.75827579
30-34,30,34,5,2075,33784391.45278551
35-39,35,39,5,2075,33622515.015386306
40-44,40,44,5,2075,33588565.97839232
45-49,45,49,5,2075,33604235.09184127
50-54,50,54,5,2075,32920670.161794428
55-59,55,59,5,2075,31687866.338660773
60-64,60,64,5,2075,29898647.75414917
65-69,65,69,5,2075,29301558.17141807
70-74,70,74,5,2075,27417636.639242716
75-79,75,79,5,2075,25371660.541199893
80-84,80,84,5,2075,25026126.347180184
85+,85,999,5,2075,56018922.305466324
0-4,0,4,5,2080,38946890.38208339
5-9,5,9,5,2080,38026815.45943552
10-14,10,14,5,2080,37198400.85032285
15-19,15,19,5,2080,36432370.40017053
20-24,20,24,5,2080,35586602.24458367
25-29,25,29,5,2080,35302522.99533423
30-34,30,34,5,2080,34959648.1768498
35-39,35,39,5,2080,34367285.47669447
40-44,40,44,5,2080,34055065.027561925
45-49,45,49,5,2080,33888619.67732316
50-54,50,54,5,2080,33776240.92458479
55-59,55,59,5,2080,33005808.47515236
60-64,60,64,5,2080,31704779.26495806
65-69,65,69,5,2080,29813718.5454811
70-74,70,74,5,2080,29059319.82054667
75-79,75,79,5,2080,26919419.369421616
80-84,80,84,5,2080,24450406.4145466
85+,85,999,5,2080,64910009.80614842
0-4,0,4,5,2085,40030056.66778898
5-9,5,9,5,2085,39105672.45052345
10-14,10,14,5,2085,38137512.943360746
15-19,15,19,5,2085,37267317.58354033
20-24,20,24,5,2085,36524524.80263711
25-29,25,29,5,2085,36277795.73574257
30-34,30,34,5,2085,35921188.96707184
35-39,35,39,5,2085,35395544.94120658
40-44,40,44,5,2085,34687794.2656441
45-49,45,49,5,2085,34275641.94135634
50-54,50,54,5,2085,34012752.43210228
55-59,55,59,5,2085,33831387.55590126
60-64,60,64,5,2085,33006569.696207922
65-69,65,69,5,2085,31619728.54531059
70-74,70,74,5,2085,29598174.997395623
75-79,75,79,5,2085,28599494.779141847
80-84,80,84,5,2085,26054043.997805048
85+,85,999,5,2085,71320976.7932475
0-4,0,4,5,2090,40916382.37207342
5-9,5,9,5,2090,40132637.129810035
10-14,10,14,5,2090,39177791.1290844
15-19,15,19,5,2090,38181843.13990846
20-24,20,24,5,2090,37325707.510183655
25-29,25,29,5,2090,36973468.78120165
30-34,30,34,5,2090,36679756.49002578
35-39,35,39,5,2090,36206318.09711289
40-44,40,44,5,2090,35604756.58717184
45-49,45,49,5,2090,34828082.95618048
50-54,50,54,5,2090,34349925.4375183
55-59,55,59,5,2090,34038660.60716532
60-64,60,64,5,2090,33814840.25310538
65-69,65,69,5,2090,32920603.259214923
70-74,70,74,5,2090,31416862.82180096
75-79,75,79,5,2090,29187037.343489297
80-84,80,84,5,2090,27780902.76528895
85+,85,999,5,2090,77721793.54536232
0-4,0,4,5,2095,41579411.843622595
5-9,5,9,5,2095,40963712.65769846
10-14,10,14,5,2095,40167072.270731404
15-19,15,19,5,2095,39198180.37822485
20-24,20,24,5,2095,38206505.336820535
25-29,25,29,5,2095,37541081.35660268
30-34,30,34,5,2095,37164412.57513343
35-39,35,39,5,2095,36813592.39949008
40-44,40,44,5,2095,36301927.168387026
45-49,45,49,5,2095,35663843.56953242
50-54,50,54,5,2095,34849845.091521315
55-59,55,59,5,2095,34341838.42356377
60-64,60,64,5,2095,34000022.81586005
65-69,65,69,5,2095,33718397.57525999
70-74,70,74,5,2095,32714367.628839
75-79,75,79,5,2095,31000920.308653705
80-84,80,84,5,2095,28386954.43232488
85+,85,999,5,2095,83882056.9613627
0-4,0,4,5,2100,42106465.74434614
5-9,5,9,5,2100,41572670.75537836
10-14,10,14,5,2100,40960948.61853701
15-19,15,19,5,2100,40163479.26184199
20-24,20,24,5,2100,39189532.08514705
25-29,25,29,5,2100,38195996.26961806
30-34,30,34,5,2100,37529470.304858565
35-39,35,39,5,2100,37151391.48786091
40-44,40,44,5,2100,36797359.53469597
45-49,45,49,5,2100,36280150.34838579
50-54,50,54,5,2100,35633089.24735407
55-59,55,59,5,2100,34806898.30063648
60-64,60,64,5,2100,34278724.78950074
65-69,65,69,5,2100,33890175.89311237
70-74,70,74,5,2100,33501586.280644104
75-79,75,79,5,2100,32280384.484955262
80-84,80,84,5,2100,30149859.6507266
85+,85,999,5,2100,88611703.1751881
