place_fips,year,size_class,months_reported,buildings,units
0636770,2025,3-4 units,12,7,23
0636770,2025,5+ units,12,27,1245
0649670,2010,1-unit,6,66,66
0649670,2010,2-units,6,0,0
0649670,2010,3-4 units,6,1,4
0649670,2010,5+ units,6,7,64
0649670,2011,1-unit,12,63,63
0649670,2011,2-units,12,0,0
0649670,2011,3-4 units,12,1,4
0649670,2011,5+ units,12,12,256
0649670,2012,1-unit,12,86,86
0649670,2012,2-units,12,0,0
0649670,2012,3-4 units,12,4,14
0649670,2012,5+ units,12,4,336
0649670,2013,1-unit,12,110,110
0649670,2013,2-units,12,1,2
0649670,2013,3-4 units,12,3,11
0649670,2013,5+ units,12,10,417
0649670,2014,1-unit,2,106,106
0649670,2014,2-units,2,0,0
0649670,2014,3-4 units,2,3,9
0649670,2014,5+ units,2,11,554
0649670,2015,1-unit,12,77,77
0649670,2015,2-units,12,0,0
0649670,2015,3-4 units,12,0,0
0649670,2015,5+ units,12,2,202
0649670,2016,1-unit,12,107,107
0649670,2016,2-units,12,0,0
0649670,2016,3-4 units,12,8,29
0649670,2016,5+ units,12,10,362
0649670,2017,1-unit,12,162,162
0649670,2017,2-units,12,0,0
0649670,2017,3-4 units,12,8,27
0649670,2017,5+ units,12,32,1201
0649670,2018,1-unit,12,72,72
0649670,2018,2-units,12,0,0
0649670,2018,3-4 units,12,2,7
0649670,2018,5+ units,12,14,272
0649670,2019,1-unit,12,79,79
0649670,2019,2-units,12,2,4
0649670,2019,3-4 units,12,6,21
0649670,2019,5+ units,12,21,565
0649670,2020,1-unit,0,87,87
0649670,2020,2-units,0,0,0
0649670,2020,3-4 units,0,5,16
0649670,2020,5+ units,0,19,433
0649670,2021,1-unit,12,172,172
0649670,2021,2-units,12,1,2
0649670,2021,3-4 units,12,0,0
0649670,2021,5+ units,12,2,124
0649670,2022,1-unit,12,119,119
0649670,2022,2-units,12,2,4
0649670,2022,3-4 units,12,0,0
0649670,2022,5+ units,12,7,1442
0649670,2023,1-unit,12,181,181
0649670,2023,2-units,12,9,18
0649670,2023,3-4 units,12,4,15
0649670,2023,5+ units,12,2,170
0649670,2024,1-unit,12,115,115
0649670,2024,2-units,12,7,14
0649670,2024,3-4 units,12,0,0
0649670,2024,5+ units,12,1,85
0649670,2025,1-unit,12,85,85
0649670,2025,2-units,12,11,22
0649670,2025,3-4 units,12,0,0
0649670,2025,5+ units,12,0,0
0656000,2010,1-unit,12,52,52
0656000,2010,2-units,12,2,4
0656000,2010,3-4 units,12,0,0
0656000,2010,5+ units,12,0,0
0656000,2011,1-unit,12,21,21
0656000,2011,2-units,12,2,4
0656000,2011,3-4 units,12,0,0
0656000,2011,5+ units,12,0,0
0656000,2012,1-unit,12,22,22
0656000,2012,2-units,12,1,2
0656000,2012,3-4 units,12,1,4
0656000,2012,5+ units,12,12,370
0656000,2013,1-unit,12,44,44
0656000,2013,2-units,12,1,2
