year,district_code,district_name,county_name,unit_type,teacher_fte_published,teacher_fte_school_sum,teacher_fte_difference,staff_certificated_fte,staff_noncertificated_fte,pupil_teacher_ratio,schools_published,schools_elementary,schools_middle,schools_senior,schools_other,schools_in_sum,enrollment_published,enrollment_school_sum,graduation_rate,dropout_rate,source
1987,1440,PLAINVIEW RE-2,KIOWA,district,15.0,,,17.0,6.7,6.5,2,1,0,1,0,,97,,,0.0,yearbook-1987-summary
1987,1450,ARRIBA-FLAGLER C-20,KIT CARSON,district,21.0,,,23.0,10.7,10.9,2,1,0,1,0,,229,,,0.0,yearbook-1987-summary
1987,1460,HI-PLAINS R-23,KIT CARSON,district,13.8,,,15.8,9.5,8.9,2,1,0,1,0,,123,,,8.6,yearbook-1987-summary
1987,1480,STRATTON R-4,KIT CARSON,district,22.0,,,26.0,13.5,11.7,2,1,0,1,0,,258,,,0.0,yearbook-1987-summary
1987,1490,BETHUNE R-5,KIT CARSON,district,11.6,,,13.6,4.7,8.7,2,1,0,1,0,,101,,,0.0,yearbook-1987-summary
1987,1500,BURLINGTON RE-6J,KIT CARSON,district,60.9,,,69.2,26.8,13.9,3,1,1,1,0,,847,,,2.2,yearbook-1987-summary
1987,1510,LAKE COUNTY R-1,LAKE,district,73.1,,,85.8,49.7,15.3,3,2,0,1,0,,1117,,,6.7,yearbook-1987-summary
1987,1520,DURANGO 9-R,LA PLATA,district,207.4,,,241.9,144.8,18.2,10,7,2,1,0,,3776,,,4.8,yearbook-1987-summary
1987,1530,BAYFIELD 10 JT-R,LA PLATA,district,42.3,,,50.3,25.8,17.4,3,1,1,1,0,,738,,,1.9,yearbook-1987-summary
1987,1540,IGNACIO 11 JT,LA PLATA,district,62.0,,,70.0,53.5,14.6,4,1,1,1,1,,906,,,3.4,yearbook-1987-summary
1987,1550,POUDRE R-1,LARIMER,district,852.8,,,1050.0,572.0,20.4,38,26,6,3,3,,17427,,,,yearbook-1987-summary
1987,1560,THOMPSON R-2J,LARIMER,district,636.9,,,743.4,408.8,18.1,25,17,4,3,1,,11525,,,,yearbook-1987-summary
1987,1580,TRINIDAD 1,LAS ANIMAS,district,93.4,,,108.4,49.6,18.1,5,3,1,1,0,,1686,,,,yearbook-1987-summary
1987,1590,PRIMERO REORGANIZED 2,LAS ANIMAS,district,15.5,,,16.5,11.2,11.8,2,1,0,1,0,,183,,,,yearbook-1987-summary
1987,1600,HOEHNE REORGANIZED 3,LAS ANIMAS,district,19.9,,,23.9,13.0,15.2,3,1,1,1,0,,302,,,,yearbook-1987-summary
1987,1620,AGUILAR REORGANIZED 6,LAS ANIMAS,district,18.0,,,20.0,11.5,10.1,2,1,0,1,0,,182,,,,yearbook-1987-summary
1987,1750,BRANSON REORGANIZED 82,LAS ANIMAS,district,8.0,,,9.0,4.9,7.4,2,1,0,1,0,,59,,,,yearbook-1987-summary
