ncessch,school_codes,names,district_codes,first_year,last_year,closure_label,closure_confidence,closure_evidence,latitude,longitude
080441001696,2850,UNC LABORARY CHARTER SCHOOL;EXTERNAL CHARTER SCHOOL (UNC L;EXTERNAL CHARTER SCHOOL (U N C;EXTERNAL CHARTER SCHOOL (U N C LAB);UNIVERSITY SCHOOLS;University Schools,3120,1999,2024,still_open,high,reported in 2024,40.4115,-104.7881
080441001761,1485,CEP - YOUTH PASSAGES;COLLABORATIVE EDUCATION PROGRAM-YOUTH PASSAGES,,2000,2003,closed,high,CCD school_status=2,40.419693,-104.693065
080441001788,6364,NORTHRIDGE HIGH SCHOOL;Northridge High School,3120,2000,2024,still_open,high,reported in 2024,40.4335,-104.7908
080441001988,0052,ANN K HEIMAN ELEMENTARY SCHOOL;HEIMAN ELEMENTARY SCHOOL;Heiman Elementary School,3120,2003,2024,still_open,high,reported in 2024,40.3818,-104.7479
080441001989,0053,HAROLD S WINOGRAD ELEMENTARY SCHOOL;WINOGRAD K-8 ELEMENTARY SCHOOL;Winograd K-8 Elementary School,3120,2003,2024,still_open,high,reported in 2024,40.4362,-104.7909
080441001990,0054,BELLA ROMERO ELEMEMTARY SCHOOL;BELLA ROMERO ELEMENTARY SCHOOL;ROMERO ELEMENTARY SCHOOL;BELLA ROMERO ACADEMY OF APPLIED TECHNOLOGY;Bella Romero Academy of Applied Technology,3120,2003,2024,still_open,high,reported in 2024,40.405472,-104.656549
080441006355,9809,"PLATTE VALLEY YOUTH SERVICES CENTER, GREELEY 6;PLATTE VALLEY YOUTH SERVICES CENTER;Platte Valley Youth Services Center",,2004,2024,still_open,high,reported in 2024,40.4511,-104.7136
080441006461,4425,JEFFERSON HIGH SCHOOL;JEFFERSON JUNIOR/SENIOR HIGH;Jefferson Junior/Senior High,3120,2010,2024,still_open,high,reported in 2024,40.417584,-104.684319
080441006469,5620,MAPLEWOOD ELEMENTARY SCHOOL;Maplewood Elementary School,3120,2010,2024,still_open,high,reported in 2024,40.419818,-104.711937
080441006504,9611,WEST RIDGE ACADEMY;West Ridge Academy,3120,2011,2024,still_open,high,reported in 2024,40.424381,-104.790529
080441006505,2825,ENG@GE ONLINE ACADEMY;ENGAGE ONLINE ACADEMY,3120,2011,2017,closed,high,CCD school_status=2,40.41645,-104.699171
080441006506,1799,CAMERON SCHOOL,3120,2011,2014,closed,high,CCD school_status=2,40.416451,-104.699173
080441006552,8975,UNION COLONY ELEMENTARY SCHOOL;Union Colony Elementary School,3120,2012,2024,still_open,high,reported in 2024,40.389721,-104.696101
080441006638,8467,SALIDA DEL SOL ACADEMY;Salida del Sol Academy,3120,2014,2024,still_open,high,reported in 2024,40.395926,-104.676906
080441006657,2657,EARLY COLLEGE ACADEMY;Early College Academy,3120,2015,2024,still_open,high,reported in 2024,40.419342,-104.772268
080441006719,3173,FRED TJARDES SCHOOL OF INNOVATION;Fred Tjardes School of Innovation,3120,2017,2024,still_open,high,reported in 2024,40.41622,-104.699397
080441006741,2703,ECC AIMS DISTRICT 6 PRESCHOOL;ECC Aims District 6 Preschool,3120,2018,2023,closed,high,CCD school_status=2,40.408062,-104.769091
080441006837,7491,District 6 Online Academy,3120,2021,2024,still_open,high,reported in 2024,40.420823,-104.694847
080441006859,6248,Tointon Academy of Pre-Engineering,3120,2022,2024,still_open,high,reported in 2024,40.425341,-104.795938
080444000652,3672,GROVER ELEM SCHOOL;PAWNEE ELEM SCHOOL;PAWNEE ELEMENTARY SCHOOL,3148,1986,2014,closed,high,CCD school_status=2,40.867802,-104.231644
080444000653,6812,PAWNEE UND. HIGH SCHOOL;PAWNEE JR-SR HIGH SCHOOL;PAWNEE JUNIOR/SENIOR HIGH;PAWNEE JUNIOR-SENIOR HIGH SCHOOL;PAWNEE SCHOOL PK-12;Pawnee School PK-12,3148,1986,2024,still_open,high,reported in 2024,40.8682,-104.2308
080447000136,2008,CRESTED BUTTE MIDDLE SCHOOL,,1992,1997,closed,high,CCD school_status=2,,
080447000654,0880,BLACKSTOCK ELEM SCHOOL;BLACKSTOCK ELEMENTARY SCHOOL,,1986,1997,closed,high,CCD school_status=2,,
080447000655,2006,CRESTED BUTTE ELEM SCHOOL;CRESTED BUTTE COMMUNITY SCHOOL;CRESTED BUTTE SECONDARY SCHOOL;Crested Butte Secondary School,1360,1986,2024,still_open,high,reported in 2024,38.865104,-106.975755
080447000656,3694,GUNNISON HIGH SCHOOL;Gunnison High School,1360,1986,2024,still_open,high,reported in 2024,38.548521,-106.937479
080447000657,4894,LAKE ELEM SCHOOL;LAKE ELEMENTARY SCHOOL,,1986,1997,closed,high,CCD school_status=2,,
080447000658,6501,OLEARY ELEM SCHOOL;OLEARY ELEMENTARY SCHOOL,,1986,1997,closed,high,CCD school_status=2,,
080447000659,7516,RULAND JR HIGH SCHOOL;RULAND MIDDLE SCHOOL,,1986,1997,closed,high,CCD school_status=2,,
080447001507,5577,MARBLE CHARTER SCHOOL;Marble Charter School,1360,1995,2024,still_open,high,reported in 2024,39.07168,-107.19297
080447001599,3690,GUNNISON ELEMENTARY SCHOOL,,1997,2000,closed,high,CCD school_status=2,,
080447001600,3697,GUNNISON MIDDLE SCHOOL;GUNNISON COMMUNITY SCHOOL;Gunnison Middle School,1360,1997,2024,still_open,high,reported in 2024,38.55369,-106.937459
080447001601,3701,GUNNISON VALLEY SCHOOL,1360,1997,2011,closed,high,CCD school_status=2,38.548218,-106.939372
080447001689,3702,GUNNISON PRESCHOOL;LAKE SCHOOL;LAKE PRESCHOOL;Lake Preschool,1360,1999,2024,still_open,high,reported in 2024,38.552869,-106.932861
