year,county_name,district_code,district_name,school_code,school_name,grade,enrollment,source
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,12,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,2,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,3,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,4,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,5,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,6,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,7,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,8,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,9,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,K,11,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,PK,96,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,1,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,10,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,11,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,12,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,2,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,3,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,4,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,5,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,6,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,7,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,8,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,9,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,K,19,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P039,NORTHSIDE CHRISTIAN DAYCARE,PK,48,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,1,7,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,10,6,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,11,8,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,12,8,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,2,12,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,3,15,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,4,8,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,5,14,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,6,11,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,7,11,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,8,10,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,9,9,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,K,12,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P128,CORNERSTONE CHRISTIAN ACADEMY,PK,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,1,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,10,10,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,11,6,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,12,12,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,2,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,3,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,4,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,5,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,6,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,7,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,8,0,nonpublic-2003-ed59017200346internet.xls
