year,ncessch,school_code,district_code,school_name,district_name,enrollment_total_cde,enrollment_total_ccd,teacher_fte_cde,teacher_fte_ccd,enrollment_reported_in_fte_file,latitude,longitude,is_charter,status
1986,080309000831,0608,,BATTLE ROCK ELEM SCHOOL,MONTEZUMA-CORTEZ SCH DIST RE-1,,20,,1.0,,,,,1
1986,080399000519,0612,,BAUDER ELEM SCHOOL,POUDRE SCH DIST R-1,,599,,24.0,,40.5669,-105.1216,,1
1986,080615001070,0618,,BAXTER ELEM SCHOOL,PUEBLO CO RURAL SCH DIST 70,,226,,10.0,,,,,1
1986,080240000088,0632,,BAYFIELD ELEM SCHOOL,BAYFIELD SCH DIST 10JT-R,,372,,15.0,,37.238,-107.59047,,1
1986,080240000089,0636,,BAYFIELD MIDDLE SCHOOL,BAYFIELD SCH DIST 10JT-R,,154,,9.0,,37.2407,-107.5926,,1
1986,080240000090,0640,,BAYFIELD HIGH SCHOOL,BAYFIELD SCH DIST 10JT-R,,190,,12.0,,37.2417,-107.6001,,1
1986,080336000313,0650,,BEACH COURT ELEM SCHOOL,DENVER SCH DIST 1,,312,,16.0,,39.7863,-105.0178,,1
1986,080249000099,0652,,BEAR CREEK ELEM SCHOOL,BOULDER VALLEY SCH DIST RE-2J,,352,,16.0,,39.9804,-105.2632,,1
1986,080480000696,0660,,BEAR CREEK ELEM SCHOOL,JEFFERSON COUNTY SCH DIST R-1,,473,,24.0,,39.6603,-105.1047,,1
1986,080480000697,0664,,BEAR CREEK HIGH SCHOOL,JEFFERSON COUNTY SCH DIST R-1,,2096,,96.0,,39.6584,-105.1101,,1
1986,080399000520,0678,,BEATTIE ELEM SCHOOL,POUDRE SCH DIST R-1,,540,,23.0,,40.547143,-105.085026,,1
1986,080309000832,0680,,BEECH STREET KINDERGARTEN,MONTEZUMA-CORTEZ SCH DIST RE-1,,255,,7.0,,37.35415,-108.5838,,1
1986,080480000698,0694,,BELL JR. HIGH SCHOOL,JEFFERSON COUNTY SCH DIST R-1,,796,,35.0,,39.7337,-105.1952,,1
1986,080291000184,0714,,BELLEVIEW ELEM SCHOOL,CHERRY CREEK SCH DIST 5,,304,,16.0,,39.6284,-104.8771,,1
1986,080480000699,0724,,BELMAR ELEM SCHOOL,JEFFERSON COUNTY SCH DIST R-1,,414,,18.0,,39.7012,-105.1014,,1
1986,080612001029,0738,,BELMONT ELEM SCHOOL,PUEBLO CITY SCH DIST 60,,383,,18.0,,38.2988,-104.5902,,1
1986,080531000878,0752,,FRANKLIN ELEM SCHOOL,LITTLETON SCH DIST 6,,522,,25.0,,39.6002,-104.9693,,1
1986,080612001030,0756,,BENJAMIN FRANKLIN ELEM SCHOOL,PUEBLO CITY SCH DIST 60,,415,,19.0,,38.2905,-104.5873,,1
1986,080399000521,0766,,BENNETT ELEM SCHOOL,POUDRE SCH DIST R-1,,532,,25.0,,40.5689,-105.0977,,1
1986,080243000091,0770,,BENNETT ELEM SCHOOL,BENNETT SCH DIST 29J,,374,,24.0,,39.759097,-104.422577,,1
1986,080243000093,0774,,BENNETT MIDDLE SCHOOL,BENNETT SCH DIST 29J,,173,,14.0,,39.759085,-104.424565,,1
