year,school_year,district_code,district_name,county_name,unit_type,fall_membership,membership_definition,fall_membership_k12,closing_day_membership,average_daily_membership,adae,source
1977,1977-78,1120,EDISON 54 JT,El Paso,district,29.0,printed_total,,26.0,29.0,28.6,yearbook-1986-table4
1977,1977-78,,EGNAR 18,San Miguel,district,56.0,printed_total,,62.0,62.5,62.4,yearbook-1986-table4
1977,1977-78,0950,ELBERT 200,Elbert,district,156.0,printed_total,,155.0,153.0,146.9,yearbook-1986-table4
1977,1977-78,0920,ELIZABETH C-1,Elbert,district,728.0,printed_total,,731.0,697.4,669.5,yearbook-1986-table4
1977,1977-78,1050,ELLICOTT 22,El Paso,district,371.0,printed_total,,372.0,361.3,348.8,yearbook-1986-table4
1977,1977-78,0120,ENGLEWOOD 1,Arapahoe,district,4246.0,printed_total,,4043.0,4182.7,4003.0,yearbook-1986-table4
1977,1977-78,1110,FALCON 49,El Paso,district,1136.0,printed_total,,1160.0,1097.4,1057.2,yearbook-1986-table4
1977,1977-78,1150,FLORENCE RE-2(J),Fremont,district,1621.0,printed_total,,1588.0,1606.4,1540.1,yearbook-1986-table4
1977,1977-78,3140,FORT LUPTON RE-8,Weld,district,1833.0,printed_total,,1843.0,1693.0,1630.7,yearbook-1986-table4
1977,1977-78,2405,FORT MORGAN RE-3,Morgan,district,2925.0,printed_total,,2840.0,2812.4,2599.9,yearbook-1986-table4
1977,1977-78,1000,FOUNTAIN 8,El Paso,district,3475.0,printed_total,,3192.0,3278.5,3147.4,yearbook-1986-table4
1977,1977-78,2540,FOWLER R-4J,Otero,district,561.0,printed_total,,538.0,538.9,519.0,yearbook-1986-table4
1977,1977-78,1850,FRENCHMAN RE-3,Logan,district,249.0,printed_total,,246.0,237.6,230.0,yearbook-1986-table4
1977,1977-78,1220,GARFIELD 16,Garfield,district,165.0,printed_total,,157.0,156.8,150.5,yearbook-1986-table4
1977,1977-78,1195,GARFIELD RE-2,Garfield,district,1563.0,printed_total,,1622.0,1528.0,1466.9,yearbook-1986-table4
1977,1977-78,,GENOA RE 13*,Lincoln,district,80.0,printed_total,,77.0,77.5,75.1,yearbook-1986-table4
1977,1977-78,1780,GENOA-HUGO C113*,Lincoln,district,210.0,printed_total,,222.0,205.8,198.2,yearbook-1986-table4
1977,1977-78,3080,GILCREST RE-1,Weld,district,1768.0,printed_total,,1770.0,1712.7,1640.4,yearbook-1986-table4
1977,1977-78,1330,GILPIN COUNTY RE-1,Gilpin,district,117.0,printed_total,,219.0,214.4,205.8,yearbook-1986-table4
1977,1977-78,2650,GRANADA RE-1,Prowers,district,397.0,printed_total,,355.0,378.2,363.1,yearbook-1986-table4
1977,1977-78,3120,GREELEY 6,Weld,district,10353.0,printed_total,,10083.0,9881.4,9486.1,yearbook-1986-table4
1977,1977-78,1360,GUNNISON WATERSHED RE1J,Gunnison,district,1395.0,printed_total,,1378.0,1345.8,1292.0,yearbook-1986-table4
1977,1977-78,1070,HANOVER 28,El Paso,district,55.0,printed_total,,64.0,60.5,58.1,yearbook-1986-table4
1977,1977-78,0980,HARRISON 2,El Paso,district,6954.0,printed_total,,6719.0,6707.2,6438.9,yearbook-1986-table4
1977,1977-78,2630,HAXTUN RE-2J,Phillips,district,366.0,printed_total,,365.0,357.1,346.4,yearbook-1986-table4
1977,1977-78,2760,HAYDEN RE-1,Routt,district,508.0,printed_total,,520.0,482.2,462.9,yearbook-1986-table4
1977,1977-78,1460,HI-PLAINS R-23**,Kit Carson,district,73.0,printed_total,,79.0,96.5,93.6,yearbook-1986-table4
1977,1977-78,1380,HINSDALE COUNTY RE. 1,Hinsdale,district,49.0,printed_total,,47.0,73.0,72.7,yearbook-1986-table4
1977,1977-78,1600,HOEHNE REORGANIZED 3,Las Animas,district,342.0,printed_total,,347.0,341.3,332.4,yearbook-1986-table4
1977,1977-78,2670,HOLLY RE-3,Prowers,district,492.0,printed_total,,468.0,477.9,444.9,yearbook-1986-table4
1977,1977-78,2620,HOLYOKE RE-1J,Phillips,district,625.0,printed_total,,617.0,606.0,581.0,yearbook-1986-table4
1977,1977-78,1390,HUERFANO RE-1,Huerfano,district,1113.0,printed_total,,1032.0,1094.6,1041.8,yearbook-1986-table4
1977,1977-78,1540,IGNACIO 11 JT,La Plata,district,977.0,printed_total,,941.0,1011.9,953.3,yearbook-1986-table4
1977,1977-78,1420,JEFFERSON COUNTY R-1,Jefferson,district,81659.0,printed_total,,81266.0,79210.6,75918.6,yearbook-1986-table4
1977,1977-78,3110,JOHNSTOWN-MILLIKEN RE-5J,Weld,district,1121.0,printed_total,,1168.0,1125.3,1080.3,yearbook-1986-table4
1977,1977-78,2862,JULESBURG RE-1,Sedgwick,district,433.0,printed_total,,407.0,418.8,404.3,yearbook-1986-table4
1977,1977-78,1810,KARVAL RE-23,Lincoln,district,89.0,printed_total,,96.0,90.7,89.1,yearbook-1986-table4
1977,1977-78,3090,KEENESBURG RE-3(J),Weld,district,1470.0,printed_total,,1391.0,1423.7,1356.1,yearbook-1986-table4
1977,1977-78,1760,KIM REORGANIZED 88,Las Animas,district,119.0,printed_total,,125.0,119.0,118.4,yearbook-1986-table4
1977,1977-78,0930,KIOWA C-2,Elbert,district,170.0,printed_total,,168.0,166.2,159.6,yearbook-1986-table4
1977,1977-78,0510,KIT CARSON R-1,Cheyenne,district,124.0,printed_total,,127.0,119.5,117.0,yearbook-1986-table4
1977,1977-78,1400,LA VETA RE-2,Huerfano,district,200.0,printed_total,,186.0,190.5,184.3,yearbook-1986-table4
1977,1977-78,1510,LAKE COUNTY R-1,Lake,district,2089.0,printed_total,,2027.0,2020.6,1939.8,yearbook-1986-table4
1977,1977-78,2660,LAMAR RE-2,Prowers,district,2254.0,printed_total,,2175.0,2207.9,2119.6,yearbook-1986-table4
1977,1977-78,0290,LAS ANIMAS RE-1,Bent,district,1027.0,printed_total,,960.0,1019.9,979.1,yearbook-1986-table4
1977,1977-78,1080,LEWIS-PALMER 38,El Paso,district,1133.0,printed_total,,1157.0,1117.5,1068.4,yearbook-1986-table4
1977,1977-78,1790,LIMON RE-4J,Lincoln,district,530.0,printed_total,,508.0,509.3,488.9,yearbook-1986-table4
1977,1977-78,0140,LITTLETON 6,Arapahoe,district,17751.0,printed_total,,17488.0,17258.3,16645.0,yearbook-1986-table4
1977,1977-78,3060,LONE STAR 101,Washington,district,54.0,printed_total,,55.0,53.1,51.0,yearbook-1986-table4
1977,1977-78,2070,MANCOS RE-6,Montezuma,district,461.0,printed_total,,425.0,444.3,427.6,yearbook-1986-table4
1977,1977-78,1030,MANITOU SPRINGS 14,El Paso,district,1161.0,printed_total,,1151.0,1121.3,1076.4,yearbook-1986-table4
1977,1977-78,2535,MANZANOLA 3J,Otero,district,323.0,printed_total,,258.0,304.2,291.6,yearbook-1986-table4
1977,1977-78,0010,MAPLETON 1,Adams,district,5770.0,printed_total,,5548.0,5540.9,5364.2,yearbook-1986-table4
1977,1977-78,0310,MC CLAVE RE-2,Bent,district,222.0,printed_total,,216.0,212.4,204.0,yearbook-1986-table4
1977,1977-78,2710,MEEKER RE1,Rio Blanco,district,727.0,printed_total,,771.0,718.5,689.8,yearbook-1986-table4
1977,1977-78,2000,MESA COUNTY VALLEY 51,Mesa,district,14165.0,printed_total,,13994.0,13642.1,13096.4,yearbook-1986-table4
1977,1977-78,1130,MIAMI/YODER 60 JT,El Paso,district,138.0,printed_total,,148.0,137.2,134.1,yearbook-1986-table4
1977,1977-78,2800,MOFFAT 2,Saguache,district,80.0,printed_total,,82.0,76.1,73.1,yearbook-1986-table4
1977,1977-78,2020,MOFFAT COUNTY RE: NO 1,Moffat,district,2464.0,printed_total,,2476.0,2449.5,2351.5,yearbook-1986-table4
1977,1977-78,2740,MONTE VISTA C-8,Rio Grande,district,1581.0,printed_total,,1483.0,1489.9,1431.3,yearbook-1986-table4
1977,1977-78,2035,MONTEZUMA-CORTEZ RE-1,Montezuma,district,2927.0,printed_total,,2816.0,2870.6,2746.1,yearbook-1986-table4
1977,1977-78,2180,MONTROSE COUNTY RE-1J,Montrose,district,4480.0,printed_total,,4300.0,4374.3,4172.2,yearbook-1986-table4
1977,1977-78,2790,MOUNTAIN VALLEY RE 1,Saguache,district,282.0,printed_total,,261.0,275.0,256.7,yearbook-1986-table4
1977,1977-78,0550,NORTH CONEJOS RE-1J,Conejos,district,1256.0,printed_total,,1223.0,1233.4,1176.2,yearbook-1986-table4
