year,district_code,district_name,county,countyfips,unit_type,teacher_fte,teacher_fte_basis,teacher_fte_published,teacher_fte_school_sum,schools,schools_basis,schools_published,schools_open,enrollment,enrollment_panel,enrollment_ccd,pop_5_17,pop_0_4,datatype
1992,1990,PLATEAU VALLEY 50,Mesa,077,district,30.5,published,30.5,,4.0,school_panel,4.0,4.0,549.0,,549.0,19019.0,6814.0,Estimate
1993,1990,PLATEAU VALLEY 50,Mesa,077,district,31.0,published,31.0,,4.0,school_panel,4.0,4.0,526.0,,526.0,19404.0,6893.0,Estimate
1994,1990,PLATEAU VALLEY 50,Mesa,077,district,36.0,published,36.0,,4.0,school_panel,4.0,4.0,565.0,,565.0,19857.0,6990.0,Estimate
1995,1990,PLATEAU VALLEY 50,Mesa,077,district,39.0,published,39.0,,4.0,school_panel,4.0,4.0,582.0,,582.0,20266.0,7072.0,Estimate
1996,1990,PLATEAU VALLEY 50,Mesa,077,district,42.3,published,42.3,,4.0,school_panel,4.0,4.0,565.0,,565.0,20564.0,7112.0,Estimate
1997,1990,PLATEAU VALLEY 50,Mesa,077,district,44.3,published,44.3,,4.0,school_panel,4.0,4.0,578.0,,578.0,20885.0,7154.0,Estimate
1998,1990,PLATEAU VALLEY 50,Mesa,077,district,40.2,published,40.2,,4.0,school_panel,4.0,4.0,557.0,,557.0,21257.0,7211.0,Estimate
1999,1990,PLATEAU VALLEY 50,Mesa,077,district,,,,,4.0,school_panel,4.0,4.0,540.0,,540.0,21568.0,7247.0,Estimate
2000,1990,PLATEAU VALLEY 50,Mesa,077,district,40.1121,school_sum,,40.1121,4.0,school_panel,,4.0,,,546.0,22030.0,7328.0,Estimate
2001,1990,PLATEAU VALLEY 50,Mesa,077,district,40.1329,school_sum,,40.1329,4.0,school_panel,,4.0,363.0,363.0,526.0,22175.0,7352.0,Estimate
2002,1990,PLATEAU VALLEY 50,Mesa,077,district,39.6477,school_sum,,39.6477,4.0,school_panel,,4.0,318.0,318.0,470.0,22056.0,7501.0,Estimate
2003,1990,PLATEAU VALLEY 50,Mesa,077,district,37.5592,school_sum,,37.5592,4.0,school_panel,,4.0,497.0,497.0,497.0,22135.0,7689.0,Estimate
2004,1990,PLATEAU VALLEY 50,Mesa,077,district,37.5592,school_sum,,37.5592,4.0,school_panel,,4.0,485.0,485.0,485.0,22280.0,7817.0,Estimate
2005,1990,PLATEAU VALLEY 50,Mesa,077,district,35.4343,school_sum,,35.4343,4.0,school_panel,,4.0,470.0,470.0,470.0,22361.0,8050.0,Estimate
2006,1990,PLATEAU VALLEY 50,Mesa,077,district,32.105,school_sum,,32.105,4.0,school_panel,,4.0,485.0,485.0,485.0,22838.0,8466.0,Estimate
2007,1990,PLATEAU VALLEY 50,Mesa,077,district,31.6048,school_sum,,31.6048,4.0,school_panel,,4.0,479.0,479.0,479.0,23427.0,8915.0,Estimate
2008,1990,PLATEAU VALLEY 50,Mesa,077,district,35.1748,school_sum,,35.1748,4.0,school_panel,,4.0,510.0,510.0,510.0,23749.0,9308.0,Estimate
2009,1990,PLATEAU VALLEY 50,Mesa,077,district,35.4763,school_sum,,35.4763,4.0,school_panel,,4.0,489.0,489.0,489.0,24238.0,9730.0,Estimate
2010,1990,PLATEAU VALLEY 50,Mesa,077,district,34.299,published,34.299,34.3,4.0,school_panel,,4.0,471.0,471.0,471.0,24600.0,9951.0,Estimate
2011,1990,PLATEAU VALLEY 50,Mesa,077,district,32.13,school_sum,,32.13,4.0,school_panel,,4.0,489.0,489.0,489.0,24544.0,9895.0,Estimate
2012,1990,PLATEAU VALLEY 50,Mesa,077,district,32.48,school_sum,,32.48,4.0,school_panel,,4.0,508.0,508.0,508.0,24484.0,9613.0,Estimate
