level,school_year,school,attending_neighborhood_school,oe_in_from_district,oe_in_from_outside,placements_into_school,unmatched_addresses,total_within_bvsd,total_enrollment,pct_from_neighborhood_area,year,from_areas,rebuilt,gap
elementary,2018-2019,Crest View,504.0,49.0,8.0,5.0,0.0,558.0,566.0,,2019,553.0,566.0,0.0
elementary,2018-2019,Creekside *,220.0,57.0,7.0,8.0,1.0,286.0,293.0,,2019,277.0,293.0,0.0
elementary,2018-2019,Columbine,377.0,61.0,4.0,14.0,0.0,452.0,456.0,,2019,438.0,456.0,0.0
elementary,2018-2019,Bear Creek *,386.0,30.0,0.0,9.0,0.0,425.0,425.0,,2019,416.0,425.0,0.0
elementary,2019-2020,Peak to Peak,,359.0,94.0,0.0,0.0,359.0,453.0,,2020,359.0,453.0,0.0
elementary,2019-2020,Horizons,,225.0,5.0,0.0,0.0,225.0,230.0,,2020,225.0,230.0,0.0
elementary,2019-2020,Pioneer,,370.0,64.0,0.0,0.0,370.0,434.0,,2020,370.0,434.0,0.0
elementary,2019-2020,Uni-Hill Int.,,390.0,26.0,0.0,0.0,390.0,416.0,,2020,390.0,416.0,0.0
elementary,2019-2020,Comm. Montessori,,225.0,27.0,0.0,0.0,225.0,252.0,,2020,225.0,252.0,0.0
elementary,2019-2020,High Peaks,,286.0,10.0,0.0,0.0,286.0,296.0,,2020,286.0,296.0,0.0
elementary,2019-2020,Halcyon,,2.0,0.0,1.0,0.0,3.0,3.0,,2020,3.0,4.0,1.0
elementary,2019-2020,Boulder Universal,,2.0,0.0,0.0,0.0,2.0,2.0,,2020,2.0,2.0,0.0
elementary,2019-2020,BCSIS,,304.0,3.0,0.0,0.0,304.0,307.0,,2020,304.0,307.0,0.0
elementary,2019-2020,Nederland Elem.,223.0,1.0,2.0,0.0,0.0,224.0,226.0,,2020,224.0,226.0,0.0
elementary,2019-2020,Jamestown,10.0,10.0,0.0,0.0,0.0,20.0,20.0,,2020,20.0,20.0,0.0
elementary,2019-2020,Gold Hill,5.0,16.0,0.0,0.0,0.0,21.0,21.0,,2020,21.0,21.0,0.0
