year,ncessch,school_code,district_code,school_name,district_name,enrollment_total_cde,enrollment_total_ccd,teacher_fte_cde,teacher_fte_ccd,enrollment_reported_in_fte_file,latitude,longitude,is_charter,status,district_by_name,district,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,grade_span,level
2024,080249006199,6642,0480,Horizons K-8 School,Boulder Valley Re 2,358.0,358.0,25.4,25.0,358.0,39.9935,-105.2373,1.0,1.0,0480,0480,0.0,28.0,39.0,42.0,43.0,43.0,43.0,40.0,43.0,37.0,0.0,0.0,0.0,0.0,K-8,elementary_or_middle
2024,080249001792,6816,0480,Peak to Peak Charter School,Boulder Valley Re 2,1447.0,1447.0,81.8,81.0,1447.0,39.9915,-105.0782,1.0,1.0,0480,0480,0.0,70.0,70.0,72.0,77.0,78.0,78.0,135.0,134.0,134.0,149.0,146.0,159.0,145.0,K-12,has_high_grades
2024,080249006200,6962,0480,Pioneer Bilingual Elementary School,Boulder Valley Re 2,439.0,439.0,27.2,27.0,439.0,40.000636,-105.089198,0.0,1.0,0480,0480,42.0,63.0,69.0,68.0,66.0,69.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PK-5,elementary_or_middle
2024,080249001365,7528,0480,Ryan Elementary School,Boulder Valley Re 2,436.0,436.0,25.7,25.0,436.0,39.9809,-105.1102,0.0,1.0,0480,0480,25.0,54.0,73.0,74.0,86.0,59.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PK-5,elementary_or_middle
2024,080249001403,7592,0480,Alicia Sanchez International School,Boulder Valley Re 2,321.0,321.0,25.4,25.0,321.0,39.9893,-105.0841,0.0,1.0,0480,0480,31.0,48.0,42.0,50.0,48.0,50.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PK-5,elementary_or_middle
2024,080249000134,8135,0480,Southern Hills Middle School,Boulder Valley Re 2,502.0,502.0,26.0,26.0,502.0,39.9747,-105.2448,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,185.0,149.0,0.0,0.0,0.0,0.0,6-8,other
2024,080249001517,8387,0480,Summit Middle Charter School,Boulder Valley Re 2,366.0,366.0,21.7,21.0,366.0,39.9831,-105.2407,1.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,123.0,120.0,0.0,0.0,0.0,0.0,6-8,other
2024,080249001518,8418,0480,Superior Elementary School,Boulder Valley Re 2,418.0,418.0,22.2,22.0,418.0,39.9378,-105.1564,0.0,1.0,0480,0480,0.0,55.0,76.0,66.0,71.0,82.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K-5,elementary_or_middle
2024,080249000135,8978,0480,University Hill Elementary School,Boulder Valley Re 2,405.0,405.0,25.8,25.0,405.0,40.0051,-105.2718,0.0,1.0,0480,0480,25.0,58.0,52.0,73.0,64.0,68.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PK-5,elementary_or_middle
2024,080249000139,9544,0480,Whittier Elementary School,Boulder Valley Re 2,269.0,269.0,20.4,20.0,269.0,40.0217,-105.2695,0.0,1.0,0480,0480,0.0,46.0,42.0,42.0,39.0,46.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K-5,elementary_or_middle
