level,school,attendance_area,students
middle,Horizons,Louisville Middle,5.0
middle,Horizons,Monarch K-8,7.0
middle,Horizons,Eldorado K-8,1.0
middle,Horizons,Nederland,3.0
middle,Halcyon,Manhattan,1.0
middle,Halcyon,Centennial,1.0
middle,Halcyon,Angevine,1.0
middle,Halcyon,Nederland,1.0
middle,Boulder Universal,Casey,3.0
middle,Boulder Universal,Centennial,4.0
middle,Boulder Universal,Platt,1.0
middle,Boulder Universal,Broomfield Heights,1.0
middle,Boulder Universal,Angevine,3.0
middle,Boulder Universal,Meadowlark,2.0
middle,Boulder Universal,Louisville Middle,2.0
middle,Boulder Universal,Eldorado K-8,2.0
middle,Boulder Universal,Nederland,1.0
middle,Nederland,Nederland,86.0
middle,Eldorado K-8,Aspen Creek K-8,2.0
middle,Eldorado K-8,Broomfield Heights,8.0
middle,Eldorado K-8,Angevine,1.0
middle,Eldorado K-8,Meadowlark,1.0
middle,Eldorado K-8,Louisville Middle,1.0
middle,Eldorado K-8,Monarch K-8,4.0
middle,Eldorado K-8,Eldorado K-8,136.0
middle,Monarch K-8,Manhattan,1.0
middle,Monarch K-8,Casey,1.0
middle,Monarch K-8,Centennial,1.0
middle,Monarch K-8,Platt,1.0
middle,Monarch K-8,Aspen Creek K-8,7.0
middle,Monarch K-8,Broomfield Heights,7.0
middle,Monarch K-8,Angevine,29.0
middle,Monarch K-8,Meadowlark,2.0
middle,Monarch K-8,Louisville Middle,6.0
middle,Monarch K-8,Monarch K-8,169.0
middle,Monarch K-8,Eldorado K-8,151.0
middle,Louisville Middle,Manhattan,2.0
middle,Louisville Middle,Casey,1.0
middle,Louisville Middle,Centennial,2.0
middle,Louisville Middle,Platt,19.0
middle,Louisville Middle,Southern Hills,1.0
middle,Louisville Middle,Aspen Creek K-8,1.0
middle,Louisville Middle,Broomfield Heights,1.0
middle,Louisville Middle,Angevine,88.0
middle,Louisville Middle,Meadowlark,10.0
middle,Louisville Middle,Louisville Middle,399.0
middle,Louisville Middle,Monarch K-8,72.0
middle,Louisville Middle,Eldorado K-8,11.0
middle,Meadowlark,Platt,1.0
middle,Meadowlark,Angevine,16.0
middle,Meadowlark,Meadowlark,208.0
middle,Angevine,Manhattan,2.0
middle,Angevine,Casey,2.0
middle,Angevine,Platt,1.0
middle,Angevine,Aspen Creek K-8,1.0
middle,Angevine,Broomfield Heights,1.0
middle,Angevine,Angevine,551.0
middle,Angevine,Meadowlark,7.0
middle,Angevine,Louisville Middle,4.0
middle,Broomfield Heights,Aspen Creek K-8,62.0
middle,Broomfield Heights,Broomfield Heights,250.0
middle,Broomfield Heights,Angevine,5.0
middle,Broomfield Heights,Meadowlark,1.0
middle,Broomfield Heights,Monarch K-8,1.0
middle,Aspen Creek K-8,Centennial,1.0
middle,Aspen Creek K-8,Aspen Creek K-8,235.0
middle,Aspen Creek K-8,Broomfield Heights,30.0
middle,Aspen Creek K-8,Angevine,4.0
middle,Southern Hills,Manhattan,110.0
middle,Southern Hills,Casey,17.0
middle,Southern Hills,Centennial,25.0
middle,Southern Hills,Platt,19.0
middle,Southern Hills,Southern Hills,317.0
middle,Southern Hills,Aspen Creek K-8,1.0
middle,Southern Hills,Broomfield Heights,2.0
middle,Southern Hills,Angevine,11.0
middle,Southern Hills,Louisville Middle,9.0
middle,Southern Hills,Monarch K-8,9.0
middle,Southern Hills,Eldorado K-8,15.0
middle,Southern Hills,Nederland,1.0
middle,Platt,Manhattan,64.0
middle,Platt,Casey,17.0
