ncessch,school_codes,names,district_codes,first_year,last_year,closure_label,closure_confidence,closure_evidence,latitude_x,longitude_x,last_district,last_name,last_enrollment,latitude_y,longitude_y
080336006457,9336,WEST DENVER PREP - HIGHLAND CAMPUS;STRIVE PREP - HIGHLAND;STRIVE PREP - SUNNYSIDE;STRIVE Prep - Sunnyside;Rocky Mountain Prep Sunnyside,0880,2010,2024,still_open,high,reported in 2024,39.782013,-105.006806,0880,Rocky Mountain Prep Sunnyside,154.0,39.782013,-105.006806
080336006473,3639,GIRLS ATHLETIC LEADERSHIP SCHOOL;GIRLS ATHLETIC LEADERSHIP SCHOOL MIDDLE SCHOOL;Girls Athletic Leadership School Middle School,0880,2010,2024,still_open,high,reported in 2024,39.72806,-104.995791,0880,Girls Athletic Leadership School Middle School,223.0,39.72806,-104.995791
080336006477,3655,GREENLEE ELEMENTARY SCHOOL;CENTER FOR TALENT DEVELOPMENT AT GREENLEE;Center for Talent Development at Greenlee,0880,2010,2024,still_open,high,reported in 2024,39.7347,-105.0012,0880,Center for Talent Development at Greenlee,244.0,39.7347,-105.0012
080336006479,9390,WEST DENVER PREP - LAKE CAMPUS;STRIVE PREP - LAKE;STRIVE Prep - Lake,0880,2010,2023,closed,high,CCD school_status=2,39.746,-105.0342,0880,STRIVE Prep - Lake,187.0,39.746,-105.0342
080336006482,2127,DENVER LANGUAGE SCHOOL;Denver Language School,0880,2010,2024,still_open,high,reported in 2024,39.7228,-104.9101,0880,Denver Language School,930.0,39.7228,-104.9101
080336006486,8053,SOAR;SOAR AT GREEN VALLEY RANCH;SOAR at Green Valley Ranch,0880,2010,2024,still_open,high,reported in 2024,39.785129,-104.778432,0880,SOAR at Green Valley Ranch,484.0,39.785129,-104.778432
080336006490,5255,LAKE INTERNATIONAL SCHOOL;LAKE MIDDLE SCHOOL;Lake Middle School,0880,2010,2024,still_open,high,reported in 2024,39.7456,-105.0345,0880,Lake Middle School,592.0,39.7456,-105.0345
080336006491,8145,SUMMIT ACADEMY;Summit Academy,0880,2010,2024,still_open,high,reported in 2024,39.67889,-105.056551,0880,Summit Academy,236.0,39.67889,-105.056551
080336006514,8995,VISTA ACADEMY;Vista Academy,0880,2011,2024,still_open,high,reported in 2024,39.7857,-104.779911,0880,Vista Academy,291.0,39.7857,-104.779911
080336006515,1295,COLLEGIATE PREPARATORY ACADEMY;Collegiate Preparatory Academy,0880,2011,2022,closed,high,CCD school_status=2,39.788827,-104.800358,0880,Collegiate Preparatory Academy,287.0,39.788827,-104.800358
080336006516,2188,DENVER CENTER FOR 21ST LEARNING AT WYMAN;DENVER CENTER FOR 21ST-CENTURY LEARNING AT WYMAN;Denver Center for 21st-Century Learning at Wyman,0880,2011,2024,still_open,high,reported in 2024,39.7429,-104.9653,0880,Denver Center for 21st-Century Learning at Wyman,150.0,39.7429,-104.9653
080336006517,8945,UNIVERSITY PREP;UNIVERSITY PREPARATORY SCHOOL;UNIVERSITY PREP - ARAPAHOE ST.;University Prep - Arapahoe St.,0880,2011,2024,still_open,high,reported in 2024,39.756047,-104.985617,0880,University Prep - Arapahoe St.,313.0,39.756047,-104.985617
080336006518,8453,SWIGERT-MCAULIFFE INTERNATIONAL ECE-8;SWIGERT INTERNATIONAL SCHOOL;Swigert International School,0880,2011,2024,still_open,high,reported in 2024,39.7648,-104.8982,0880,Swigert International School,673.0,39.7648,-104.8982
080336006519,4507,KIPP MONTBELLO COLLEGE PREP;KIPP NORTHEAST DENVER MIDDLE SCHOOL;KIPP Northeast Denver Middle School,0880,2011,2024,still_open,high,reported in 2024,39.780724,-104.778524,0880,KIPP Northeast Denver Middle School,464.0,39.780724,-104.778524
080336006520,6239,NOEL COMMUNITY ARTS SCHOOL;Noel Community Arts School,0880,2011,2022,closed,high,CCD school_status=2,39.78648,-104.827981,0880,Noel Community Arts School,390.0,39.78648,-104.827981
080336006521,2205,DCIS AT FORD;DCIS at Ford;Barney Ford Elementary School,0880,2011,2024,still_open,high,reported in 2024,39.7927,-104.8159,0880,Barney Ford Elementary School,487.0,39.7927,-104.8159
080336006522,2349,ESCALANTE-BIGGS ACADEMY;Escalante-Biggs Academy,0880,2011,2024,still_open,high,reported in 2024,39.7913,-104.8235,0880,Escalante-Biggs Academy,306.0,39.7913,-104.8235
080336006523,2223,DSST: COLE;DSST: COLE MIDDLE SCHOOL;DSST: Cole Middle School,0880,2011,2024,still_open,high,reported in 2024,39.762606,-104.968967,0880,DSST: Cole Middle School,282.0,39.762606,-104.968967
080336006524,8149,STEPHEN KNIGHT CENTER FOR EARLY EDUCATION;Stephen Knight Center for Early Education,0880,2011,2024,still_open,high,reported in 2024,39.7043,-104.9493,0880,Stephen Knight Center for Early Education,276.0,39.7043,-104.9493
080336006525,8131,SOAR AT OAKLAND;OAKLAND ELEMENTARY;Oakland Elementary,0880,2011,2024,still_open,high,reported in 2024,39.7783,-104.8188,0880,Oakland Elementary,352.0,39.7783,-104.8188
080336006527,2757,HIGH TECH EARLY COLLEGE;Northeast Early College,0880,2011,2024,still_open,high,reported in 2024,39.776116,-104.853395,0880,Northeast Early College,507.0,39.776116,-104.853395
080336006528,2209,DCIS AT MONTBELLO;DCIS at Montbello;Montbello High School,0880,2011,2024,still_open,high,reported in 2024,39.7872,-104.8279,0880,Montbello High School,1112.0,39.7872,-104.8279
080336006537,9735,STRIVE PREP - MONTBELLO;STRIVE Prep - Montbello;STRIVE Prep - Noel;Rocky Mountain Prep Noel,0880,2012,2024,still_open,high,reported in 2024,39.788827,-104.800358,0880,Rocky Mountain Prep Noel,287.0,39.788827,-104.800358
080336006541,7861,SIMS FAYOLA INTERNATIONAL ACADEMY DENVER,0880,2012,2015,closed,high,CCD school_status=2,39.82127,-104.769121,0880,SIMS FAYOLA INTERNATIONAL ACADEMY DENVER,204.0,39.82127,-104.769121
080336006543,9639,STRIVE PREP - SMART ACADEMY;STRIVE Prep - Smart Academy;Rocky Mountain Prep SMART,0880,2012,2024,still_open,high,reported in 2024,39.6955,-105.0279,0880,Rocky Mountain Prep SMART,604.0,39.6955,-105.0279
080336006545,7241,ROCKY MOUNTAIN PREP;ROCKY MOUNTAIN PREP CREEKSIDE;ROCKY MOUNTAIN PREP: CREEKSIDE;Rocky Mountain Prep: Creekside;Rocky Mountain Prep Creekside,0880,2012,2024,still_open,high,reported in 2024,39.678755,-104.897972,0880,Rocky Mountain Prep Creekside,637.0,39.678755,-104.897972
080336006546,2181,DSST: GREEN VALLEY RANCH MIDDLE SCHOOL;DSST: Green Valley Ranch Middle School,0880,2012,2024,still_open,high,reported in 2024,39.784403,-104.780524,0880,DSST: Green Valley Ranch Middle School,482.0,39.784403,-104.780524
080336006547,9702,WEST LEADERSHIP ACADEMY;West Leadership Academy;West Middle School,0880,2012,2024,still_open,high,reported in 2024,39.7313,-104.9948,0880,West Middle School,188.0,39.7313,-104.9948
080336006551,9693,WEST GENERATIONS ACADEMY;WEST EARLY COLLEGE;West Early College;West High School,0880,2012,2024,still_open,high,reported in 2024,39.7311,-104.9947,0880,West High School,519.0,39.7311,-104.9947
080336006553,8817,VENTURE PREP MIDDLE SCHOOL,0880,2012,2015,closed,high,CCD school_status=2,39.75377,-104.921731,0880,VENTURE PREP MIDDLE SCHOOL,36.0,39.75377,-104.921731
080336006554,4381,DSST: COLLEGE VIEW;DSST: COLLEGE VIEW MIDDLE SCHOOL;DSST: College View Middle School,0880,2012,2024,still_open,high,reported in 2024,39.660284,-105.027319,0880,DSST: College View Middle School,446.0,39.660284,-105.027319
080336006555,5621,MONARCH MONTESSORI;Monarch Montessori,0880,2012,2024,still_open,high,reported in 2024,39.785639,-104.847803,0880,Monarch Montessori,282.0,39.785639,-104.847803
080336006556,9730,STRIVE PREP - GVR;STRIVE Prep - Green Valley Ranch;Rocky Mountain Prep Green Valley Ranch,0880,2012,2024,still_open,high,reported in 2024,39.785131,-104.778452,0880,Rocky Mountain Prep Green Valley Ranch,379.0,39.785131,-104.778452
080336006559,3698,CREATIVE CHALLENGE COMMUNITY;CREATIVITY CHALLENGE COMMUNITY;Creativity Challenge Community,0880,2012,2024,still_open,high,reported in 2024,39.6887,-104.9459,0880,Creativity Challenge Community,306.0,39.6887,-104.9459
080336006562,5897,MCAULIFFE INTERNATIONAL SCHOOL;McAuliffe International School,0880,2012,2024,still_open,high,reported in 2024,39.75377,-104.921731,0880,McAuliffe International School,1329.0,39.75377,-104.921731
080336006566,2115,DSST: STAPLETON MIDDLE SCHOOL;DSST: Montview Middle School,0880,2012,2024,still_open,high,reported in 2024,39.7479,-104.8904,0880,DSST: Montview Middle School,463.0,39.7479,-104.8904
080336006568,2167,DENVER PUBLIC MONTESSORI JUNIOR/SENIOR HIGH SCHOOL;DENVER MONTESSORI JUNIOR/SENIOR HIGH SCHOOL;Denver Montessori Junior/Senior High School,0880,2013,2024,still_open,high,reported in 2024,39.77501,-105.009658,0880,Denver Montessori Junior/Senior High School,162.0,39.77501,-105.009658
080336006569,6308,NORTH HIGH SCHOOL ENGAGEMENT CENTER;North High School Engagement Center,0880,2013,2024,still_open,high,reported in 2024,39.760044,-105.022794,0880,North High School Engagement Center,103.0,39.760044,-105.022794
080336006570,4213,ISABELLA BIRD COMMUNITY SCHOOL;Isabella Bird Community School,0880,2013,2024,still_open,high,reported in 2024,39.755392,-104.857408,0880,Isabella Bird Community School,487.0,39.755392,-104.857408
080336006572,2186,DSST: BYERS;DSST: BYERS MIDDLE SCHOOL;DSST: Byers Middle School;DSST: Cedar Middle School,0880,2013,2024,still_open,high,reported in 2024,39.7137,-104.9798,0880,DSST: Cedar Middle School,485.0,39.7137,-104.9798
080336006574,2129,DENVER CENTER FOR INTERNATIONAL STUDIES AT FAIRMONT;Denver Center for International Studies at Fairmont,0880,2013,2024,still_open,high,reported in 2024,39.7201,-104.9947,0880,Denver Center for International Studies at Fairmont,344.0,39.7201,-104.9947
080336006576,8347,STRIVE PREP - EXCEL;STRIVE Prep - Excel,0880,2013,2020,closed,high,CCD school_status=2,39.760194,-105.023771,0880,STRIVE Prep - Excel,266.0,39.760194,-105.023771
080336006582,7192,PASCUAL LEDOUX ACADEMY;Pascual Ledoux Academy,0880,2013,2024,still_open,high,reported in 2024,39.697741,-105.027808,0880,Pascual Ledoux Academy,236.0,39.697741,-105.027808
080336006583,1489,COMPASSION ROAD ACADEMY;Compassion Road Academy,0880,2013,2024,still_open,high,reported in 2024,39.732324,-104.991384,0880,Compassion Road Academy,96.0,39.732324,-104.991384
