id,area_name,area_type,incorporation_year,county_incorporation,population_year,total_population,name_type
1741,Lyons                                                       ,M                                                           ,1891,Boulder                                                     ,1910,632,Lyons_M                                                     
2137,Lyons                                                       ,M                                                           ,1891,Boulder                                                     ,1920,570,Lyons_M                                                     
2533,Lyons                                                       ,M                                                           ,1891,Boulder                                                     ,1930,567,Lyons_M                                                     
2929,Lyons                                                       ,M                                                           ,1891,Boulder                                                     ,1940,654,Lyons_M                                                     
3325,Lyons                                                       ,M                                                           ,1891,Boulder                                                     ,1950,689,Lyons_M                                                     
3721,Lyons                                                       ,M                                                           ,1891,Boulder                                                     ,1960,706,Lyons_M                                                     
4117,Lyons                                                       ,M                                                           ,1891,Boulder                                                     ,1970,958,Lyons_M                                                     
4513,Lyons                                                       ,M                                                           ,1891,Boulder                                                     ,1980,1137,Lyons_M                                                     
4909,Lyons                                                       ,M                                                           ,1891,Boulder                                                     ,1990,1227,Lyons_M                                                     
5305,Lyons                                                       ,M                                                           ,1891,Boulder                                                     ,2000,1585,Lyons_M                                                     
5701,Lyons                                                       ,M                                                           ,1891,Boulder                                                     ,2010,2033,Lyons_M                                                     
337,Malta                                                       ,M                                                           ,1879,Lake                                                        ,1870,0,Malta_M                                                     
733,Malta                                                       ,M                                                           ,1879,Lake                                                        ,1880,220,Malta_M                                                     
1129,Malta                                                       ,M                                                           ,1879,Lake                                                        ,1890,109,Malta_M                                                     
1525,Malta                                                       ,M                                                           ,1879,Lake                                                        ,1900,0,Malta_M                                                     
1921,Malta                                                       ,M                                                           ,1879,Lake                                                        ,1910,0,Malta_M                                                     
2317,Malta                                                       ,M                                                           ,1879,Lake                                                        ,1920,0,Malta_M                                                     
2713,Malta                                                       ,M                                                           ,1879,Lake                                                        ,1930,0,Malta_M                                                     
3109,Malta                                                       ,M                                                           ,1879,Lake                                                        ,1940,0,Malta_M                                                     
3505,Malta                                                       ,M                                                           ,1879,Lake                                                        ,1950,0,Malta_M                                                     
3901,Malta                                                       ,M                                                           ,1879,Lake                                                        ,1960,0,Malta_M                                                     
4297,Malta                                                       ,M                                                           ,1879,Lake                                                        ,1970,0,Malta_M                                                     
4693,Malta                                                       ,M                                                           ,1879,Lake                                                        ,1980,0,Malta_M                                                     
5089,Malta                                                       ,M                                                           ,1879,Lake                                                        ,1990,0,Malta_M                                                     
5485,Malta                                                       ,M                                                           ,1879,Lake                                                        ,2000,0,Malta_M                                                     
5881,Malta                                                       ,M                                                           ,1879,Lake                                                        ,2010,0,Malta_M                                                     
158,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,1870,0,Manassa_M                                                   
554,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,1880,250,Manassa_M                                                   
950,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,1890,642,Manassa_M                                                   
1346,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,1900,739,Manassa_M                                                   
1742,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,1910,788,Manassa_M                                                   
2138,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,1920,906,Manassa_M                                                   
2534,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,1930,953,Manassa_M                                                   
2930,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,1940,1008,Manassa_M                                                   
3326,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,1950,832,Manassa_M                                                   
3722,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,1960,831,Manassa_M                                                   
4118,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,1970,814,Manassa_M                                                   
4514,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,1980,945,Manassa_M                                                   
4910,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,1990,988,Manassa_M                                                   
5306,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,2000,1042,Manassa_M                                                   
5702,Manassa                                                     ,M                                                           ,1889,Conejos                                                     ,2010,991,Manassa_M                                                   
159,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,1870,0,Mancos_M                                                    
555,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,1880,0,Mancos_M                                                    
951,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,1890,0,Mancos_M                                                    
1347,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,1900,383,Mancos_M                                                    
1743,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,1910,567,Mancos_M                                                    
2139,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,1920,682,Mancos_M                                                    
2535,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,1930,646,Mancos_M                                                    
2931,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,1940,748,Mancos_M                                                    
3327,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,1950,785,Mancos_M                                                    
3723,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,1960,832,Mancos_M                                                    
4119,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,1970,709,Mancos_M                                                    
4515,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,1980,870,Mancos_M                                                    
4911,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,1990,842,Mancos_M                                                    
5307,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,2000,1119,Mancos_M                                                    
5703,Mancos                                                      ,M                                                           ,1894,Montezuma                                                   ,2010,1336,Mancos_M                                                    
160,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,1870,0,Manitou Springs_M                                           
556,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,1880,0,Manitou Springs_M                                           
952,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,1890,1439,Manitou Springs_M                                           
1348,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,1900,1303,Manitou Springs_M                                           
1744,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,1910,1357,Manitou Springs_M                                           
2140,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,1920,1129,Manitou Springs_M                                           
2536,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,1930,1205,Manitou Springs_M                                           
2932,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,1940,1462,Manitou Springs_M                                           
3328,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,1950,2580,Manitou Springs_M                                           
3724,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,1960,3626,Manitou Springs_M                                           
4120,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,1970,4278,Manitou Springs_M                                           
4516,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,1980,4475,Manitou Springs_M                                           
4912,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,1990,4535,Manitou Springs_M                                           
5308,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,2000,4980,Manitou Springs_M                                           
5704,Manitou Springs                                             ,M                                                           ,1888,El Paso                                                     ,2010,4992,Manitou Springs_M                                           
161,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,1870,0,Manzanola_M                                                 
557,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,1880,0,Manzanola_M                                                 
953,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,1890,0,Manzanola_M                                                 
1349,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,1900,0,Manzanola_M                                                 
1745,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,1910,428,Manzanola_M                                                 
2141,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,1920,562,Manzanola_M                                                 
2537,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,1930,578,Manzanola_M                                                 
2933,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,1940,531,Manzanola_M                                                 
3329,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,1950,543,Manzanola_M                                                 
3725,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,1960,562,Manzanola_M                                                 
4121,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,1970,451,Manzanola_M                                                 
4517,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,1980,459,Manzanola_M                                                 
4913,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,1990,437,Manzanola_M                                                 
5309,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,2000,525,Manzanola_M                                                 
5705,Manzanola                                                   ,M                                                           ,1900,Otero                                                       ,2010,434,Manzanola_M                                                 
162,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,1870,0,Marble_M                                                    
558,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,1880,0,Marble_M                                                    
954,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,1890,0,Marble_M                                                    
1350,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,1900,101,Marble_M                                                    
1746,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,1910,782,Marble_M                                                    
2142,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,1920,81,Marble_M                                                    
2538,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,1930,217,Marble_M                                                    
2934,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,1940,240,Marble_M                                                    
3330,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,1950,8,Marble_M                                                    
3726,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,1960,5,Marble_M                                                    
4122,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,1970,13,Marble_M                                                    
4518,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,1980,30,Marble_M                                                    
4914,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,1990,64,Marble_M                                                    
5310,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,2000,105,Marble_M                                                    
5706,Marble                                                      ,M                                                           ,1899,Gunnison                                                    ,2010,131,Marble_M                                                    
338,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,1870,0,Maysville_M                                                 
734,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,1880,561,Maysville_M                                                 
1130,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,1890,78,Maysville_M                                                 
1526,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,1900,0,Maysville_M                                                 
1922,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,1910,0,Maysville_M                                                 
2318,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,1920,0,Maysville_M                                                 
2714,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,1930,0,Maysville_M                                                 
3110,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,1940,0,Maysville_M                                                 
3506,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,1950,0,Maysville_M                                                 
3902,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,1960,0,Maysville_M                                                 
4298,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,1970,0,Maysville_M                                                 
4694,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,1980,0,Maysville_M                                                 
5090,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,1990,0,Maysville_M                                                 
5486,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,2000,0,Maysville_M                                                 
5882,Maysville                                                   ,M                                                           ,1880,Chaffee                                                     ,2010,0,Maysville_M                                                 
163,Mead                                                        ,M                                                           ,1908,Weld                                                        ,1870,0,Mead_M                                                      
559,Mead                                                        ,M                                                           ,1908,Weld                                                        ,1880,0,Mead_M                                                      
955,Mead                                                        ,M                                                           ,1908,Weld                                                        ,1890,0,Mead_M                                                      
1351,Mead                                                        ,M                                                           ,1908,Weld                                                        ,1900,0,Mead_M                                                      
1747,Mead                                                        ,M                                                           ,1908,Weld                                                        ,1910,114,Mead_M                                                      
2143,Mead                                                        ,M                                                           ,1908,Weld                                                        ,1920,145,Mead_M                                                      
2539,Mead                                                        ,M                                                           ,1908,Weld                                                        ,1930,152,Mead_M                                                      
2935,Mead                                                        ,M                                                           ,1908,Weld                                                        ,1940,191,Mead_M                                                      
3331,Mead                                                        ,M                                                           ,1908,Weld                                                        ,1950,186,Mead_M                                                      
3727,Mead                                                        ,M                                                           ,1908,Weld                                                        ,1960,192,Mead_M                                                      
4123,Mead                                                        ,M                                                           ,1908,Weld                                                        ,1970,195,Mead_M                                                      
4519,Mead                                                        ,M                                                           ,1908,Weld                                                        ,1980,356,Mead_M                                                      
4915,Mead                                                        ,M                                                           ,1908,Weld                                                        ,1990,456,Mead_M                                                      
5311,Mead                                                        ,M                                                           ,1908,Weld                                                        ,2000,2017,Mead_M                                                      
5707,Mead                                                        ,M                                                           ,1908,Weld                                                        ,2010,3405,Mead_M                                                      
164,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,1870,0,Meeker_M                                                    
560,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,1880,0,Meeker_M                                                    
956,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,1890,206,Meeker_M                                                    
1352,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,1900,507,Meeker_M                                                    
1748,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,1910,807,Meeker_M                                                    
2144,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,1920,935,Meeker_M                                                    
2540,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,1930,1069,Meeker_M                                                    
2936,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,1940,1399,Meeker_M                                                    
3332,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,1950,1658,Meeker_M                                                    
3728,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,1960,1655,Meeker_M                                                    
4124,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,1970,1597,Meeker_M                                                    
4520,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,1980,2356,Meeker_M                                                    
4916,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,1990,2098,Meeker_M                                                    
5312,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,2000,2242,Meeker_M                                                    
5708,Meeker                                                      ,M                                                           ,1885,Garfield                                                    ,2010,2475,Meeker_M                                                    
165,Merino                                                      ,M                                                           ,1917,Logan                                                       ,1870,0,Merino_M                                                    
561,Merino                                                      ,M                                                           ,1917,Logan                                                       ,1880,0,Merino_M                                                    
957,Merino                                                      ,M                                                           ,1917,Logan                                                       ,1890,0,Merino_M                                                    
1353,Merino                                                      ,M                                                           ,1917,Logan                                                       ,1900,0,Merino_M                                                    
1749,Merino                                                      ,M                                                           ,1917,Logan                                                       ,1910,0,Merino_M                                                    
2145,Merino                                                      ,M                                                           ,1917,Logan                                                       ,1920,263,Merino_M                                                    
2541,Merino                                                      ,M                                                           ,1917,Logan                                                       ,1930,230,Merino_M                                                    
2937,Merino                                                      ,M                                                           ,1917,Logan                                                       ,1940,259,Merino_M                                                    
3333,Merino                                                      ,M                                                           ,1917,Logan                                                       ,1950,209,Merino_M                                                    
3729,Merino                                                      ,M                                                           ,1917,Logan                                                       ,1960,268,Merino_M                                                    
4125,Merino                                                      ,M                                                           ,1917,Logan                                                       ,1970,260,Merino_M                                                    
4521,Merino                                                      ,M                                                           ,1917,Logan                                                       ,1980,255,Merino_M                                                    
4917,Merino                                                      ,M                                                           ,1917,Logan                                                       ,1990,238,Merino_M                                                    
5313,Merino                                                      ,M                                                           ,1917,Logan                                                       ,2000,246,Merino_M                                                    
5709,Merino                                                      ,M                                                           ,1917,Logan                                                       ,2010,284,Merino_M                                                    
166,Milliken                                                    ,M                                                           ,1885,Weld                                                        ,1870,0,Milliken_M                                                  
562,Milliken                                                    ,M                                                           ,1885,Weld                                                        ,1880,0,Milliken_M                                                  
958,Milliken                                                    ,M                                                           ,1885,Weld                                                        ,1890,0,Milliken_M                                                  
1354,Milliken                                                    ,M                                                           ,1885,Weld                                                        ,1900,0,Milliken_M                                                  
1750,Milliken                                                    ,M                                                           ,1885,Weld                                                        ,1910,0,Milliken_M                                                  
2146,Milliken                                                    ,M                                                           ,1885,Weld                                                        ,1920,372,Milliken_M                                                  
2542,Milliken                                                    ,M                                                           ,1885,Weld                                                        ,1930,483,Milliken_M                                                  
2938,Milliken                                                    ,M                                                           ,1885,Weld                                                        ,1940,531,Milliken_M                                                  
3334,Milliken                                                    ,M                                                           ,1885,Weld                                                        ,1950,510,Milliken_M                                                  
3730,Milliken                                                    ,M                                                           ,1885,Weld                                                        ,1960,630,Milliken_M                                                  
