id,area_name,area_type,incorporation_year,county_incorporation,population_year,total_population,name_type
1193,Antonito                                                    ,M                                                           ,1889,Conejos                                                     ,1900,347,Antonito_M                                                  
1589,Antonito                                                    ,M                                                           ,1889,Conejos                                                     ,1910,681,Antonito_M                                                  
1985,Antonito                                                    ,M                                                           ,1889,Conejos                                                     ,1920,946,Antonito_M                                                  
2381,Antonito                                                    ,M                                                           ,1889,Conejos                                                     ,1930,858,Antonito_M                                                  
2777,Antonito                                                    ,M                                                           ,1889,Conejos                                                     ,1940,1220,Antonito_M                                                  
3173,Antonito                                                    ,M                                                           ,1889,Conejos                                                     ,1950,1255,Antonito_M                                                  
3569,Antonito                                                    ,M                                                           ,1889,Conejos                                                     ,1960,1045,Antonito_M                                                  
3965,Antonito                                                    ,M                                                           ,1889,Conejos                                                     ,1970,1113,Antonito_M                                                  
4361,Antonito                                                    ,M                                                           ,1889,Conejos                                                     ,1980,1103,Antonito_M                                                  
4757,Antonito                                                    ,M                                                           ,1889,Conejos                                                     ,1990,875,Antonito_M                                                  
5153,Antonito                                                    ,M                                                           ,1889,Conejos                                                     ,2000,873,Antonito_M                                                  
5549,Antonito                                                    ,M                                                           ,1889,Conejos                                                     ,2010,781,Antonito_M                                                  
6,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,1870,0,Arriba_M                                                    
402,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,1880,0,Arriba_M                                                    
798,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,1890,0,Arriba_M                                                    
1194,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,1900,0,Arriba_M                                                    
1590,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,1910,0,Arriba_M                                                    
1986,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,1920,334,Arriba_M                                                    
2382,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,1930,337,Arriba_M                                                    
2778,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,1940,286,Arriba_M                                                    
3174,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,1950,367,Arriba_M                                                    
3570,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,1960,296,Arriba_M                                                    
3966,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,1970,254,Arriba_M                                                    
4362,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,1980,236,Arriba_M                                                    
4758,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,1990,220,Arriba_M                                                    
5154,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,2000,244,Arriba_M                                                    
5550,Arriba                                                      ,M                                                           ,1918,Lincoln                                                     ,2010,193,Arriba_M                                                    
349,Arrowhead                                                   ,M                                                           ,1900,Grand                                                       ,1870,0,Arrowhead_M                                                 
745,Arrowhead                                                   ,M                                                           ,1900,Grand                                                       ,1880,0,Arrowhead_M                                                 
1141,Arrowhead                                                   ,M                                                           ,1900,Grand                                                       ,1890,0,Arrowhead_M                                                 
1537,Arrowhead                                                   ,M                                                           ,1900,Grand                                                       ,1900,0,Arrowhead_M                                                 
1933,Arrowhead                                                   ,M                                                           ,1900,Grand                                                       ,1910,26,Arrowhead_M                                                 
2329,Arrowhead                                                   ,M                                                           ,1900,Grand                                                       ,1920,16,Arrowhead_M                                                 
2725,Arrowhead                                                   ,M                                                           ,1900,Grand                                                       ,1930,0,Arrowhead_M                                                 
3121,Arrowhead                                                   ,M                                                           ,1900,Grand                                                       ,1940,0,Arrowhead_M                                                 
3517,Arrowhead                                                   ,M                                                           ,1900,Grand                                                       ,1950,0,Arrowhead_M                                                 
3913,Arrowhead                                                   ,M                                                           ,1900,Grand                                                       ,1960,0,Arrowhead_M                                                 
4309,Arrowhead                                                   ,M                                                           ,1900,Grand                                                       ,1970,0,Arrowhead_M                                                 
4705,Arrowhead                                                   ,M                                                           ,1900,Grand                                                       ,1980,0,Arrowhead_M                                                 
5101,Arrowhead                                                   ,M                                                           ,1900,Grand                                                       ,1990,0,Arrowhead_M                                                 
